start	end	text
0	9480	Has there ever been a situation that you were in where you've gotten confirmation of government's involvement with human-alien hybrids?
11000	11560	Yes.
11780	15500	Okay. From a credible source, you could say.
15540	15800	Yes.
16000	17300	They know about the hybrids?
17600	18080	Yes.
18280	21080	I mean, gun to your head right now, you would say absolutely?
21500	22580	Absolutely, yes.
22880	27220	They were able to collect DNA from aliens.
27220	32240	John Ramirez, former CIA officer, 25-year career.
32640	44480	CIA had a program to trace this alien DNA in certain families, and particularly their children were of interest to CIA.
44820	52680	The CIA was tracking the activity of hybrids, human-alien hybrids, in the United States.
52900	55240	That and going back in their lineage.
57300	64200	Did you encounter anyone you knew for sure was read into one of the deeper programs?
67560	67960	Yes.
68020	71220	Did you have a lot of interactions with this person?
71300	71700	Yes, I did.
71880	74600	My name was submitted for that particular compartment.
74940	78320	And the Pentagon came back and said, no, we're not going to read John Romero's into that. No way.
78580	79320	You specifically?
79340	80880	You specifically cannot be read in.
80880	82320	He said, you don't understand, John.
82780	90840	This program is the highest secret, top secret in the entire United States government.
91700	96200	This top secret information exceeds that of Manhattan Project.
96380	101740	His branch did operations under the sea, retrieving things.
102020	105220	Bob, one of my engineers, was looking at one of the manuals.
105240	106060	It's that thick.
107020	108560	And he left it on his desk.
108560	111880	The title was UFO Propulsion Systems, Manual of Operations.
112340	116360	We were flying something that wasn't a satellite.
116720	117760	What did it look like?
117960	118680	It looked like an egg.
119400	124740	I personally had only one, I would call bad, but not demonic, experience.
125360	134040	And that experience was with a reptilian-like being that showed up in my condo when I lived in Washington, D.C.
134100	137140	And the other, I can't identify because it was shrouded.
137160	138060	It was wearing a cloak.
138560	139060	A hood.
139160	140160	A hood, yeah.
140320	141320	A cloak and a hood.
141820	145380	And they showed up one night, and I woke up, and they went,
145580	147020	Oh, don't mind us.
147100	149040	We just want to let you know that we know you moved.
150520	152080	And then I went to medical services.
152460	154200	I had something done here.
154540	155720	Can I get those records?
155920	157660	I said, sorry.
158240	160940	Your medical records are classified.
161100	162140	You cannot have them.
163560	164000	Okay.
164600	167460	Wait, they classified your own medical records?
168360	172980	real. It's not a conspiracy theory and hybrids are real. That's not a conspiracy theory.
179740	185640	Hi, Chris. My name is John. I was like really young back in 2003. Me and my friend were shooting
185640	191500	BB guns and pellet guns in his backyard in Mission Viejo. It was during the middle of the day,
191500	202320	probably around 11 o'clock noon and this golden glowing almost like egg shaped something and it
202320	208580	had an aura around it it was also egg shaped like sitting upright and it was about the size of a
208580	217280	volkswagen bug and it was floating over my friend's house really slow and i wasn't afraid of it i saw
217280	222680	my friends saw it. Of course, back at the time we didn't have cell phones to take pictures of it,
222780	226860	so I told him to run inside, grab a camera, grab a camera, and he didn't have one, unfortunately.
256540	269620	Ladies and gentlemen, today I am joined by the incomparable John Ramirez, former CIA officer, 25-year career with the CIA, which is incredibly impressive.
270500	274060	There's a lot of things that I'd like to talk to you about today.
274060	277780	day. A lot of things that I refrained mentioning while we were having interactions in the last,
277840	283100	you know, 24 hours because I wanted to save it for here. But I appreciate you coming into the
283100	288120	SCIF and welcome. Well, thanks very much, Chris, for having me here. I've seen your podcast
289160	294480	myself and I really like the way you conduct interviews and I really love all of this,
295040	301640	I would call it lab equipment. This is very similar to what I had in my electronic intelligence lab
301640	306920	at CIA headquarters with the addition of receivers and other signal processing equipment.
307200	312200	But basically, you have all of the components required to do signals analysis right here.
312680	313540	That's interesting.
313740	318840	I noticed you gravitating towards this yesterday as I gave you the tour of the office.
319100	322980	And you, like a moth to a flame, came right up to these things.
323020	324820	You were able to recognize a lot of the equipment.
324820	337480	So, you know, as much as this is purely aesthetic, you know, for this podcast, I'm glad to know that in the event where I needed to do signal analysis, it could come in handy.
337860	340380	And if you need a signals analyst, I'm here.
340380	364840	All right. Well, hired. Definitely hired. John, I'd like to maybe for the audience at home, just if you could give me the brief sort of pitch of what you did at the CIA, what your job was and how you got interested in the UFO slash UAP phenomenon within that context.
364840	385320	I was an electronic intelligence analyst, ELINT. We call it E-L-I-N-T, ELINT. And that's one of the branches of signal intelligence or SIGINT. And this branch of SIGINT deals with radar signals, signals coming from missile seekers, signals associated with weapon systems.
385320	398220	So the purpose was to collect and analyze the signals, process the signals, and then to be able to determine the capabilities of a weapon system just based on the signals.
398220	409760	In that sense, we were reverse engineering the weapons system just based on the capabilities of that system to be able to detect, track, and engage targets.
410000	415740	The target being, if it's an adversary system, it will be our planes, for example.
415740	428360	And so that's very valuable in the determination of what kind of countermeasures we need to deploy in order to defeat an adversary's ability to detect our aircraft and to keep our aircraft safe.
428740	433340	So that was just in a short description.
433440	434180	That's what I did.
434360	434900	Wow.
434900	446160	Now, as to how I got involved with UFO, UAP topic, the ELINT discipline has very little to do with UAPs, UFOs.
446200	454060	However, the systems that I was assigned did detect anomalous signatures.
454060	460820	signatures when they were tracking ballistic missiles of their own manufacture, they were
460820	468180	accompanied by strange lights, strange objects. Tagalongs. Tagalongs, right. And they were called
468180	477400	the domes of light phenomenon by FTD back in the day. And so when the Soviet Union would launch
477400	485100	a ballistic missile test, these domes of light would accompany the missile. And so
485100	492900	that was very similar to what occurred with, for example, the Atlas launch that
492900	494380	Bob Jacobs talked about.
494680	498500	Hair's going up on the back of my neck right now thinking about it, just remembering that day.
498680	501240	I saw something that was so strange that it changed my light.
501500	506800	In November of 1964, Jacobs was assigned to film a Vandenberg missile launch
507400	511100	using a brand new state-of-the-art telescope developed at Boston University.
512260	514040	Something flew into the frame.
514660	516640	What I saw was a circular object.
516920	519920	It was a classic flying saucer.
520300	523680	And it shot a beam of something at our warhead.
524000	527140	You have to imagine this thing is flying along at several thousand miles an hour.
527240	530140	This stuff is flying along and something comes into the frame and chasing it.
530320	534900	The flight was disrupted and parts of the missile was destroyed.
534900	555960	So, it's similar to what we saw in the Soviet Union. And so, I was assigned a particular radar in the Soviet Union that was very unique to the Soviet Union. And we found out that the purpose of the radar was atmospheric anomalous research.
555960	565060	search. So the waveforms were completely different from any other Soviet air defense system or
