start	end	text
2460	4740	We are completely misdirected.
4760	4980	Yeah.
5200	8440	Even when you're holding on to something as solid as a deck of cards.
8640	12360	Because you talked about how just fallible memory is.
12400	14840	And to this day, I've been trying to think about how you did that.
14900	15720	And I just have no idea.
16060	21140	I have no idea where I was tricked or where I'm not remembering or where that happened.
21220	22360	I just have no idea.
22640	25760	I've seen him do the thing with the glass where the glass just moves.
26500	29000	It's probably the simplest thing, but I fucking love it.
30000	31540	It just floats out and straws floating.
31800	33400	I mean, I'd never seen a magic show before.
33620	33820	Yeah.
34040	36020	I really hadn't even seen card tricks.
36220	36960	Yeah, not a lot of people have.
37120	38260	They've seen videos of it.
38320	42960	But seeing it in person is way different because you're always, you're one step removed on video.
43080	44500	So it's like watching a stage show.
44660	45000	Right.
45020	46440	And you go, oh, there's smoke and mirrors.
46540	47080	There's trap doors.
47420	47760	Right.
47860	53800	But then when it's in front of you, all those variables seem to disappear and you're just left with nothing.
53840	55200	Yeah, close-up is crazy.
55200	62700	You have the frustrating thing happen to you where your suspension of disbelief is unwilling.
63000	63260	Yeah.
63700	64320	It's not willing.
64460	66940	You're not like, oh, I'll suspend it for the sake of the trick.
67000	68780	You're like, no, I've exhausted my resources.
68980	70120	I don't know how you did that.
70280	70600	Yeah.
70620	73500	On the videos, you can stop it, go back frames, try to investigate.
73500	74900	And you can see how I did that on video.
75940	76840	That particular one.
76900	80340	So there's certain tricks that like you have to cut around or certain tricks that you have to like do.
80640	84260	Like if you look at mentalism, most of the stuff happens off camera.
85200	90620	And then when the cameras are rolling, it's a lot of wordplay, I'll say that.
91700	93120	We never met before today, right?
93380	94740	You know, like these type of things.
94780	98520	And you're like, it creates the illusion that you didn't set anything up.
99060	100960	And then you go, we didn't set anything up, right?
101120	107780	But you don't know that you were set up if you've handed me your phone before, you know, because I was doing some pre-show magic trick to you.
108080	109120	And I did something.
109200	110260	And you're like, well, I blew your mind.
110280	113760	But now I have all this secret information on you that I'm going to reveal throughout the next hour.
115940	118680	and, you know, play, look at me and think of this thing
118680	121580	and, like, do all these, you know, performative bits,
121700	122340	which is fine.
122800	124580	But, yeah, it's not actual minoring.
124740	127140	Well, I think you have a point about the shows being in person
127140	128920	because, like, I haven't felt that amount of awe
129640	132420	in, like, interaction with a person since I was a kid.
133000	134800	Like, I was on the edge of my seat
134800	135740	when you were doing those tricks
135740	137640	and it all culminated with the plastic bar.
137680	138800	It boggled my mind.
138860	139940	Because Luigi walked in.
139980	141120	That's the first thing I told Luigi.
141660	142900	And he's like, oh, yeah.
142980	144120	Yeah, been there, done that.
145200	152940	Speaking of which, here, I'll give you a little demonstration not on actual magic,
153100	158240	but more on how magicians can use magic to obtain information
159080	162800	and then how that is perceived to people watching.
162920	169100	So, for instance, all right, just go ahead and just take a card out.
169280	170180	Yep, anyone?
171300	172640	I got a game out.
176360	176680	Sorry.
176880	177680	Yeah, no worries.
178140	179440	Okay, I'm hiding the number from you.
179560	180680	Yeah, just have a look at it.
180700	181140	You got it?
181540	182100	Put it back?
182180	182280	Yep.
183600	184120	All right.
184380	187340	At this point, there's no way any of us know what that card is.
187440	188900	Well, sorry, you guys know.
189440	191100	I have no idea what this card is, correct?
191400	191880	Mm-hmm.
195900	197800	So, all right, just think of this card.
198040	198880	Just think of it.
200380	203620	This is going to be like a bit of a poker face scenario,
205300	209720	any information. Okay. But I'm going to try to read from your facial expressions or your
209720	214320	sort of micro expressions, anything that I can to try and determine what the card is.
215440	222680	Is it, don't answer it. Is it red or black? So your right eye, when I said black, moved slightly.
223000	230400	Really? I'm going to assume it's black. Is it a club or a spade? Now, okay. So now you're trying
230400	231220	trying to mask it.
231280	233260	And so it tells me it's a spade once again.
233400	233620	Okay.
233680	236040	Now, is it a picture card or a number card?
236800	237200	Okay.
237500	238580	It's a number card.
238640	239040	All right.
239100	240360	Is it high or low?
240440	241240	High or low?
241520	242060	It's low.
242240	243860	So it's a low spade.
244000	244700	Is that correct?
245460	245860	Yeah.
246020	246420	Okay.
246740	247600	There's a free choice.
247680	248700	You could have chosen any card.
248800	249340	All right.
249340	249720	Right here.
249760	250180	Look at this.
251140	251880	On the finger.
255000	256180	What the fuck?
257120	258520	What the fuck?
258960	259700	Is that it?
260400	270540	space all right so now here's here's a thing so i didn't actually read your micro expressions
271120	276960	this is all performative i already knew what card you chose how well there's two ways that i can
276960	281800	know that either i force the card upon you or i peek the card after right there's two ways to do
281800	288780	that so if i force the card on you even though it felt like that was a free completely free choice
290500	291920	it felt free.
291980	293120	It wasn't, right?
293200	293940	So this is a force.
294040	296800	So now you're being given the card that I want you to.
297400	301960	So now that I have information that you don't know I have,
302640	306700	I can ask you to hide that information from me,
306740	308800	and now I can see what that looks like.
309660	311100	Oh, for later.
311100	312180	So you can read the tell.
312280	312660	Okay.
312660	313040	Yeah.
313040	315700	So now I have information on what your tells are.
315840	319360	And this, for magicians or mentalists or even CIA,
320400	322060	really, really valuable information.
322440	323840	So having inside information
323840	326300	and being able to ask people
326300	328040	questions you know the answers to
328040	330220	and then seeing how they dance
330220	332260	around the answers, knowing they're trying
332260	333940	to avoid what the truth is,
334060	336340	you can see if they're lying or if they're telling
336340	338180	the truth. So even the card you
338180	340360	offered, that's a fresh pack.
340680	342440	Yeah. You opened it, you cut the deck
342440	344120	once, spread it,
344980	345700	and of
345700	348420	jokers included, what, 54 cards
348420	348740	in there?
350400	352560	You offered me up the one you wanted me to pick.
352640	352860	Yeah.
352940	355740	I tried to game out what you wanted me to pick and choose a different one.
355920	356020	Yeah.
356120	360920	So I just don't know how I was led to pick the one card you wanted me to.
360960	362080	It blows my mind.
362220	363440	Well, isn't that interesting, though?
363580	363840	Yeah.
363840	365820	But that's the whole crux of the trick.
365920	366120	Right.
366140	373660	Because if you knew that that was even in play, that I was, and you suspected I was trying to force you a card, so you went in a different direction.
373660	381000	But if you knew that that card was forced, you know, that would change the dynamic of how I was sort of trying to read that information.
381320	389720	And so it's really interesting because you take magic and I just apply it to the whole IC, you know, space.
389840	393600	And I go, oh, my God, like they're literally doing magic tricks.
393740	394020	Yeah.
394360	396180	And you see it on these interviews.
396360	401480	You see it, you know, when you talk to them in person, you know they know things, but they're playing dumb.
401680	401920	Yeah.
403840	409260	So when I do magic tricks to these people, you know, I get to see, thank you.
409340	409580	Thank you.
409760	415820	I get to see what their tells are before the podcast.
416940	417340	Yeah.
417720	419740	And then I grill them on these questions.
420240	424980	I probably shouldn't even be saying this on camera, you know, because they might be watching this.
425060	431240	But that's the idea, right, is that you get to, and then now I understand, you know, how they shift in their seat.
431840	436220	when they're trying to hide information or you know what i mean so it helps well even you you
436220	440680	told me i was giving off micro expressions after you said that when i was answering i i felt like
440680	446520	my eye twitching and i said oh crap am i giving it away and and you slightly were that's the thing
446520	453800	too that's the other psychological stuff thank you very much thank you thank you thanks um yeah
453800	460280	there is there is like a whole psychological layer to um trying to hide yeah so it's you know
461240	468480	cat type idea same thing happens and and also there's like certain I learned this
468480	473240	from a friend Spidey he does he has this behavioral arts channel need like looks
473240	477840	at people lying but when people scratch their nose so when you're lying it
477840	481660	actually like increases the blood flow to your face which slut and this is
481660	486360	where the Pinocchio lie comes from did you know slightly like on a microscopic
486360	490540	level and so that's why people would but it doesn't mean it's a lie could just
491240	492240	around something else.
492520	497540	So has there ever been anybody you've had on the pod that because you're able to gauge
497540	501360	out their micro expressions or when they're lying, you have just known are feeding you
501360	502060	a bunch of baloney?
503180	505980	No, because you can't tell what they're lying about.
506820	507260	Okay.
507280	511300	You can only tell there's like some inconsistency in what they're saying.
511820	516460	So like, you know, like lie detectors famously aren't lie detectors.
516660	516800	Right.
516840	519200	It just measures your heart rate, cortisol levels.
519400	519780	Yeah, exactly.
521240	522260	oh, this person is stressed.
522480	523040	You don't know what about.
523300	525020	It could be about trying to hide the truth.
525180	525360	Right.
525440	528480	But it could also be about this reminds them of when they were a kid
528480	530980	and they got beat up for saying this or whatever that is.
536700	537040	Yeah.
538460	540240	I know we talked about this too, Jesse.
540560	545300	Just kind of guess on your pod that you felt may have been kind of taking you for a ride.
546960	548260	We talked about that as well.
548260	555280	Well, we talked about just the guess that you had the hardest time taking their story at face value was Charles Hall.
555500	556100	For sure.
556440	558420	Are we in the pod right now?
558420	558860	Yeah.
559220	560820	I didn't know.
560860	561720	Break that wall.
563020	565780	Yeah, well, Chris and I did Charles Hall together.
567440	569800	Jesus, that sounds weird.
570760	572940	We did an interview with Charles Hall.
573720	576600	when Chris was telling Luigi and I
576600	578260	when I was out here last time.
578300	579920	And that's when Chris was doing impressions
579920	582380	of some other prominent figures in the subject too
582380	583920	that Luigi and I were just loving.
584160	584800	Yeah, yeah, yeah.
584800	585220	Who's this?
585380	586760	Who's I'm personating?
587440	587840	Bledsoe.
588180	589180	The orbeez.
589780	592120	Luigi was cackling the whole time, man.
592200	594500	It's just like the way he's so soft-smoking.
594580	595840	He's like, oh, thank you.
597740	599680	I've seen so many of his videos.
599900	602240	And you just see these lights,
603180	606860	I don't know what they are, but then you hear his soft voice in the background.
607040	607580	Thank you.
607880	610400	Just railing off at the end of the videos.
610660	614520	Yeah, there's the kind of infamous video at the last contact of him doing that.
614640	614960	Yeah, yeah.
615640	619360	Yeah, he always says, cut the football chatter.
619700	621200	Yeah, cut the football chatter.
622860	623220	Yeah.
623360	624240	What do you make of that?
624360	626900	What do you make of all that stuff?
627700	629640	Well, Jesse and I were talking about this last night.
629640	635000	You know he is is diehard wants to talk to Tim Taylor. Yeah, that seems to be the biggest number one
635000	641820	Yeah, because at least your way well it is I think yeah. Yeah, it'll happen I
643960	646200	I put him on I made a vision board and he's on
649120	649800	Jesse's shrine
651800	653640	Satanic yeah, what a good penta gram
655440	659000	Because it seems I really want to do it. Yeah, I said that way he's the
659640	665820	There's a connection between trippy stuff and then real nuts and bolts aerospace, but like really trippy stuff.
665920	667580	Not even just like UFO work.
667680	668200	Like a lady.
668300	669280	Like time travel.
669760	670300	Oh, yeah.
670660	672880	The Bermuda, T. Townsend Brown stuff.
673140	673320	Yeah.
673380	677620	The fact that his name came up at Charles Hall thing was interesting, too.
677820	680580	Like Mary Therese's wife was just like, Timothy?
680860	685720	And Bledsoe said that he was writing a book with Townsend Brown's daughter.
686540	687520	Have you contacted her?
687520	688220	Who was writing a book?
688520	689160	Tim Taylor.
689640	696880	Oh, wow. And didn't Townsend Brown's daughter leave a like some type of Amazon review on his book?
697120	699420	Yes. Yeah. So there is a connection.
699520	700800	There is definitely a connection.
701020	702720	Yeah. Have you reached out to the daughter?
703160	707500	I have. Well, she was on a phone call in my original Townsend Brown documentary.
707740	711700	And so we'll occasionally talk on the phone and she's fascinating.
713260	719480	That's so wild. Yeah, he's he's he's just such a I think it's more of like he's this weird.
719640	723900	puzzle piece that you don't know where to put in the puzzle and that's what's so intriguing about
723900	728980	this this man is like it's not necessarily how he's tied together with everything but just like
728980	735420	what like what is his role here he seems like this transient sort of goes wherever he wants
736320	742480	entity but at the same time i get the feeling might be an experiencer from having you know so
742480	749800	so much interest in the topic and talking to Strieber, what's his face, Charles Hall
749800	751780	and all these other experiencers, Bledsoe.
752800	753480	I don't know.
753520	754360	I don't know what to make of him.
754460	759440	It's weird because Tim Taylor doesn't cross over into my lane of studying the programs
759440	759980	at all.
760240	762020	Like Tim Taylor's name never comes up.
762140	763200	He's an aerospace corp.
763260	763640	Right.
763760	764060	Right.
764140	764320	Yeah.
764380	768740	NASA, but still in terms of like actual program efforts, his name has never really come up
768740	770000	as a key player ever.
770000	774080	Which is interesting because then he's gallivanting around with Bledsoe, with Charles Hall.
775020	781060	Yeah, you would think that he would keep a lower profile if he was really in the deep part of the program.
781240	782020	What do you think?
783620	786900	I think he was part of some...
