start	end	text
940	3020	Hello, I'm in.
3660	9900	I had a friend who was working with me at my counseling center for many years.
9980	12520	He revealed to me that he was, in fact, an alien,
12680	17260	which sounded superficial and he could have been a good liar
17260	20780	until he was able to demonstrate that he was more than just a human.
21600	24060	And he was friends with me for many years,
24080	27740	and I never knew it until he was able to demonstrate this to me.
27740	30220	They have a unique way of showing themselves.
30700	34640	And I'm just wondering if anybody else has this experience.
35980	39980	Ladies and gentlemen, welcome back to a very special episode of Debriefed.
39980	46080	My name is Chris Ramsey, and today I'm here to introduce to you a conversation that I had recently with Randall Nickerson.
46400	49600	I just wanted to come here to sort of preface the interview.
49880	56000	For those of you unfamiliar with Randall's story, him and his sister Glinda have been abducted multiple times.
57740	60680	on shows like Oprah and Good Morning America.
60960	63140	One of Dr. Mack's patients, Randy, here,
63180	65520	says his abduction occurred while he was awake.
65800	68040	They had put me out for a little over an hour,
68100	70680	and when I came to, um...
74160	76340	And, uh, yeah, I...
77100	79480	I have a hard time with this.
79680	79980	Why?
81740	82260	Um...
84300	85780	Because I don't want to believe it.
87900	88460	Why?
90300	91460	It, um...
93100	96460	I mean, it's totally made me question what life's about,
96600	100220	and it stirred my life up a lot.
100400	102400	It was a very popular case of abduction,
102460	106340	which pretty much upended their lives, especially Randall's.
106420	109300	To this day, Randall has a pretty hard time talking about it
109300	112340	and has since basically turned his entire life
112340	115300	into reporting on and investigating
115300	121540	the UFO and NHI phenomenon. Now, this was a last minute podcast. Nothing was planned. He just
121540	126400	happened to be in town. And out of respect for Randall, he didn't want to talk about his own
126400	133260	personal abduction story. And I didn't want to press him on that either. But Randall's story
133260	139760	isn't simply defined by his abduction. See, Randall is also an amazing filmmaker and documentarian.
139760	144680	and recently he put out the documentary The Ariel Phenomenon.
144720	148080	From all over Zimbabwe, we were phoning the BBC to say,
148180	149900	we've seen something weird.
150040	151140	There were three of us that saw it.
151360	154440	Myself, the co-pilot, and the pilot in the other aircraft.
154780	155820	No wings, no nothing.
156260	157560	Shiny, oval thing.
157720	160600	Ariel School, 19th September, 94.
161900	163920	Did you tell me what you saw on Friday?
164360	167800	The silver thing in amongst this clump of trees.
167980	169240	We saw this black figure.
169820	172900	His face was like this and his eyes were down here.
173100	176760	I just thought it was some kind of alien from a different planet.
177600	181760	When you looked at those children, they were absolutely credible.
182380	183760	And whereabouts was it?
183900	185100	In the trees over there.
185400	189220	There was a big group of kids pointing and making a noise and shouting and screaming.
189560	192880	The panic spread. Am I safe or am I not safe?
193020	194140	He's a Harvard psychiatrist.
194640	199120	Meet Dr. John Mack, a believer in aliens from outer space.
199760	202280	way convinced that an extraordinary event occurred here.
202480	208400	I think they want people to know that we're actually making harm on this world.
208760	210260	Would you like to see him again?
210560	211100	Yes.
211400	213580	And if you saw him again, what would you do?
214160	215720	I'll ask him some questions.
216060	217240	What would you like to ask him?
217780	222140	I'll ask him what is he doing on Earth and what does he want with us?
227540	233540	basically picking up John Mack's work of where he left off and continuing his research into
233540	239540	the mass sighting that took place in Rua Zimbabwe over 60 children reported seeing this craft and
239540	246020	two beings exiting this craft they subsequently drew images and even wrote down exactly what they
246020	252080	they remember happening. And I also just want to say that at times Randall during this podcast
252080	259320	will seem a little bit reluctant to talk about certain things. And that definitely stems from
259320	265560	his own personal experiences. So this is just to give you a little bit of context on who he is.
265680	271300	He recently also appeared on the Danny Jones podcast, and I highly recommend you check that
271300	275660	out if you want to know a little bit more about his personal history. Stick around after the
276020	281740	if you like. We recorded a little extra podcast for the interns only, and you can do that by
