start	end	text
0	2140	April 18th, 1961.
3380	9440	Joe Simonton, a 54-year-old plumber and chicken farmer, is having breakfast when all of a sudden in his backyard,
9740	15480	a giant flying saucer descends from above, hovering about a foot over the ground.
15700	21540	Curious to see who it was, Joe makes his way outside to notice that a hatch is already open.
21700	27720	A small human-like figure hands Joe a jug and signing to him to fill it up with water.
27720	40180	After filling it up and returning it to the visitor, he is then handed possibly the strangest and most bizarre piece of physical evidence ever recorded in UFO history.
41320	42340	A pancake.
43240	44720	This is the story of Joe Simonton.
45980	51140	I live in northeastern Arizona, east of Snowflake.
51140	58560	And in 1993, I was making on 60 acres my son and I had just gotten.
59320	64260	And there was a spaceship, and I communicated with the beings on the ship.
64440	68340	And they told me they'd be back in 30 years.
68640	75240	And in 2023, I wasn't even thinking about it, but there was a voice.
76000	77820	It's been 30 years.
77820	83160	and I've been communicating with them ever since the last time was last night.
83940	87200	Ladies and gentlemen, welcome back to another episode of Debriefed.
87200	92960	My name is Chris Ramsey, and today we're going to be taking a look at one of the most bizarre,
94960	101340	unexplainable, and completely strange encounters in history.
101480	103520	This is the story of Joe Simonton.
103520	112140	Before we dive deep into this case, and diving deep we will, as our research team over at Area 52 went well above and beyond,
113480	118960	to find not only a lot of the evidence that was presented back in 1961,
119320	125380	but a lot of the corroborating sightings that happened in that area around the exact same time.
125540	129980	And you'll want to stick around because we actually made these famous pancakes.
129980	134820	cakes. All that coming up. But before we get into any of that, I just want to say that our
134820	143300	out of body merch is currently still available. These go fast. We've I think in the first day,
143440	148880	half of the stock was gone. So I'm not even sure if by the time I'm recording this,
149000	155400	that any of it will be available. But do check it out area 52 dot shop. Plus we got all the MJ 12
155400	159020	stuff got a whole bunch of stuff going on over there if you want to check it out. And folks,
159980	170320	just paid the bills. Like this video, subscribe, hit the notification bell. It is time to get into
170320	178440	one of the wackiest, zaniest, dare I say strangest cases in all of UFO history. This is the case of
178440	184500	Joe Simonton and his alien pancakes. In here, we've got newspaper clippings. We've got reports
184500	192300	from Project Blue Book. We've got reports from NICAP. We've got judges demanding the samples of
192300	199760	the evidence. We've got the Air Force actually doing a deep analysis on these pancakes or cookies.
200040	207320	We've got witness testimonies. This is actually a really, really fascinating case. And most people
207320	212660	only know about the surface level stuff. But to give you an idea about what this case is,
214500	220660	the landing. So Joe Simonton, a chicken farmer and a plumber, had just finished a late breakfast
220660	228600	when he heard a rushing whirring noise like knobby tires on wet pavement. Stepping outside,
228900	235220	he watched a brilliant metallic disc drop vertically and hover a few feet above his
235220	242240	driveway. The craft stood roughly 12 feet high and 30 feet across, brighter than chrome. No
242240	249940	No windows were visible. The air hummed like a big electric motor. Inside the hatch, the color
249940	255400	was black, like wrought iron. Control boards about two feet high and four feet long lined the wall.
256180	263580	Belts or cables clipped at each man's waist. Three occupants, five feet tall, about 120 pounds,
263860	270540	wore black two-piece suits with turtleneck tops, snug caps down to the eyebrows, no buttons,
272240	279480	shoes. Their complexions were dark, and Simonton thought they looked Italian, mid-twenties to early
279480	288060	thirties. Oh folks, it gets stranger yet. One handed a silvery two-handled jug and motioned
288060	294840	for water. Simonton filled it at his basement pump. He's quoted here, I handed the water up to
294840	301420	the man. As he took it, I balanced my left hand on the side of the saucer. No burn, no radioactivity.
302240	308160	Then I stepped back. The man gave me a salute with the back of his hand, and I returned our salute.
310360	316600	Simonton gestured toward a second figure, cooking on a flameless square griddle.
316700	324540	The being passed him four hot, perforated cakes. Simonton tasted one immediately,
324860	330760	and is quoted saying it tasted exactly like cardboard. The hatch sealed so smoothly,
332240	339060	you couldn't see where it had been. The disc rose 20 feet, tilted south at 45 degrees,
339260	343460	and shot away in about two seconds. The blast bending pine treetops.
343620	351180	This is the broad strokes of the encounter. We're going to get into Simonton's actual witness
351180	357160	testimony, as well as what I find most intriguing is all of the follow-up to this case. Folks,
357160	365240	Folks, I just wanted to interject and take a second to thank David Marler from the UFO National Archive in Albuquerque, New Mexico.
365380	384700	I reached out to David because in the files that are available online, namely the CUFOS file, which is the organization made by J. Allen Hynek, but also the NICAP and APRO files, nowhere to be found are the drawings that Joe Simonton himself made.
384700	396560	Two drawings are missing from those files. It is the drawing of the craft that he himself drew out and the drawing of the jug handed to him by this extraterrestrial being.
396820	413940	So David Marler was not only nice enough to send me a picture of each of them, which I have here, and you're seeing this for the first time on the Internet. That is the jug that he drew, which is a little strange. And this is the UFO that he drew.
414700	420160	But David also sent us a picture of the actual pancake.
420700	426560	You might be looking at an actual extraterrestrial pancake held by David Marlowe.
426660	428200	So thank you so much to David.
428240	430600	And I'll leave the link to the UFO archive below.
430600	439040	below. Also, folks, I have taken the time to actually cook up.
440240	444420	According to the deep analysis and research of what these
444420	448440	pancakes were made of, I actually took the time to make
448440	453100	some of them. They do smell like cardboard. Stay tuned to the end
453100	455600	of the video, I'm actually going to try one of these. And if you
455600	459760	want to see me actually make these, I'll be uploading a
460600	465080	video on Sunday for the members. Check that out. All right, back to the video. A few things that
465080	471240	are really interesting that we should note here. The rushing whirring noise like knobby tires on
471240	480580	wet pavement. This is not uncommon when looking into different cases around the same time.
481440	487680	There was the Staffordshire witness who said that she had heard this sound, what sounded like
487680	492600	like water being poured out, like hot water being poured out.
492740	494680	I heard this terrific noise.
494720	502000	It was just like a giant cauldron of water being poured onto a fire-ish sort of noise, you know.
502140	509260	So maybe this is the sound of the craft sort of, I don't know, phasing in or something.
509500	512100	Also interesting and maybe not even related,
512200	515040	but many people who've had out-of-body experiences
515040	521380	experiences say they hear this loud wave crashing or whooshing sound during the out-of-body
521380	528100	experience. So is he potentially experiencing some interdimensional phenomenon that happens to
528100	532980	make this sound when interacting with it? I don't know. I don't know. We're just throwing it out
532980	539280	there. The next thing I want to talk about is the hatch. The hatch closed and he's quoted as saying
539280	545820	you couldn't see where it had been. I could give you a list of probably a hundred witnesses that
545820	550940	say the same thing. If we look at recently, we talked about Antonio Villas-Boas. This gentleman
550940	556860	in 1957 got picked up by a bunch of little beings, and he said the same thing. Aside from the color
556860	564920	of the craft, which is like wrought iron, something akin to what Bob Lazar describes as a pewter color
564920	571760	color of the craft, I thought was very interesting. And finally, the craft rose in the air, tilted at
571760	580780	a 45 degree angle before shooting off. This is extremely common. And this thing the size of a
580780	585720	Prius, blacker than black, reared up 45 degrees and then shot up into the sky faster than anything
585720	592100	you'd ever seen. In so many cases, including the craft mentioned by Bob Lazar, that somehow with
592100	599760	With the emitters and the amplifiers, the craft has to sort of tilt before it goes into this really fast mode.
599980	601180	There are three amplifiers.
602740	607320	The way in which it gets propelled are two different ways.
607440	613300	There's what they call Omicron configuration, where the craft is using one generator,
613500	616840	or Delta configuration, where it's utilizing all three.
617300	619820	Delta configuration would be for space travel.
619820	624120	Essentially, the craft will tilt up on its side, as opposed to a science fiction movie
624120	626020	where you see a flying saucer moving around.
626440	631160	The craft will tilt up on its side, focus the three gravity generators to a single point
631160	632620	and move through space that way.
633040	638320	We also are reminded of Westall, the sighting at Westall where the craft as well.
638340	642980	There's this famous Polaroid that I'll pull up here, where the craft went to its side
642980	644400	before taking off.
645440	647580	So are these craft all using the same technology?
647580	666500	Are they all built at the same factory? Is this just something that you need to do to travel really fast? I don't know, but it's interesting. And not to mention the gimbal footage. This seems also like something we witnessed in 2017 when that footage was released, that the craft looked like it stopped and then started tilting on its axis.
666500	678040	So immediately we're looking at things that seem to corroborate future sightings, or at least that act as a genesis to all the other reports.
678040	701420	Now, most people stop there when it comes to Joe Simonton. They think, well, this guy's clearly gone mad. He's clearly gone insane. We'll save that for a bit later because very reputable, credible and trustworthy people will actually vouch for Joe Simonton's mental health and the fact that he is a stand up person and really a pillar in the community.
701420	713280	He's not someone who is known to exaggerate, lie, or make things up. And the fact that, you know, he really didn't profit from any of this, I think, should also be noted.
713280	727560	So during the same hour, Savino Borgo, driving Highway 70 about a mile west, saw a metallic disc lift diagonally and fly parallel to the road, silent, shiny, and gone in moments.
727720	734240	Here is his testimony in the Milwaukee Sentinel, April 28, 1961.
734240	740900	1961. Savino Borgo, about 50, Eagle River insurance agent and scoutmaster, said he had
740900	746640	seen the saucer while driving on Highway 70 about a mile from Simonton's home. He said it rose
746640	753220	diagonally and flew west generally parallel to Highway 70 about the time that Simonton said he
753220	760280	saw it. Jack Long, who runs a market near Boulder Junction, and Gib Sanborn, Wisconsin State
760280	765960	State Employment Service Office manager at Eagle River, both told of recently citing saucers.
766220	770860	And then Simonton goes on to saying that he had received a bail of letters from people,
770920	774960	particularly in the Fort Atkinson area, who said they had seen flying saucers,
775020	779880	but had not had the courage to report their findings in the face of ridicule they expected.
780400	786680	So that, my friends, is an incredibly interesting little piece of corroborative evidence
786680	792520	that I think many people omit to this story, that in the same hour, the same craft described
792520	800420	by Simonton was seen in that general vicinity, also flying diagonally in the same direction.
800680	807220	But then sometime between April 18th, the landing, and April 21st, Joe Simonton brought a single
807220	816020	pancake to County Judge Frank W. Carter. On April 21st, Carter forwarded that specimen to NICAP
816680	818960	in Washington for laboratory analysis.
819600	821580	And NICAP is actually pretty interesting.
821800	826980	So it's one of the most prominent civilian UFO research organizations in the United States,
827160	829880	especially during the 50s and the 60s.
829940	835720	This was founded in 1956 by none other than Thomas Townsend Brown.
835980	839640	I think I hear Jesse Michaels' ears burning from here.
840580	844600	It later came under the leadership of retired Marine Major Donald E. Kehoe,
844600	847840	who became the most public face of the organization.
848860	852660	NICAP stands for National Investigations Committee on Aerial Phenomena.
852840	856740	It should also be noted that NICAP helped fund the Condon Committee,
856900	862280	which went on from 66 to 68, which was like a government-funded organization
862280	864900	to see if there was a there there regarding UFOs.
865540	869380	And then, you know, the famous Condon Report came out saying that,
869380	871660	But no, nothing's going on.
871880	873440	Nothing to see here, folks.
873720	874600	Move it along.
874960	879800	There was also another sighting on April 18th, 1961.
880440	884780	And this is the report given to NICAP at the time.
884900	888660	This is from Mrs. Paul Cooper and Daughters.
888900	890840	So this is the report that you would have to fill out.
890920	895360	This is Mrs. Paul Cooper, so I'm guessing Paul Cooper's wife, occupation, housewife.
895360	900800	They give the address here, the telephone number, and the date of observation being April 18th, 1961.
901860	905520	Within the same area, how long did you see the object?
905720	907340	Three to five minutes.
907800	910320	The weather conditions, it was dusk.
910820	912900	Position of the sun or moon, we were east.
913040	917260	The object was traveling north and sighted in the west.
917940	922360	She describes it as seemingly revolving, which is interesting.
922960	926360	The object also seemed to be brighter than the background of the sky.
926880	931160	It wasn't standing still, but it might have been giving off smoke.
931460	933220	Okay, so did she see an airplane?
933400	935860	Did she see a possible UFO crash?
936240	936920	Who knows?
937880	941840	She said the object was sharply outlined and looked like a bright star.
942120	946500	It looked, it was perhaps self-luminous and perhaps reflecting.
946500	954200	She said it had a curved bright streak, curved as a comet might be if orbiting.
954740	960580	She says it seemed to me like something traveling across the sky in a sort of orbit.
961760	969360	And the reason she reported this is because she read in the newspaper later on of Joe Simonton's report and then remembered what she saw.
969480	974200	And that's why she wanted to submit this retroactively.
974200	994660	But alas, we don't have a solid description of an object. It seemed like a defined object that was rotating, that was emitting a light, but also had some type of trail that was curved. Who knows what she was seeing? Was that the same object? It happened to be on the same day, which I think is interesting and definitely worth mentioning.
994660	1006960	So following this on April 19th, somewhere between April 19th and April 21, we don't exactly know because there isn't any real evidence here or any paper trail.
1007060	1012000	But Joe hands over the pancakes to county judge Frank W. Carter.
1012260	1018440	And then on April 21st, Carter forwarded that specimen to NICAP in Washington for laboratory analysis.
1018440	1027840	Carter saying, today I forward you a cake alleged to have been taken from a UFO that landed on Mr. Joseph Simonton's farm.
1028220	1035340	Kindly arrange scientific analysis and advise whether similar specimens have ever been reported.
1035900	1044720	Now, between April 21 and April 22, this is where things begin to get a little complex.
1044720	1049880	Because this is when the story hits the wires.
1067300	1076600	Meanwhile, the pancakes are sent off to being tested, and this will all in a second alert the Air Force.
1077440	1080520	But before we get there, let's look at these articles.
1080900	1084020	Got Cakes from Saucermen is Claim of Joe Simonton.
1084140	1085480	This is from the Three Lakes News.
1085760	1089660	The alleged landing and contact between three men in a flying saucer
1089660	1094820	and Joe Simonton, 54-year-old Eagle River plumber, has rocketed to first statewide
1094820	1101100	and then nationwide attention since it broke to the public shortly after noon Saturday.
1101420	1105160	Simonton claims he received several small pancake-shaped pieces of food
1106720	1120160	He turned over one of the cakes, about three inches in diameter, and perforated with many little small holes to Judge Frank Carter, who said he sent them to Washington, D.C. organization investigating unidentified flying objects.
1120780	1128840	The National Press Services became interested in the story, picked it up, and received confirmation from Washington that the cakes had been received.
1128840	1138120	But a lab report based on an analysis of the cakes would be unavailable until Friday, April 28th, or as late as Monday of next week.
1139160	1142400	Meanwhile, the story simmers, and the question rages.
1142420	1145080	What is behind the incredible report from Joe Simonton?
1145640	1152700	The claimed landing of the flying saucer was said to have occurred about 11 a.m. on Tuesday, April 18th,
1152700	1158140	but Simonton said he was reluctant to spread the word, realizing some would claim his experience was preposterous.
1158840	1164040	was attracted to his yard when he heard a noise outside and the saucer gleaming silver, brighter
1164040	1170280	than chrome, had landed in his yard. He said about 12 feet from top to bottom and about 30 feet in
1170280	1175300	diameter. Simon said the hatch opened about five feet from the ground and he could see three men
