start	end	text
5360	8080	Coming up on Area 52 Investigations.
8180	14880	My name is Joseph McMonigle. I was the first one recruited for the Stargate program.
15260	17380	So they assigned me 001.
17640	21480	But his drawings were so precise and detailed.
22780	25760	There's 16 apartments, he's in the third floor.
25760	30840	Get out of your body, open the envelope, and study the photograph that's in that envelope,
30940	34820	and you tell us what you saw. Because what was in the envelope was this.
37900	39380	Yeah, that's the right response.
40080	43560	And it was a pyramid, a really huge pyramid.
43780	49900	In comparison to the big pyramid in Egypt, you could put three of them inside this.
50060	51900	I want to know if the government's still doing this.
51900	63720	Here are the 19 agencies and the numbers on top of these bar graphs are the number of times independent chimes with different new missions that each of these places came back with new missions.
64040	65020	Ah, yes!
65920	66760	This one.
67060	73380	So that raises two questions. What the hell opens that door in your head and what closes it?
73600	81060	They took me to the Lawrence Livermore Radiation Labs to see if my mind can trigger a nuclear bomb.
83500	85000	Thank you.
