start	end	text
0	4520	There's just an overwhelming amount of evidence that says that this is a real thing.
4660	10680	I am the former operations and training officer for the Department of Defense Stargate program.
11120	17840	My name is Joseph McMonagle. I was the first one recruited for the Stargate program.
18300	23280	It was another kind of like crack in my reality. I was like, I really don't know anything.
24000	26540	I fully believe what he is telling us.
26720	29020	I gotta rethink my worldview now.
30000	34000	The researchers have been doing something I have no idea, but now it's about ready to go.
34180	37020	That is a psychic disincentive right there.
37240	40620	If that's true, what does that mean about the universe?
40900	45740	You start processing it differently in the way you think.
46020	50140	And when you start doing that, time and space goes away.
50720	52240	The rules go away.
58020	60040	You know, it is real. Wake up.
62900	64420	All right. Ready to remote view?
64860	65700	I'm so ready.
