start	end	text
0	8620	You were involved in one of the most important, in my opinion, one of the most important programs that the U.S. government's ever funded, which was the Stargate program.
8900	15560	You know, 17 out of the 19 intelligence agencies that used Stargate, 17 of them came back for new missions.
16000	20900	And out of the 20 years that Stargate was around, they did 505 missions.
21300	23020	I mean, you have CIA, FBI.
23760	24800	Customs, DEA.
24880	25340	That's right.
25600	26560	Army intelligence.
27000	28060	Navy intelligence.
28420	29540	Air Force intelligence.
30000	30760	all of it.
33160	34960	Gaddafi, he had a chemical plant.
35220	37160	Intelligence couldn't tell for sure,
37820	40840	and they didn't know how he was getting the chemicals to the plant.
41080	43600	I got the name of a vessel.
43900	46840	I called it the potato, like you spell it like potato.
47380	50340	It goes from turkey to grease or whatever, and then it comes up here.
50680	54100	And I said, and I think that that's how the chemicals are coming in.
54240	57860	And the analyst said, well, it's not potato, it's potato.
58300	59460	It's a bee.
60000	67520	And this guy called the general who was the head of operations and said, we're going to launch a submarine based on my information.
67760	69600	Well, that really was pressure.
69900	70380	Whoa.
73280	74580	Do you have synesthesia?
74800	75240	Yes.
75520	75900	You do.
76380	84140	That was one of the things they found out later on, that the psychics that they had worked with at Stargate were mostly synesthetes.
84520	86760	What is your synesthesia like?
87600	88400	Colors, colors.
90000	91540	people. You see colors around people?
92180	93680	Aura. Auras. Really?
94500	95360	Do you see mine?
100920	101680	I've had
101680	103840	two UFO sightings
103840	106040	and I've also had
106040	108000	you know, a few minutes with an ET
108000	109420	so I've seen
109420	111420	I felt like
111420	113040	I went through a portal
113940	116000	and I saw, I think
116000	117940	it was one of the ones, the grays
117940	119440	are they the ones with the black eyes?
123760	125040	this is putting you on the spot.
125140	126600	Would you be open to doing a session today?
127240	128240	Yeah, I'll do a session.
128480	128820	Really?
129020	129780	Yeah, I need, yeah.
130140	131320	I'll get you a pen and paper.
131480	131700	Okay.
131780	132300	What do you need?
132400	133000	Pen, pencil?
133200	133380	Pen and paper.
133600	134140	Pen and paper?
134320	135700	Go ahead and ask a question.
137020	137400	What's,
139600	140840	what's the purpose of this,
141580	142580	what I'm doing now?
145320	145700	Okay.
146460	148120	It goes channeling, okay?
148120	148280	Okay.
150560	154200	Have you RV'd or have an opinion on 3i Atlas?
154640	155180	Oh, yeah.
155280	156860	It's supposed to be coming or something.
157040	157240	Yeah.
157300	159260	Some people are saying it's a big alien ship.
159340	160800	Other people are saying it's an asteroid.
160800	162200	I have not remote viewed it.
162260	165420	I'm very interested in it and I may go remote view it.
165440	166460	Could you keep me in touch if you do?
166580	166980	Yes, I will.
167020	167360	I will.
167400	170540	I will go home and do it and I will email you my results.
172340	175300	I do have a question and you let me know if you're comfortable with this.
175300	180060	When you were on the Sean Ryan show, you had stopped at a certain question.
180260	181560	You know what I'm referring to?
181800	183380	I know, everybody asked about that.
183540	186600	Have you tried to look into the crucifixion?
193160	202400	It was December 20th, 2021, when me and my dad were driving in Colorado Springs near the Space Force Base.
202400	208800	and we saw six lights appear in the sky out of nowhere.
210240	212940	Basically two triangular patterns.
213240	221180	And then all of a sudden a black triangular spaceship appeared out of nowhere.
221780	228560	And I tried to pull out my phone and it told me it's not going to work.
228640	229780	This is a gift.
229780	232420	Just embrace the moment.
235420	244000	Angela Ford, thank you so much for coming here and finally being able to sit down with me and have a conversation.
244120	245780	I'm so excited to have you. Welcome.
246140	247940	I am so excited to be here.
