start	end	text
0	4520	There's just an overwhelming amount of evidence that says this is a real thing.
5280	8220	It was another kind of like crack in my reality.
8900	10920	I want to know if the government is still doing this.
11620	15060	If that's true, what does that mean about the universe?
15680	17740	You know, it is real. Wake up.
18600	25800	Alright, ladies and gentlemen, welcome to the very first edition of Debriefed, a podcast.
25800	31180	Podcast, we're going to dive into basically the, you want to call it an investigation,
32740	35880	of remote viewing, which we just had.
35960	40080	We had a, what is it, over a year-long journey at this point.
40520	44860	Took a little hiatus, but then we got back to it.
44940	51680	And we just, you guys have probably seen, you know, all the videos that we put up on this channel.
51820	55200	And hopefully you've seen Nelson's videos as well on his channel.
56460	58460	which looks at a different part of remote viewing.
58780	60780	Ladies and gentlemen, this is Nelson Delis.
60940	62380	Hey, everyone. Thanks for having me.
64780	66580	So let's just dive right into it.
66620	70140	Guys, if you don't mind, obviously, subscribing, leaving a like,
70280	73540	and maybe leaving a review on the audio platform.
73660	74500	It really helps out.
76040	78720	Nelson Delis, five-time U.S. Memory Champion.
80180	81160	Let's start at the beginning.
81160	91900	you were you were uh hit up on facebook i believe yeah so as part of this memory world i'm a part of
91900	98440	a few facebook groups um you know where we just post about championships and happenings in the
98440	103920	memory world as exciting as you may think that may be um but anyways people sometimes come out
103920	110540	there and post really out there stuff and sometimes you ignore it sometimes you you read it and this
111160	116540	post it wasn't directed towards me specifically it was just for the group and um it was maybe a
116540	120580	sentence or two saying something like i'd have to look it up exactly but it was basically
121220	128940	there's a job opportunity um part-time make a little cash um doing something with your memory
128940	134880	that vague not even talking about anything did other people respond to that from what i saw i
134880	140480	didn't see any other responses no nobody had even commented on it maybe a couple likes so you don't
141160	144380	Anyone else was introduced to this or you would have known by now, speaking to Brett?
144920	145480	Oh, I know.
145560	146900	I know who else was involved.
147100	147660	And there was others.
147920	148100	Yeah.
148180	148540	Yeah.
148900	150520	Oh, did you hear about them?
150700	150960	Oh, yeah.
151040	151620	Yeah, yeah, yeah.
151760	153700	And how did they do?
155300	156520	I didn't hear about this.
156720	156980	Yeah.
157120	162760	So I don't know how much I want to give because I feel bad putting him into that world.
162880	166860	But there is another well-known memory athlete who was – there were two of us.
166880	167980	It was me and this other person.
167980	174080	And I think maybe a couple other people went into the interview, if you can call it that.
174160	174700	Applied, yeah.
174780	176340	Applied or whatever, or threw their hat in the ring.
176560	181400	But I think they had already said, I probably was the first because I always answer to stuff like that.
181460	182100	I'm just curious.
182900	183740	And that's what I did.
183780	186180	I sent an email saying, or a DM and was interested.
186300	188060	And they called me pretty quickly.
188620	191240	And I think this other memory athlete was the second.
191260	194900	And then they were good with two of us for this project.
194900	201900	um but this other memory athlete is a top memory athlete i won't tell it who it is um but i will
201900	210740	say that he is of a part of the world where they think it's very certain way and it's hard to break
210740	216440	that skeptic yeah yeah and the most skeptic if you can think of any country in the world where
216440	221440	they might be that way and like nothing will change their so he's middle eastern no well
221440	224660	Well, maybe I'm making a generalization.
224680	226080	There's a lot of skeptics in the world.
226180	226680	But it's funny.
227500	229980	I was surprised that he had done this.
230220	236780	But we would check in from time to time going through this program and be like, what do you think?
236820	237360	Is this real?
237600	238660	Have you had any hits?
238820	241820	And even Brett would say, he's doing really well.
241920	242260	Wow.
242340	243480	Probably even better than me.
244880	248740	But the memory athlete would just be like, this is such bullshit.
248860	249740	Brett's tricking me.
249900	250240	Right.
251700	255920	or he's like switching out photos or I'm making it up in my head.
256120	259060	And I talked to him maybe like half a year ago,
259120	261740	and he doesn't do it anymore, but he still thinks back on it.
261780	263020	It was just like it was a horse of crock shit.
263420	263780	Yeah.
264080	265720	Can't blame him for feeling that way.
265800	270900	You know, it's how I would think more than half the people, you know,
270920	273840	feel about this subject because they're uneducated.
273960	274400	Yeah, yeah.
274580	276400	And, you know, not to jump ahead,
276480	280700	but going into the places and speaking to the people that we've spoken to,
282120	288120	I feel just healthier that we come to our own conclusions through this rather than just dismiss it all entirely.
288280	289120	And I feel like you're the same.
289220	292700	So after this, you're doing this memory stuff for them.
292740	296800	They train you every day for an hour for a month, five days a week, something like that.
296900	298540	Yeah, it was pretty rigorous.
298680	305420	I mean, the actual session was an hour a day, five times a week, Monday through Friday for about a month, a little more.
306000	307580	And then we'd have to do these sessions.
307620	309380	So there's homework, essentially.
309380	316740	essentially. And that took some time. So it was pretty in-depth. And then once that training
316740	322320	session was over, we kind of graduated to doing the actual tasks for our employer.
322520	330200	Right. Okay. And then based on those. So to get a little technical, what you ended up doing with
330200	336320	these people was something known as ARV, which is different than remote viewing and different than
336320	343280	and CRV, coordinate remote viewing. ARV is associative remote viewing. And if I understand
343280	352440	correctly, it's a binary sort of system to where you're essentially describing something,
352700	359380	and then you're presented with two pictures, and whatever one that that is closer to will be the
359380	364200	result. And on the back of that paper could be some information that you're not privy to, and
364200	368800	that maybe even the person giving you the photos isn't privy to, but that goes into a whole separate
368800	373200	thing. Yeah. Yeah. Yeah. So basically you're doing a remote viewing session, a little more stripped
373200	378660	down of remote viewing session, only because you're going to take your results and have it
378660	383760	judged ideally by somebody else. But in some cases you can do it yourself if you have a good
383760	392100	protocol, but you judge what your results match better to photo a or photo B. And on the side of
392100	397460	the person who provides those photos for you, they try to really choose photos that are really
397460	404460	different, um, just so that the judging is easier and there's really no, um, way that you could be
404460	410600	confusing one or the other when it comes to what you saw. Um, and then, you know, that, that binary
410600	417200	choice, those two photos on the side of the task tasker, they basically associate one photo with
417200	419500	with the other, with some situation.
420020	424540	And in our case, we were doing it with trading and stocks, right?
424640	428340	So photo A might be a stocks going up versus photo B going down.
428600	430120	We do the remote viewing session.
430580	432220	I say photo A, right?
432340	435900	And then they would make a bet or trade based on that.
436140	439640	And we were a team, so it was actually not just what Nelson got.
439780	443220	It would have been what me and number two was,
443400	444640	the other memory athlete,
444640	447160	and then they actually had another group of six people.
447160	450340	And I'm sure if that information was conflicting,
450600	452560	they might just not use it.
452600	453680	And then if it was supportive,
454560	456440	if all the information that you were getting
456440	458340	from these three sessions were supporting,
458520	460960	then that would be like a conclusive way to bet.
461040	464440	Yeah, so sometimes based on what you get as a group,
464500	465680	you pass, right?
465780	466320	You don't do anything.
467180	470340	Even sometimes my judging or my session
470340	471700	would be worthy of a pass
471700	473380	because it wouldn't be very convincing
474640	475740	And that's okay.
