start	end	text
0	4980	This week's guest is none other than the American alchemist himself, Jesse Michaels. Now I wanted
4980	10360	to come on here just to set up the way this podcast kind of played out. See, at the beginning
10360	16180	of the podcast, Jesse and I, we talk about President Trump's statements in response to
16180	21580	former President Barack Obama saying that aliens are real. And it kind of gets us talking about
21580	27780	the current state of disclosure. Will Donald Trump be the president to disclose
27780	35360	that aliens are real, what's going to come from this. And then somewhere around the one hour mark,
35580	42300	our friends interrupt the podcast so graciously by informing us that President Trump has tweeted
42300	47260	this call to action and the fact that he's going to be investigating and looking into UFOs,
47260	53440	aliens, extraterrestrials, UAP, etc. It was kind of a historic moment and we caught it on video,
53440	65940	So I thought I'd just come on here to sort of quell any confusion that you might have because we begin the podcast talking about the very thing that ends up happening a little bit later on.
66940	76740	Now, Jesse also opens up about his relationship with Harold Malmgren and a really interesting story that he's never told before.
77020	80200	So thank you for joining me today, and I hope you enjoy the podcast.
81940	82860	Hey, what's up?
83440	87380	So in 2009, I worked for Supported Living Systems in Tucson, Arizona.
88440	91680	I also, so I was asleep at a computer.
91780	94080	I woke up in the middle of the night, the whole place vibrating.
94280	95280	I was like a night watchman.
95460	99600	And I looked at my cameras and all the people that I took care of,
99680	102760	I watched to make sure that like they didn't escape,
102940	105500	but they always were outside looking at the sky.
105600	108280	I went outside and the entire sky was blacked out.
108420	112780	And it was like a black box the size of like 20 football fields.
113440	118580	The cops came and I made a report and I gave it to supported living systems the next morning.
118680	120580	It's all logged down in it.
120720	124640	I have no way of ever reporting this.
124700	125660	So this is the first time I've heard.
126780	129200	Jesse Michaels, welcome back to the skiff.
129300	130100	Oh, thank you, Chris.
130440	130880	How you doing?
130940	133540	Always great to see you and to be in the skiff.
133700	135060	Yeah, good to have you, man.
135180	136040	I'm so excited.
136120	136940	You know, you're in town.
137480	142280	We just had Gerb on the podcast, too, and we're all hanging out.
143440	145140	show for It's Probably Nothing, which is
145140	147360	super exciting. Can't wait.
147540	149420	It's going to be awesome. We have some very special
149420	151320	guests. Yeah, we can announce it because that'll probably
151320	153580	already, I'm sure, be around.
153800	155300	But George St. Pierre.
155520	157180	Yep. UAP
157180	159260	Gerb. And then possibly some
159260	161360	drop-ins. I'm thinking maybe Amar.
161640	163500	Maybe James Fox. Maybe James Fox.
163540	165300	Yeah. And maybe some tall
165300	166660	ass alien looking
167340	169240	dudes walking around in top
169240	171220	hats. But who knows? That's
171900	172420	speculation.
173440	176700	is. We're not going to go there. We're not going to speculate today. We're talking about facts only.
176860	180300	That's right. No, no, zero speculation. Yeah. Yeah. All facts.
182140	187560	Um, all right. You know, there's, there's a few things that I wanted to talk to you about today,
187640	193600	but one is what's, what's your initial gut check reaction to everyone saying Trump's gonna
195600	200400	disclose UFOs. I love whatever is going on right now. I feel like we're in this like
200400	206140	memetic warfare between Democrats and Republicans and presidents and ex-presidents.
206360	210480	And it's all around upping the ante vis-a-vis this alien issue.
210780	216360	And so Obama let out a thing, you know, last week on this podcast or whatever.
216520	216940	Are aliens real?
218340	220580	They're real, but I haven't seen them.
220740	224280	And they're not being kept in, what is it?
224360	224800	Area 51.
224800	225360	Area 51.
225360	233840	one uh there's no underground uh facility unless there's this enormous conspiracy and they they
233840	238480	hid it from the president of the united states what was the first question you wanted answered
238480	247400	when you became president um where are the aliens and it was this yeah they're real but area 51
247400	259580	one sorry that was my so bad it wasn't horrible i'm editing this so yeah that's great chris oh
259580	265000	thank you uh it's i need to really stop doing it like you know he takes himself pretty seriously
265000	274580	yeah um he's got obamna all right that's enough there you go yeah yeah um but uh so he obviously
274580	280040	that felt very kind of choreographed like it was like he gave himself an out you know afterwards
280040	284520	you could say i was talking about the fermi paradox like aliens are of course are real in
284520	291440	this very abstract sense yeah but then he also cited like cited area 51 but kind of like forgot
291440	297460	about area forgot the name of area 51 forgot the name of area 51 then oddly specific you know
297460	304460	know, denial of like aliens underground at area 51 and, and a denial of the fact that there are
304460	310860	underground bases at area 51, which, you know, we're here with UAP Gerb, you know, it was a great,
310860	315360	you know, documenter of these deep underground military bases, you know, you have the solder
315360	319860	book about deep, like that's a thing. It's definitely a thing there at area 51. Luigi's
319860	324860	here as well. Who's doing the Bob movie. You know, I think he has a lot of amazing evidence around
324860	329500	underground passages and the whole place being this mining you know like they're being mining
