start	end	text
8620	12140	Agent Ramsey, we've got a new investigation for you.
13140	15220	Something your department should have a look at.
15780	18140	I'm sending over the information as we speak.
18380	20200	You'll need to travel to North Carolina.
20520	21520	Pack your bags.
38220	44440	Throughout human history, the appearance of luminous orbs in the sky has ignited wonder,
44640	53040	fear, and speculation. These ethereal lights, hovering, darting, or pulsing with a strange
53040	60140	intelligence, transcend folklore, and defy easy categorization. They challenge our
60140	66000	understanding of reality itself, stirring questions about consciousness, dimensions,
66320	71740	and the unknown forces shaping our existence. What if these phenomena are
71740	77340	not mere anomalies but deliberate messages, encoded in light and mystery?
78280	84360	Amid the myriad of accounts of contact and unexplained encounters, few are as polarizing
84360	87640	or profound as the story of Chris Bledsoe.
88440	93220	His journey took a dramatic turn in 2008 with an extraordinary event.
93520	97780	An encounter not just with luminous orbs, but with its occupants.
98340	104740	What followed was a cascade of disbelief and ostracism, as his family became the target
104740	110880	of ridicule relegated to the fringes of their community. This eventually inspired Chris to write
110880	116960	his best-selling book, UFO of God. In it, he recounts the events that upended his life,
117760	124360	but more importantly, he unpacks the spiritual and existential questions those experiences forced him
124360	131580	to confront. Bledsoe's story isn't just about UFOs or alien craft. It explores the deeply spiritual,
132380	135960	intertwining divine intervention, ancient archetypes,
136000	139860	mysterious healing abilities, prophetic messages,
140120	142060	and even a burning tree.
142220	144840	This tree just spontaneously combusted in our backyard.
145200	146580	It's a modern-day odyssey.
147340	149520	But this is no mere personal account.
149940	153580	Bledsoe's experiences have captured the attention of powerful institutions,
154000	157300	including the U.S. government and even the Vatican.
157300	164780	Why would agencies rooted in geopolitics and theology take an interest in a rural man's encounters with orcs?
165260	171540	Could the truths here be so profound that they might blur the lines between science and religion?
172100	181120	In this investigation, we'll trace the arc of Bledsoe's encounters, from his initial contact to the intricate spiritual revelations that followed.
181300	185320	What is it about his story that bridges the gap between the skies and the sacred?
187420	188220	more than ever.
188840	189780	Oh my god!
189920	192160	Oh my god, look at that!
193560	197140	Okay, just landed in Wilmington, in sunny Wilmington.
197780	198200	Hello.
198800	202300	This is Ryan Bledsoe. We're gonna go see his dad, we're gonna hang out.
