start	end	text
0	5500	But he said one thing that floored me, man, to the pits of my stomach.
5580	8540	He said, but I remember your glove on a shiny floor.
16620	18480	I answered all of his questions.
18660	23240	It was very difficult because I had like a lot closer reaction of proximity
25220	27300	to what was on the right side of our vehicle,
27300	30260	to these beings on the right side of the vehicle.
30340	31880	I mean, I literally...
34680	36820	I don't know if it was my heartbeat, but...
37780	39260	Okay, so he was in control.
40060	41920	So how tall was the tall one?
42120	43100	He was six foot.
43480	46640	He was different.
48460	51460	The little guys didn't poke me like he did.
52380	54120	When I realized what I was looking at
54120	55540	is when I really just went...
59780	65000	Some of those visions are almost indescribable.
65120	65840	Really large what?
66320	66920	Craft.
67280	67860	Craft.
71940	75820	And when you realize, was that realization, oh my God, aliens?
76360	76960	Yeah.
77140	78260	We had a leaked vehicle.
78480	79920	They should have just stepped out.
80640	81240	I'm scared.
82100	87240	What happened that night on November 5th was up close and absolute personal.
88280	96200	And no matter whether they ever hear me or not, I live with that.
99340	104620	Whenever I was 13, I woke up in my bedroom because my light turned on.
105580	107760	And it just clicked right on.
107820	110860	I was the only one in the house besides my mom who was in the bedroom down the hall.
111240	113400	And she was asleep, positive, I could hear her snoring.
113500	118220	And then after my light turned on, my door started opening by itself, I thought.
118420	120900	But actually then I saw a hand on the door.
121300	125580	It had long fingers, very thin hand.
125740	130900	And I thought I was having a nightmare, but then I was pinching myself and slapping myself.
131040	132740	And I realized I am not asleep.
132940	135340	And I saw how thin its arm was and I got freaked out.
135420	136160	I was shocked.
136900	138180	I was very scared.
138420	139500	I was on my futon.
141240	145720	hand up. It was really hard to do, but whenever I stood up, like, it felt like I was pushing against
145720	151820	like a force that was trying to like hold me down. And then whenever I saw its face and its body,
152000	158280	it was about my height, and I was about five foot nine. It was skinny gray, you know, big head,
158280	163340	almond eyes, slit mouth, two little holes on the nose. And yeah, it started coming toward me,
163380	167100	and I remember thinking, I'm going to hit him right in the head. And as soon as I started
167100	172360	thinking that, I heard in my head, no, you won't. And it started walking toward me very slowly.
172640	176980	And the closer it got, the more I couldn't like move. I actually had a fist and I was pulling
176980	181120	it up in the air, trying to come at him. And then I thought, I'm going to hit him and then I'm going
181120	186580	to elbow him. And he said, no, you're not. And it got really close and it tapped me on the forehead
186580	192240	very slowly. And as soon as he did, I felt electrocuted, like vibrating like crazy.
192440	193800	And then everything went black.
195760	197260	This is such a great set.
197420	198100	It's a trip, right?
198280	199240	Yeah, it is.
200680	203640	When you got here, I'm sorry, I'm going to shut my phone off here.
203740	204360	Yeah, mine's in there.
204500	205400	I don't have it with me.
205400	206600	I don't want it in here with me.
209840	210200	Boom.
213480	213840	Done.
215200	216420	No more disturbances.
217460	218360	It'll have to wait.
218420	219620	If the world burns.
220080	221240	It'll just have to burn.
221360	221840	Let it burn.
225040	226120	Do you doodle a lot?
227180	228060	Sometimes, yeah.
228700	236400	It's more like, you know, like Mayan figurines and stuff.
236460	236800	Oh, yeah.
236960	238460	You know, it's just something I do.
238620	239360	Did you do that before?
240020	240380	Yeah.
240660	242180	I mean, before it happened.
242320	244260	Yeah, before 70, what, 77?
244480	245720	No, I really didn't.
246400	248120	Sometimes I'll just do a whole page.
248260	248560	Really?
248600	249920	Yeah, I'll just do a whole page.
250080	252340	And it doesn't really make any sense to anybody.
252380	253640	It doesn't even make sense to me.
253800	256240	I just had to put these designs in, you know.
256360	257420	Just cathartic.
257420	258780	Yeah, just following stuff.
259140	259860	Give me a sec, Mario.
259920	260580	I forgot my notes.
260620	261280	I'm going to grab those.
261380	261840	Oh, okay.
270260	272660	Find myself doodling sometimes as well.
272720	273040	Oh, yeah.
273300	274220	Got to, man.
275200	275760	Got to.
276120	276720	It's fun.
276780	281020	There's a tactile sort of compulsion sometimes that you got to just.
281220	281460	Yeah.
281460	284280	I do it while I'm editing and I'm waiting for something to render.
284600	286060	I'll just mindlessly doodle.
289060	289700	All right.
289740	290500	You ready to get started?
290740	290940	Yeah.
291000	294000	I guess when I think about it, I don't do as well as I do, but I don't think about it.
294040	295420	So I'll just leave that right now.
295460	296360	You can leave it wherever you want.
296420	296840	You can doodle.
297340	298720	We can spend this whole time doodling.
298820	299060	Wow.
300700	306140	Ladies and gentlemen, today I'm joined by former USAF security responder.
307520	310880	Your position exactly was a security, it was police, right?
311460	318500	police security police uh folks this is mario woods now he's been featured on multiple podcasts
318500	325360	his story's been talked about it's an incredible incredible story about not only his encounter
326200	334560	one of the most incredible encounters i've ever come across i'm at ellsworth air force base in
334560	344120	1977. Correct. And it's, I mean, for so many reasons, Mario, you're just, you're a wealth
344120	349680	of knowledge. You're someone with the sharpest memory and recall that I've ever spoken to. We
349680	355880	spent some time at dinner last night and you're rattling off dates and numbers. Like I have,
355880	362740	I've got a notepad here just to make sure that I say the right thing, but your memory is incredible.
364860	389240	Because there's also a whole sort of rigorous discipline around someone working around these sensitive nuclear sites that you have to abide by, the Personal Reliability Program, PRP, which is a whole thing that folks like yourself have to subject themselves to in order to be mentally stable enough to work around these things.
389240	398080	which makes you, sir, in my opinion, one of the most credible witnesses to the UFO contact phenomenon that I've ever had the honor of speaking to.
398140	399180	So thank you for joining me today.
399360	401780	Thank you. It's an absolute honor to be here.
401920	404740	I love your set. I just can't believe the work you've done.
404820	407960	And it all means such good things.
408100	412720	You know, really, we need to know and we need to set up for these things just like what you've done.
412880	416340	I just, it's incredible just to see what you've done here.
416580	417500	I appreciate it.
417540	418000	And having me.
418120	418740	Thank you.
419240	420800	Mario, you mind pulling your chair in just a little bit?
420820	432140	I just want to get you close to the microphone. You got such a lovely voice. Don't be shy. You got to, if all else fails, you got a disc jockey somewhere within you in a previous life, I think, or something.
432400	433060	I don't know.
433440	438220	You got a really good voice for radio. Unlike myself, I've got a face for radio.
438480	440560	You do have a voice. You do have a voice.
440560	457760	Yeah, well, it comes naturally to you, sir. So I do want to get into, obviously, what happened alongside Michael Johnson on that event, that faithful night in November, November 18th, 1977.
457760	465060	77. But prior to that, I want to take you back to your childhood and I want to start there.
465420	471460	I want to see if there's anything to glean from, you know, your childhood. Do you remember
471460	478100	having vivid encounters or strange dreams or just occurrences, not only with you,
478160	482720	but with your direct family members as a child? What's something that stands out?
482720	489640	Yeah. Well, 1961, my mother was taking me to school at Dequeen Elementary in Port Arthur, Texas.
490200	495960	And my sister is in the backseat. She was four. I was six. I think just turned six.
495980	500620	I think as the school year starts, you know, like in August, I turned six in September.
500940	508820	And anyway, as we approach the school on Dequeen Boulevard, which is still there today,
508820	513460	I've been back and looked at it and just sat there in awe from what I saw that morning.
513780	522760	And we were about the fifth car back in line and as to the drop off point, you know, I'm
522760	527480	just a young kid, not thinking anything, just doing my thing, going to first grade.
