start	end	text
17880	25180	Hello, everybody. Welcome back to a new episode of Debriefed. Today, I am joined by somebody
25180	29280	somebody very special who I've just come to know. This is Don Donderry, professor.
30540	31440	Associate professor.
31640	34680	Associate professor with, I mean, how many years at McGill?
34700	35800	At McGill, 47.
36480	42680	47 years, a tenured professor, associate professor at McGill, a professor of psychology, I believe.
42840	43000	Correct.
44560	51780	And what's really interesting about Don is Don is probably the only person that I know of,
51780	56420	at any rate, who taught a course on UFOs.
56420	56720	Is that correct?
56940	57420	That's correct.
57720	60200	In McGill's community for lifelong learning
60200	62440	for adults who had already graduated
62440	63720	and were just coming back for more.
63880	65660	That is incredible.
66080	67940	And what, I mean, we've spoken a little bit
67940	69360	about this off camera.
69500	70780	Before I get into this though,
70820	72720	I do want to encourage you guys to, you know,
72720	74900	do all the things, go hit the like button,
74960	78600	subscribe and leave us a review on Spotify
78600	80880	or iTunes or wherever it is you're watching it from.
82480	84840	and go check out some of these books.
84920	87780	So both these books here are by Don Donderry.
88580	92020	We have UFOs, ETs, and Alien Abductions,
92280	94080	A Scientist's Look at the Evidence.
94540	97940	And then we have his latest one, Truth, Lies, and ETs,
98100	99360	How We Stumbled into the Universe.
99580	101200	So I'll leave the links below to that.
101280	102320	You guys can check that out.
102600	103160	Thank you.
103480	104220	No problem.
104400	105300	So where do we start?
105580	106680	Well, that's a good question.
106740	107480	Where do you want to start?
107580	110480	If I go back to where I began with this subject,
111780	118600	about 1965. I was at McGill. I was, by that time, tenured, which meant I couldn't be fired for
118600	124720	opening my mouth on unpleasant subjects. And I began to realize that the evidence that people
124720	131000	were presenting in the newspapers and on radio in those days, mostly, that they were seeing things
131000	137680	in the sky was fascinating to me. And I go back a little further because I remember as a kid
137680	143820	reading about this stuff, and I mention this in some of my books, in about 1947, UFOs began to
143820	151040	make their way into the public media in the U.S. where I grew up. And that was in things like Look
151040	157800	Magazine and in newspaper headlines. And that interested me. In 47, I was 10 years old. I was
157800	163560	a little too young to pursue the subject in detail, but it got my attention then. And then later on,
163560	167780	when I got to be older and actually had a steady job from which I could not get fired.
167960	171200	I took it up seriously as a psych prophet.
171300	174320	When was the year that you started this course?
174720	176460	Well, the course came much later.
176560	176980	Much later.
176980	178580	My interest began in 1965.
178860	184880	The courses at McGill in the community for lifelong learning started in the mid-80s, 90s.
184920	185180	Wow.
185200	186860	They were much later on.
187160	191940	So that was, I mean, that must have been a really exciting time
193560	198340	look at the stigma associated with UFOs and ETs and abductions and all of this, and there still
198340	205620	is a stigma, but it's dissipating. But back then, you must have found a little bit of pushback,
205640	212260	I would assume. Funnily enough, no. I lived in a very good environment. I give credit now to the
212260	218440	psych department at McGill for having never given me a moment of trouble about this. I had tenure,
218580	223340	to be fair, which meant they couldn't fire me for my opinions, but people didn't. They didn't make
223560	228780	hard for me. And I even had a university administrative job after that in the 70s.
228780	236080	So I got kicked upstairs, so to speak, to deal with graduate faculty fellowships and scholarships,
236200	241880	which is a fairly responsible job after I had gone public with this stuff. And so even my
241880	248080	seniors at McGill were tolerant of my interests and didn't suppress me, so to speak. So I have
248080	259780	I have to say, with all credit to McGill, I never felt a moment of upset from them by having taken this subject up.
259880	260620	That's it.
260620	261340	That's amazing.
261660	262660	I feel good about it.
262700	264580	I would feel great about that, too.
265420	272100	I mean, that's such an interesting thing to discuss nowadays is the teaching of you.
272100	286840	I suspect that in 50 years' time, you might have been well ahead of the rest of us because I suspect that eventually this will become public knowledge that UFOs are out there, that they exist, and that we're possibly interacting with them.
286940	290100	I think that there probably will be courses on UFOs.
290680	292960	I suspect that that's something that's going to happen.
293080	295940	We're in the middle of that transition right now, I think.
295940	302340	all the publicity that came out from the, well, for one thing, that Senate hearing in 2023
302340	307900	in the U.S. made a big difference. It made it visible to the public. Now, it's been visible
307900	313120	to the people interested in this for years, like you and me and our friends. They've always been
313120	316660	interested. And there's always been a small fraction of the public that's been interested,
316840	323060	has been writing about this, has been talking to each other about it on social media and what have
323060	328800	have you. But now it's become more public with those U.S. Senate hearings. The U.S. government
328800	335520	is still lying about the subject, but the Senate was not, at least. And the public people who
335520	341540	appeared in the mid-2023 about that have really made a difference. Yeah, knocking on some doors,
341620	346900	ruffling some feathers. Absolutely. You know, especially with all the talk about the private
346900	351280	corporations who, you know, possibly retrieved these crafts and are reverse engineering them.
353060	360800	little bit into some, maybe some of this and some of your knowledge of UFOs. So what do you credit
363560	368480	your repertoire and your knowledge of all these things that you have in your books? What do you
368480	374120	credit that to? I credit it to curiosity, seriously, and protected curiosity. Remember,
374620	379540	it's a little boring to go over it again, not to you, not to the podcast people, but to the public
379540	384060	who may not realize how protected an academic is when he or she has tenure.
384200	387380	That is, unless you're immoral or don't show up for work,
387500	390980	you've got a job for life or for your professional life.
391080	391800	And I had one.
391920	394740	And I also had, as a psychology professor,
394880	399180	interested in human visual perception, which is how you see things,
399300	401280	and memory, which is how you remember them.
401520	405560	The fact that people have been reporting these things for years
405560	408380	and the academic public was scoffing.
409540	417320	this was ridiculous on the basis of the evidence. So I had been interested as a kid in 1947 when I
417320	424260	was 10 years old. I began to read about it in the magazines that were widely circulated in the U.S.
424260	430100	where I lived at the time. So you heard about Roswell. I did indeed. When you were a young man.
430360	438900	Well, I think I probably heard about whatever was going on in 1947. Those first sightings that
439720	445060	Saturday Evening Post and others. And I read them. And that kept me interested in the back of my
445060	450620	head. I had no, obviously, place to put that interest other than when I got to McGill and had
450620	456360	a platform where I could speak, as I said, without losing my job, without the boss coming in and
456360	461000	saying, Don, we've heard enough of this. Would you please find another job? That didn't happen to me.
461200	467520	Now, my colleagues may have thought so, but they were prevented from saying so by the rules. And I
467520	468260	I appreciated that.
468360	469240	Thank you, McGill.
469980	470500	Definitely.
470740	471460	Thank you, McGill.
474220	485880	So in this, I'm really curious about this course, but before I get into this, where does the information come from that you've acquired through the years?
485940	489540	Is this, I guess, meeting with other like-minded folk?
490320	494560	Where did you acquire this knowledge that you have about these crafts?
494800	496340	Well, a lot of it by myself.
497520	500220	reading the books that have been published for years about the subject.
