start	end	text
1440	7160	When I was around 13 years old, my older sister had just gotten her driver's license.
7420	10540	And we used to wait for my dad to fall asleep.
10780	14660	And we'd basically steal the car and go out joyriding at night.
14960	17500	Well, this one night, we went out.
17580	21000	On the way back, my sister's like, let's just go the back roads.
21060	22900	I feel like going by my friend's house.
23160	24980	So we're going the back roads.
24980	34800	and on the right hand side in somebody's front yard we see this giant black disc
34800	41960	this thing is about the size of a house in height out the width of a house my
41960	48940	sister pulls over we're just looking at each other incredulously and I decided
48940	54480	to get out of the car I start making a beeline towards this object and I get
54980	61140	25, 30 yards from it. And this thing just hops up off the ground in a split second. It was on
61140	66720	the ground. And then a second later, it's like two feet off the ground. And it starts to slowly
66720	72540	ascend in front of me. It's completely quiet, gets to the top of the tree line.
73280	77320	And then in a split second, it just shoots off into the clouds.
79100	84020	Ladies and gentlemen, welcome back to another episode of the Area 52 podcast.
84240	96000	My name is Chris Ramsey, and today we're going to be taking a very, very deep dive into the special operations manual of a group known as the Majestic 12.
96000	122160	And if you're wondering what the Majestic 12 is, fret not. The gentlemen behind me here on these little Polaroids are actually part of a top secret group that was put together to control, contain, and explore the UFO extraterrestrial biological entity presence that has been communicating and interacting with our planet since the late 1940s.
122160	133700	I highly suggest you go check out the video that I've already done, kind of deep diving into each individual on this list and the purpose of the Majestic 12 themselves and what their role is in all of this.
134140	143580	The manual allegedly came out in 1954, but was not leaked until 1994 to a gentleman by the name of Don Berliner.
143760	149240	There were triax negatives mailed to Mr. Don Berliner, postmarked on March 7th, 1994.
149240	155500	1994. Now, the document we are going to be reading is a replica of the one that was photographed
155500	162480	by an unknown person that was submitted on, you know, this reel of photos. The MJ-12 debate goes
162480	167720	pretty deep among UFO researchers and people flip-flop back and forth. I've been looking
167720	171700	forward to reading through this document and I can't wait to do it with you all today.
171700	178840	day. Before we do that, a few little things I must say. First of all, here's a word from our
178840	184760	sponsors. At Area 52, we run things a little differently. We investigate the unknown and
184760	189120	chase down leads most won't touch. And when it comes to launching our own products, like our
189120	198140	brand new MJ-12 collection, we don't do it alone. We use Shopify, our official platform for all
198140	203460	things area 52 think of it as a command center for any operation selling shipping marketing
203980	209920	even launching collections inspired by government secrets it's fast and powerful and works across
209920	215520	every channel youtube instagram google you name it but the real game changer
217660	222360	shopify sidekick it's like having an embedded agent inside your business
222360	227900	you could talk to it ask it to build pages give it feedback it'll even analyze your sales and
228140	233780	you what's working. I used it while prepping the MJ-12 drop and it felt like I had a classified
233780	239220	assistant with clearance to everything. If you're ready to go from idea to operation,
240080	245980	start your mission now at shopify.com slash area52 or scan the QR code on the screen.
246180	251200	That's shopify.com slash area52. Your mission starts here.
251920	269560	All right, folks, we paid the bills. If you don't mind, leave a like, subscribe, hit the notification bell, leave us a favorable review on Spotify or iTunes or wherever it is you listen to these podcasts. It would be greatly appreciated. And it goes a really long way.
269560	278940	So there is a researcher by the name of Ryan Woods who spent most of his career really looking into this and proving or trying to disprove the authenticity of the MJ-12 documents.
279100	284680	Him, along with Stan Friedman and many others, had their go at these specific documents.
284820	287140	Ryan Woods, I think, went the deepest.
287140	300960	And he has his report available on specialoperationsmanual.com, which I'll leave the link to below, where he details his forensic analysis on some of the things that might help prove the authenticity of these documents, which would be absolutely earth shattering.
301080	309520	Before we get into reading, I'm just going to go over a few of the bullet points that Ryan Woods has found through his research proving the authenticity of these documents.
309520	318460	So in short, forensic analysis of the language, font, and original photographic film prove that the document was produced in or around 1954.
318900	324260	And that's according to Wood's research and expert witnesses he's contacted at the National Archives.
324540	327280	The manual, however, did not become public until 1994.
327380	330360	We know this where it was leaked to Mr. Berliner.
330520	336680	Now, in the manual, they specifically talk about Area 51, S4, Site 4.
336680	353600	Now, Bob Lazar only came public in 1989, so that would have been a full five years prior to this document coming out, which does raise a little bit of suspicion, obviously. But put that aside for a second. Here are some things that corroborate the 1954 production of this document.
353600	367300	So, the manual was sent anonymously to Don Berliner in 1994, but the documents were sent as images on a film, and that film was authenticated to 1954 based on its type of underdeveloped 35mm Tri-X.
367600	379740	Number two, the detailed packaging procedures for the recovered EBEs and Kraft specifically mention Kraft tape, not duct tape, which is accurate to 1954 shipping methods.
380540	380760	Okay.
381120	385720	The packaging procedures spell out screwdriver as two words,
385800	389200	which was customary in 1954, but not today.
389800	390440	Okay.
390860	394060	Similarly, first aid was capitalized in 1954,
394360	399500	but the U.S. custom changed to lowercase first aid in the late 1950s.
399980	403860	Similarly, again, the control sentence on one of the pages specifies
403860	408780	N.mex for New Mexico, when the modern abbreviation would be NM.
409740	422880	The only typo in the document is desiccant, spelt with two Cs, not two Ss, suggesting the document underwent thorough manual editing, but not computer-based editing, since a spell checker would have caught the mistake automatically.
423320	424920	Next up, the letter Z.
424920	430820	Z. The letter Z is raised from the other text, indicating the printed document came from a hot
430820	437940	lead printing press appropriate to 1954 and not a more modern monotype press, which does not have
437940	443600	the same problem with a raised Z. The Z button was not used frequently as the other letters,
443680	449620	and unfrequently used letters like the Z got crud on the brass slugs in the press,
449620	456140	leading to the letter being raised above the others. Very interesting. So the raised Z matches
456140	463280	other army manuals at the time. Okay. If you want to read more detailed, obviously more granular
463280	469560	research that Mr. Ryan Woods has put together, head over to that website if you're still feeling
469560	477780	a little bit skeptical. But for now, I invite you to put that skepticism aside, suspend your
479620	488840	me as we dive deep into 1954 and take a look at the Special Operations Manual for Extraterrestrial
488840	495940	Entities and Technology Recovery and Disposal of the Majestic 12. Cover letter's got all types of
