start	end	text
7260	15100	So you want to become an intern at Area 52. I get it. Access to future investigations.
15780	21500	Alright, so this is my last day in search of the Yeti. Uncut interviews. What about the
21500	27220	Vatican? Yeah, they've investigated me. They've investigated you? Yeah. Weekly video updates.
27780	31060	So I appreciate you guys getting in on the ground floor with me here.
32040	32920	Sounds pretty good.
34540	36200	But that's not why you're here, is it?
38080	40860	You're not here for top secret access to the Discord,
41120	45400	or the book clubs, or movie nights, or Q&As.
45600	46040	No.
47540	48560	I didn't think so.
54360	56220	I don't even think you're here for the skiff.
57400	60560	or for the early access, or the extra episodes,
61640	64680	or even to have your questions answered directly on the podcast.
66160	69520	I think you're here because you know there's more.
71380	72840	More than they've told us.
74340	76220	I need you to listen to my instructions.
77280	78840	And more than we're allowed to see.
81560	85220	And I think you want to be a part of it.
87280	89460	So what happens to your $5?
92640	93980	Only one way to find out.
106280	110500	Before we begin, I would like to try a bit of an experiment.
110880	111140	Oh, great.
111420	111820	Yeah.
112480	113000	Yeah.
114280	116480	So, you know, this room was built,
116540	119640	the inspiration for this room was more of like a skiff,
119740	123080	but also a place where they used to like test people with ability.
123380	125280	You know, like in the Stargate program,
126020	129280	they used to have these tests like Uri Geller,
129520	133880	they would fly him in and all sorts of other natural psychics and go swan.
133980	138960	And they would test some type of supernatural ability or psi ability.
139480	142140	Are you going to do a magic element on me here?
142160	144140	Yes, but it's going to be disguised as science.
145220	146220	So I have a dice here.
146680	147140	Oh, okay.
147200	147440	Here we go.
147540	149840	I was wondering if you were going to do something.
150980	155140	And I'm going to ask you to roll the dice on the table,
155200	157280	but hide the result from me.
157600	157960	Okay.
158020	161240	And don't give me any type of signal, okay?
161320	163400	So go ahead, roll it as many times as you want.
163440	164120	Drop it on the table.
164280	165800	As many times as I want and pick a number?
165800	168840	Just leave it on the table when you've committed
168840	170060	and stare at that number.
173020	173380	Okay.
182420	183180	What was the number?
184240	185020	It was six.
186440	186920	Was it?
187020	187340	Yeah.
187460	188020	I got four.
188220	188340	Fuck.
188700	189640	Okay, do this again.
189720	190100	Hold on.
190300	190900	This is me.
190960	191560	This is good.
191760	192840	This is an actual...
192840	194600	We're doing actual psychic stuff.
194660	195080	This is psychic.
195800	196400	Take the dice.
196540	198560	But my original number I wanted to keep was five.
198880	199200	Okay.
199240	199900	But then I didn't.
199940	200100	Okay.
200180	201280	So roll the dice.
201340	202220	Leave it on the table.
202380	202840	Yeah, I did.
202960	203100	Yeah.
203120	203300	Okay.
203340	203660	Okay.
203660	204380	And I'll show you though.
204980	205300	Okay.
205880	206480	Keep it there.
206600	206840	Yeah.
207780	208800	Think about this number.
208880	209160	Yeah.
209340	211600	And think about like transmitting it to me somehow.
222340	222660	Okay.
223340	224340	This time, what was the number?
224920	225560	It was four.
226280	228440	Okay, wait, let's try this one more time.
228740	229900	So it's 50-50.
230240	232500	But I was like, did we were predicting?
232500	234600	Did I pick up on what you were going to roll?
235140	236320	Yeah, were you predicting?
236640	238240	Ah, retrocausality.
238540	239880	Let's try this again.
240480	243840	I want to make sure that we can replicate this.
243880	247800	So take the dice, roll it, drop it on the table, hide it from me,
247900	251120	look at the number, and try to send me this number.
270080	271500	What number was it?
272220	272940	What was it?
273940	275060	What was it?
275180	275620	Is it one?
276460	277240	The eye.
277580	280200	But that's funny because I was thinking of an eye.
280380	280920	Were you?
281120	283340	Because it's supposed to be like a snake eye when you get two eyes.
283340	283760	That's right.
284200	285480	Get out of my mind.
285800	286380	You got the number one.
286440	288760	All right, one last time, and then we'll move on from this.
288920	291020	Can I do it with you and see if that works out?
291040	291700	We can try that after.
291700	292400	Yeah, sure.
292540	295220	I'm not a magician or anything like that, but I like to try.
295360	297180	It's got to go both ways, doesn't it?
297280	298260	I mean, it should, yeah.
298520	299540	You got to tell me how you're doing this.
300220	301200	Very well, I thought.
301500	302560	All right, go ahead.
303980	304300	Okay.
310300	311260	I'm getting a one again.
311600	312180	Fuck off.
312460	312720	Really?
313040	313620	Damn it.
314500	316040	How you doing this?
316180	317060	How you doing this?
318640	319940	Yeah, you can try it if you want
319940	321140	I'll see if you can pick it up
321140	321420	I'm not
321420	322160	This is not
322160	322700	Let's see
333720	334840	I'm really sending it to you
334840	335520	I know
335520	336660	I believe you
336660	337380	You picking it up?
337640	337940	Maybe
341880	342780	What do you have?
342960	343240	Five
343620	344160	Fucking right.
346720	347520	Yo, dude.
348540	349180	You did.
349460	351600	It doesn't get better than that.
351660	351760	That's amazing.
352240	352720	There it is.
352980	354460	And these are...
354460	355120	Get out of my head.
355160	355800	That's what I'm saying.
356240	357520	This is crazy.
359140	362400	And that is a demonstration of psychic ability.
362680	363880	Thank you for partaking.
364120	364460	It was fun.
364720	365320	It was fun.
