start	end	text
2020	7340	In 1966, I looked out my bedroom window after something had caught my eye.
8080	11020	And I looked into the sky and I remember thinking,
11300	16240	that is a flying saucer, because we still call them flying saucers back then.
17860	23100	And I stared at it for maybe a minute before looking away and rubbing my eyes,
23140	24320	thinking I'm seeing things.
24320	30540	But when I looked back up, it was still there before it shot like a bullet into the clouds.
31200	38120	And I had the words come into my head, but now I realized were not my words that said everything is fine.
38400	40340	It was just a flying saucer.
40340	43060	No need to tell anyone because they won't believe you anyway.
43520	49440	At that minute, my mother burst in the room wanting to know where I had been for over an hour.
67520	72980	Travis Walton, it is an absolute honor to have you in the SCIF here with me today.
74440	79000	I am beyond humbled to be here with you.
79440	89240	And this is just a really kind of surreal moment for myself, partially because the first movie that got me interested in the phenomenon was Fire in the Sky.
89760	98740	Well, this is definitely a unique skiff or set and a fascinating situation here.
99160	100380	Let's see what happens.
100620	101700	I'm glad you enjoy it.
101700	109360	it. 1975, November 5th in Snowflake, Arizona was a moment that, you know, forever changed,
110400	114780	you know, the course of your own history, but so many others as well, including myself,
114920	118500	because, you know, without which the movie wouldn't have been made. And I don't think
118500	126000	I'd be sitting here talking to you. So for that, I am kind of grateful, but I want to know,
126000	133740	How do you feel after all these years about that famous night, November 5th?
134160	138160	It was definitely changing my life forever, dramatically.
140380	144200	It actually wasn't me anymore.
144240	145260	It was the new me.
145460	148820	It was just transformational.
150140	150240	Yeah.
150240	166480	Yeah. I'm just wondering, was there ever a point during any of the interviews that you've done and any of the conversations that you've had that looking back on what had happened to you, that you've gained a little bit more insight?
166680	177520	Was there ever anything that over the years you went, huh, I never thought about that? Like maybe a smell or a certain feeling or a certain thought that popped into your head that?
177520	190900	Well, probably numerous times. There's been so many of them that it stimulates thought in areas that I hadn't personally soul searched before.
190900	206940	Well, it was evolutionary to start with. Some of the early interviews, I was still locked into the early misconception of this experience as alien monster invasion.
206940	231420	And gradually, as I had time to reflect on what happened and analyze the meaning or purpose of it, you know, it came to me that it wasn't an intentional case of alien creatures firing a weapon at me,
231420	241940	but that I had somehow tripped a reaction, maybe an automatic protection device,
242100	252220	or as I later thought, perhaps some sort of a discharge of a static electricity
252220	256820	or some energy discharge from the craft to me,
256820	264100	because it was at that moment that my head approached the surface of the craft the closest.
265740	270060	There's a case in Canada, actually, one of the most famous case,
270120	271600	I would argue the most famous case in Canada,
272740	274380	Michalak, the Falcon Lake incident.
274480	275260	Have you ever heard of this one?
276060	277780	I think I've heard that before.
278100	280120	Yeah, because it was a similar sort of encounter.
280460	284660	I believe also humanoid blonde beings as well,
284660	290860	But this gentleman who had approached the craft was then also sort of zapped.
291160	300220	And his shirt, I think, now can be found in, I think it's the National UFO Archive in Albuquerque, New Mexico, David Marler.
300440	303260	He's got the shirt that's all fried and zapped.
303320	307380	But this guy had essentially radiation burns from trying to get too close to the craft as well.
307680	310600	Well, I did.
310600	316440	I did. I still have the same clothing when I was returned, and it was undamaged. It wasn't burnt.
316740	319900	And no injuries on my body itself.
320720	327800	Although, you know, with a super high-tech recovery team, I suppose they could have restored all that before they brought me back.
328100	329340	True. That is true.
329860	333660	You were missing for five days, if I'm not mistaken, correct?
334040	335620	Yeah, five days and six hours.
337060	342560	You know, we spend a lot of time digging for information and looking through case files here at Area 52.
342760	345140	But here's a secret most people don't realize.
345440	349020	Is that your personal information is just out there.
349160	352560	Your home address, phone number, even details about your family.
352960	356200	They're collected and sold by data brokers without your permission.
356700	358640	And it's not just a privacy issue.
358800	364880	This is how scammers, stalkers, and identity thieves find their targets.
365980	368700	Sure, you could try to clean it up yourself, fine.
369420	373660	But that means hundreds of hours of sending requests and forms and follow-ups,
373760	376840	only for your data to pop right back up again.
378060	379560	That's why I use Incogni.
380400	383320	Think of them as a covert task force, working for you.
383760	386280	And here's how it works. Pretty simple. Three steps.
386660	391980	One, create an account and share just enough info for them to track down your exposed data.
391980	392060	data.
392260	396000	Two, give them a one-time permission to act on your behalf.
396320	398060	And three, sit back.
398820	404140	Incogni automatically scrubs your information from hundreds of sites and keeps doing it
404140	405200	so it stays gone.
405520	409960	And if you've got something specific out there you want erased, their custom removal feature
410640	415940	lets you send in a direct link and a dedicated privacy expert will handle it for you.
416080	420080	It's risk-free for 30 days, so you can try it and get a full refund if it's not for you.
422040	427580	slash area52 and use code area52 for 60% off annual plans.
427760	432440	Because remember, they can't harm you if they can't find you.
433860	442100	That's, um, do you ever struggle with the amount of time that you are missing
442100	444360	versus the information that you remember?
444580	446860	Because it seems like there's a huge gap there.
446860	464920	Yeah. Well, you know, initially, assuming that I was unconscious or dead for the rest of the time, you know, having occasionally some dreams involving the subject.
465700	474900	And when I first inquired about it, I asked the screenwriter on Fire in the Sky, do you think these could be memories coming back to me?
474960	475320	Yeah.
476860	481500	And he said, nah, you should probably just doing all these interviews got you thinking about it.
482040	485100	And then a while later, I asked him the same question.
485140	487940	He says, oh, yeah, those are probably memories coming back to you.
488300	493320	So, you know, he had done some research in the meantime, and it changed his opinion on things.
494640	501360	But it didn't involve the smaller group of beings.
501580	504580	It was involved the more human-looking ones.
504580	513520	But nothing that formed any clear memory or of, you know, events that made any sense.
513520	537140	Yeah. That's so strange. I mean, I think what makes the case so unique, this one, your case, compared to so many others, not only was it witnessed by six other people at the time, not only was there missing time involved, there was a whole search party involved.
537140	558180	There is all sorts of really compelling pieces to this case. But the fact that there were multiple, what seems like multiple species involved, and normally, you know, you'd be like, okay, well, that sounds just a little weird. Maybe they're related somehow.
558180	569000	But these species individually also show up to other contactees or experiencers in their experiences as well, individually, but never together.
569400	572960	What's your best hypothesis on why that is?
573100	579460	I think my best hypothesis was that I was panicked.
580720	586760	Whatever damage occurred probably interfered with any sort of telepathic control or communication.
588200	592620	And I was not going to cooperate with what I perceived to be threatening monsters.
592940	602660	So I think that this entity, which appeared human, was brought in because that was all I was ever going to trust.
602900	603960	It wasn't going to be them.
604140	605580	I was combative.
606820	614620	You think that they were trying to subdue you mentally somehow and that the damage you sustained prevented them from doing that?
614780	615040	Yeah.
615040	621700	Yeah, yeah. I think that I did not detect any sort of messages or feelings from them.
621780	629240	So I'm assuming that was because of the extensive damage that I felt like I was dying.
629400	631920	You know, it was pretty heavy-duty stuff.
632520	636680	Otherwise, they could have stopped me from being combative, I would think.
637600	640540	Were you in any pain, awaking, coming out of that?
640620	642380	Yeah, pain in my head and chest.
643160	644860	I felt like I was dying.
645040	650320	What would you describe the pain as, like migraines or like pressure?
651480	652800	Yeah, all of the above.
652800	664960	Hard to describe, but definitely something that provokes panic in me that this is definitely not good and getting worse by the second.
667000	669880	Yeah, that would be scary.
669880	674020	At one point, I mean, during that time, you're obviously panicked.
674140	682360	Now reflecting on it, you've had time to, you know, really dwell on these thoughts and really look at different reasons why they might have done what they've done.
682460	686060	But in that moment, did you think they were causing that pain?
686220	686840	Oh, yeah.
686920	694280	I associated the pain with them, the horror of, you know, all the stories that this type of being had been portrayed with.
694680	698040	You know, it was definitely maximum fear factor.
699980	704240	perceive anything beneficent at that point.
704300	710500	It was only after years of reflection that I came to realize that, you know,
710540	714960	they could have easily dumped my body off in some asteroid somewhere
714960	722920	and let the crew get suspected forever of hiding my body successfully.
723840	728400	And then the end of it, the cover-up was all they were concerned with,
729880	731220	They made up for it.
731260	733880	They corrected my mistake of getting too close.
734940	735500	Wow.
737300	738380	You awoke.
738500	740300	You see this light above you.
740340	742720	You see these figures sort of hovering over you.
742880	752940	And through sheer panic and force of wanting to stay alive, you ended up reaching for an object on one of these tables that they had.
753340	753580	Yeah.
753880	758160	Could you describe in detail what that object looked like and what it felt like?
759880	765580	I just needed something club-like, and it was crude sort of thinking.
766280	770580	It seemed like it had a little heft to it.
770620	775340	It wasn't real heavy, but it wasn't like a glass tube.
775440	780080	It was more like a solid rod of some kind.
781380	784920	It had more to it than just a cylinder.
785420	789800	But, you know, I wasn't looking at it and musing what it was for.
789900	795740	I was just something that would threaten them and keep them from getting any closer.
796960	798720	And this is a clear object, right?
799060	799520	Yeah.
799920	802920	So it's like a clear tube, but it wasn't necessarily glass.
803040	804280	It was heavier than glass.
804480	804940	Yeah.
805220	806540	I don't know what it was.
806700	809400	There was a variety of other instruments laid out there.
810140	813960	Some of them looking metallic and twisted, you know.
814920	824760	You might associate with surgical instruments, but my skin was never perforated that I know of.
825960	829280	Yeah, seeing those instruments, I think, would, you know, I've seen a lot of movies.
830540	833060	You know, I think many of us would react the same.
835080	839620	So at this point, these beings kind of, they're like, we don't want any part of this.
840100	841480	We're not meant to throw down.
841580	842900	They're tiny little guys too, right?
842900	845760	They're not these, like you're a towering figure.
845880	846820	You're in your 20s.
846820	850520	You're throwing logs around during the day.
850660	852180	You're a boxer as well.
852460	853940	I mean, you're a fighter.
854800	857700	These guys didn't really want any part of that, it would seem.
857900	858300	Yeah.
859060	861480	And so they leave.
861600	869980	But before they leave, you had a chance to sort of see what they were wearing and see sort of their physical appearance.
869980	871480	Can you describe?
872600	884280	My attention was riveted on their faces, looking for signs of expression, threat, you know, what were they looking at, that kind of stuff, which was very devoid of expression.
884520	887740	But that was what I was paying the most attention to.
889140	896320	It seemed to be sort of a loose-fitting, orangish-brown coverall sort of a thing.
896320	906700	but their faces not revealing any emotion was naturally perceived as threat.
906980	914620	You know, if you're confronted with people who might be associated with the pain that you're feeling,
916280	922280	the serious question of am I going to survive this?
923060	931020	and then to have no expression made it seem very grim, like a threat.
931220	936200	When humans confront each other without expression, it's considered threatening
936200	941920	because a normal reaction is to smile or at least frown or in some way signal your intentions.
943880	949960	But it took me a number of years to figure out, well, you know, if they're telepathic,
949960	954840	They don't need expression to communicate with each other.
955840	971900	It's an obsolete method of communication, rather crude and primitive if you go to think about it, how complete and rich a full telepathic communication path would be.
973180	974180	Yeah.
974180	993000	Yeah. Did you, so on these, on the loose fitting jumpers is interesting too. I always assume they were just like skin tight jumpers, kind of like, you know, the ones you hear about normally, but loose fitting is interesting. Did you, on these jumpers, did you notice an emblem or a sigil?
993000	994440	No insignia.
994560	995080	No insignia.
995240	995680	No insignia of that nature.
997380	1007020	And were how they dressed have anything to do with any activity they might have outside of the craft or not?
1007120	1007660	I don't know.
1007900	1008300	Right.
1009440	1014780	So these beings, they scurry sort of through a door.
1015140	1015620	Yeah.
1016160	1019440	This door opens and closes, or was this just an opening?
1019740	1020460	It was just an opening.
1020640	1021200	Just an opening.
1023840	1027700	hurriedly, and now, first of all, how high is this room?
1027760	1028880	Because you're a tall guy.
1028960	1030040	These are short beings, I assume.
1030360	1034800	Very low ceiling, very small, very cramped space.
1035080	1036240	And the table itself.
1037360	1037760	Claustrophobic.
1037760	1038100	Yeah.
1038140	1038400	Yeah.
1039700	1044460	And it had sort of like a humid nature to it, right, in the room,
1044540	1048800	sort of like a hard-to-breathe kind of like denser atmosphere, it would seem.
1048800	1053420	And the table was low, closer to the floor, you know?
1054000	1055860	Were your legs hanging off the table?
1056420	1064300	Well, no, but it wasn't high enough off the table.
1064360	1069820	When I rolled off of it and stood up, you know, it was not far to the floor.
1069940	1073220	I mean, it was not normal table height, I'd say.
1073500	1075980	But the length of the table was human length.
1076320	1076840	Yeah.
1076840	1077180	Yeah.
1078800	1079560	I find that to be interesting.
1081100	1083300	And there was a light above me.
1085300	1086340	Not bright.
1087920	1091840	It seemed to increase my pain to look in that direction.
1092460	1098280	But I think that had something to do with my injury, not with the brightness of the light.
1099620	1100140	Right.
1102020	1106420	So you find yourself now turning down this hallway.
1106420	1115200	way finding hopefully finding an exit getting out of here and as you and this this is like a rounded
1115200	1121720	sort of narrow hallway if i'm not mistaken yeah and you know i didn't i was planning an escape in
1121720	1132220	that direction i mean i i made it as far as this what's been interpreted as a navigation room or
1132220	1135480	or maybe a control room or something of that nature,
1135600	1143420	but something that was capable of viewing what was called a star map
1143420	1149780	or maybe simply a view of where it was in space.
1152040	1159400	But movement of one lever had the effect of moving the star pattern,
1160020	1164480	and it moved not swirling among, you know, like different.
1166080	1168580	It wasn't assuming a different pattern.
1168700	1172840	It was just the whole pattern rotating.
1174320	1176260	But that was very brief.
1176340	1179900	It was startling and not at all what I was after.
1179960	1183340	I was looking for some way to open a door and get out of there.
1184160	1189040	And that was, these controls were on this chair that was in the center of the room.
1189400	1189560	Yeah.
1189720	1196160	This low back sort of chair with these, with what seemed like maybe joysticks or like controls or something on them.
1197300	1202380	And you just kind of like panicked and pressed the buttons to try and figure out a way out.
1202440	1202900	Yeah.
1203020	1216700	And that triggered, I don't know if it triggered, but almost immediately the doorway that I'd come through, which was lighter out in the hallway, darkened because someone entered.
1216700	1221260	It was what I took to be a rescuer, a human-looking being.
1222920	1230000	And I ran up to him just assuming that he was there to save me from these monsters.
1233740	1241780	And I immediately started screaming, babbling, begging questions about what was going on.
1244400	1254300	but I didn't get any response which wasn't too alarming because he wore a helmet over his head
1255060	1260080	so I thought maybe he can't hear me with that on or even speak with it on or be heard
1261520	1270400	so when he took me by the arm to to lead me out of there I only was only too happy to
1271780	1272880	Cooperate.
1275920	1282040	well the um the description of this being struck me um
1284740	1292320	as kind of unique because we we do hear about you know ever since the 1950s
1292320	1300740	there have been you know contactees who were in contact with beings of the same sort of nature
1300740	1308080	tall, sort of muscular, blonde figures that wore sort of tight-fitting suits.
1308620	1316560	I'm reminded of Adamski's, George Adamski's earlier contacts and so many others.
1316660	1322960	But the one thing that stands out here is this sort of helmet, which I found really
1322960	1329400	interesting because there's a case, which I shared with you before in 1954, a case in
1330740	1334660	where this lady and her two children, well, she was called outside by her two children. And they're
1334660	1339520	like, mommy, look, there's a flying saucer. And she goes, you know, don't be stupid. Those don't
1339520	1346520	exist. And she looks up and she sees a silver saucer and it's tilted towards them like this.
1346700	1355120	And in the saucer are two people who had these page boy Bob haircuts. So like,
1355120	1358140	kind of like straight hair, straight golden hair,
1359500	1361500	tight-fitting blue jumpers,
1361520	1364500	and what she described as a fishbowl over their heads.
1364960	1365460	Wow.
1365540	1369880	So these human-looking beings fit the verbal description
1369880	1371500	I provided.
1371600	1374320	Now, whether this was an actual being,
1375160	1380640	some sort of robot or android created by the alien,
1380860	1383720	or an actual intervention,
1385120	1393040	took it to be an intervention, a rescuer forcibly coming in to save me from them. But in hindsight,
1393820	1399380	it may have been they're powerless to help me because I'm in a panic and won't cooperate.
1399780	1406160	So they get the only thing that I'm going to cooperate with is something that looked more
1406160	1413000	more like myself, whether that was a robot or a species very similar to humans,
1413160	1423440	or even someone representing some American agency, secret agency of some kind.
1423520	1424000	Who knows?
1425360	1431000	But I was, and that was correct, I was immediately going to cooperate with them
1431000	1434660	and not with these creatures.
1436160	1449940	So I find it interesting that, you know, that you would assume that the creatures were the ones in charge and that these human ones were would be the ones that they summoned and not vice versa.
1449940	1467540	Like, I mean, instinctively, and this, you know, comes from zero knowledge, zero personal firsthand knowledge, but I would assume that, like, the ones doing the menial tasks, such as perhaps putting you back together and fixing you up, would be perhaps working for the human-like ones.
1467540	1481620	Yeah, there's all kinds of scenarios we can imagine, you know, and many of them are equally fitting the facts of the case.
1481860	1482500	Yeah.
1482560	1494620	But they didn't speak. I was certainly screaming all kinds of stuff. But no, nothing that confirms any particular theory.
1494960	1496840	What's something that you screamed at them?
1497620	1503940	who are you? What is this? What's going on? You know, uh, you know, this is killing me.
1504020	1512340	I'm dying. That kind of stuff. Wow. And so this was, um, this is a male who then took you into
1512340	1518660	a separate room. Now there was a door that opened here. Yeah. Um, did the door open vertically?
1519480	1527100	No, no. To the side? Yeah. Okay. Um, was it a round opening or like a square? Do you remember?
1527540	1528940	No, it was more like a doorway.
1529160	1529960	Just a regular doorway.
1530240	1533040	Just wide enough for us to get through.
1533900	1535840	Did it make a sound upon opening?
1536240	1536680	I don't...
1536680	1537280	Don't remember?
1537580	1539100	Don't remember any sound.
1539200	1543300	I don't remember hearing it, but I was making a lot of noise.
