start	end	text
0	5260	Of the 366 sightings included in the report, 171 remain uncharacterized.
5380	9020	And many high-ranking individuals in the military and intelligence communities
9020	12320	believe UAPs demand greater attention.
12720	16200	Are contractors, are they pulling technology from this?
16280	18280	Are they reverse engineering this?
18620	21880	To your knowledge, have any USOs ever outpaced our submarines?
22300	22960	Yes, ma'am.
23100	27500	There are rumors that have come up to the hill of a secretive project
27500	30480	within the Department of Defense involving the manipulation
31260	33240	of human genetics, hybrids.
33300	35000	The question is, is it ours?
35240	36520	Is it someone else's?
36540	37900	Or is it otherworldly?
37980	39260	What you are looking at right now
39260	41540	is the second congressional hearing
41540	43840	on UAPs in Washington, DC.
44960	47020	And this is me.
47180	48860	Now let me tell you how I got here.
49220	50160	Yo, what's up?
50960	51820	What's up, man?
51880	52360	How you doing?
52580	53840	This is Jesse Michaels.
54060	56040	You may know him for his channel, American Alchemy,
57700	62500	subject like nobody else. Jesse and I have been chatting for a few days and are trying to organize
62500	67000	a trip to Austin where we can interview each other and make some content. But we did realize
67000	72800	that we scheduled that at the exact same time the hearing on UAPs was taking place. And now we're
72800	78460	kind of on the fence about what to do. I'm on the fence about whether, yeah, I'm almost leaning
78460	83940	on the no side or whatever, but I'm open to it. And if you really want to go, like, you know,
83940	88400	that can be it could definitely be fun i'm kind of on the fence as well like part of me wants to go
88400	93120	for the sort of historical opportunity but the other side of it is you know i think we'd have
93120	98880	fun just hanging in austin too maybe sleep on it yeah it's good to get good to get a pulse on where
98880	103560	you're at sounds like we're kind of similar page yeah man um either way i won't be disappointed
103560	108760	um you know i'm looking forward to hanging out i got my flight booked to austin so i'm headed to
108760	113360	austin i think monday no matter what i mean i'm even down to call an audible in austin like i
113940	122740	but look for the look for the signs you're more elevated post-Monroe all right I'll let you know
122740	128220	if I see any ever since I got back from the Monroe Institute you know take this as you will but 1111
128220	135500	has been showing up once a day at least whether it's on a clock or on a tv show or on you know
135500	141860	a piece of paper that I found it's just been showing up like once a day since Monroe you know
141860	146700	If you take my date of birth and all that stuff, my number is also 11.
146960	148800	So it's popped up everywhere.
149120	150300	Is it meaningful?
152100	152560	I don't know.
152580	154340	It's whatever meaning you want to put to it.
154380	155540	But it just keeps popping up.
155640	157460	And I always took it as kind of a sign.
157580	158360	A sign for what?
159720	160840	I don't know.
160920	161560	And I never did.
161700	165660	And I kept asking myself, what does this mean?
166060	167580	What am I supposed to be looking for?
167640	168460	What am I looking out for?
168460	176600	Well, on December 11th, 11-11, I'm about to land in Chicago on my layover to Austin.
177260	182780	And we were back and forth on the fence of whether or not we should go to D.C.
182840	189160	I'm in Chicago on my layover, and finally, last minute, Jesse's like, let's do it.
189740	191640	And so I'm looking at flights.
192640	195980	I see all the different flight options from Austin to D.C.
196740	199260	I screenshot them and I send them to Jesse
199260	201860	and then I noticed what time it was
201860	204560	it was 11-11
204560	208180	on the 11th day of the 11th month
210700	212980	and as much as I was on the fence
212980	214580	and I really was on the fence
214580	217080	because we had everything lined up in Austin already
217080	219320	my buddy Wes was there, it was a whole thing
219320	223240	I went, dude, we have to go now
224080	227900	And so for months I've been wondering what 11-11 meant.
228280	229900	And now I finally had an answer.
231020	233080	And so off to D.C. I went.
247040	250180	Alright, just got to Washington. I'm with this guy.
250500	250700	What's up?
250960	252020	How are you feeling about these next few days?
253600	258940	I don't know, I'm cautiously optimistic, maybe a little skeptical as to what comes out, but
258940	263580	I feel like, as with all these events, the hallway conversations are sometimes more revelatory
263580	265500	and interesting than what gets said publicly.
265960	266680	That is true.
266900	269200	You'll have to find a way to get a hallway conversation on one of these things.
269400	270060	How are you feeling?
270260	271020	I'm feeling pretty good.
271160	271340	Yeah?
271480	272160	I'm excited, man.
272220	273460	I'm excited to be a part of history, you know?
273540	273720	Yeah.
273780	279300	That's the one thing about this whole experience, is that, okay, maybe nothing will come from
279300	282260	it, but I think it's going to push the needle more than not.
282420	282780	Absolutely.
283240	288580	just being in that room for the historic value that that has is going to be pretty exciting.
288740	292080	Absolutely. I hope we learn a little bit more about immaculate constellation.
292440	296380	Yeah, we should probably get to a safer spot if we're going to discuss this stuff here.
300300	309440	All right, it is the morning of November 13th, 2024. This is the UAP hearing.
310040	312040	Jesse, can you tell us what happened to your video?
313240	320300	a video with Ammar and Sean over here and David Grush, UFO whistleblower, who testified
320300	325620	before Congress last year, summer of last year. He made some pretty crazy claims, which
325620	330880	is that the U.S. has been engaging in covert reverse engineering UFO programs for the last
330880	332360	70, 80 years.
333560	337780	Three men who previously served in the military are set to speak publicly about what they
337780	340700	saw in the sky and heard behind closed doors.
340700	347880	We went, I think, as deep as any UFO video gets when it comes to kind of substance and getting close to the metal.
348180	353460	And the video did really well initially, then it kind of plateaued.
353460	357300	It was unsearchable if you searched his name, you couldn't find it on YouTube.
357500	365420	And then just a week ago, Sean over here was searching for it, couldn't find it, and we realized that it got taken down.
368040	371260	And not just that, you gotta take it down and then you gotta strike on your channel,
371360	376280	which is like, yeah, that feels like that's so extreme.
376440	380880	I know I've been on YouTube for 10 years and I've seen people do the craziest, most
380880	385520	like outlandish, you know, illegal things and they still don't even get a strike.
385600	390340	So the fact that they would do that without even getting back to you or having a human
390340	392820	that is communicating with you about it, that's like pretty serious.
392820	393400	That's nuts.
393400	399360	Jesse, do you feel like this, like there's somebody behind the scenes maybe trying to
399360	403920	tamper with this video specifically or is it, do you think it's just, it just has to
403920	404500	do with copyright?
