start	end	text
0	5940	15 years ago, I was in Albuquerque, and we were on the road, and we experienced something that night.
6200	11980	We rolled down the windows and we look out, and we just see like this, I mean, UFO.
12520	14920	Sort of coming towards us.
15040	20440	And then it changed direction, and then it changed again the direction, and it skipped.
21640	22600	It disappeared.
23400	26360	Because this is also something mentioned by Bob Lazar.
27220	29500	And you had an opportunity to meet Bob.
30000	31100	Did you bring this up to him?
31280	31640	I did.
33420	35420	Fast forward a few years, I'm in Washington.
35560	36960	So I'm like, you know what?
37020	38080	I'm going to ask a big question.
38200	41040	So I told the lady in front of me.
41100	44740	And as I'm talking to her, the entire table stopped talking.
45320	47020	All the attention turned on me.
47840	51360	You know, I just want to ask you, is there something out there?
51500	52960	And she told me, you're not crazy.
53060	53980	There is something out there.
54060	54840	I was like, boom.
55100	56600	Like, oh, my God.
56600	61300	During COVID, after I retired, I decided to go on a journey.
61760	66360	I decided to do ayahuasca.
66500	69760	When it started, I started leaving my body.
69840	70960	I started levitating.
71160	74640	And I'm not leaving my body going up like this.
74680	78760	I'm leaving it going up like this, looking down.
79420	80160	You're seeing yourself?
80500	80620	Yeah.
80880	82360	I even see my friend.
82700	84220	He was texting someone.
84440	86320	I told him, I said, you were texting this person.
87600	89120	over your shoulder, man, I saw it.
89400	90480	And I'm not alone.
92260	94940	There's something that sort of lifts me up.
95600	98180	And can I use, I'm going to draw it to you.
98540	100880	No eyes, no mouth.
101120	104540	And it was communicating with me, you know, who are you?
104580	107800	And it says, I'm you and everybody in the same time.
107840	109820	I'm the air you breathe and the water you drink.
109820	112360	I'm the air you breathe and the water you drink.
112640	113940	I know why you're here.
114060	116540	You're curious to know about what is consciousness
117600	124680	show it to you and then I see the the map the planet the solar system it's like I'm going out
124680	131380	like I I zoom out you know from where I was and I see the entire the galaxies the universe the
131380	136100	different universe the different dimension to the point that at one point I'm like it's too much I
136100	144940	can't take it anymore 1994 I was probably about six years old and I remember my big sister running
144940	146740	running outside from inside our house.
146940	149100	I follow her out into the street.
149200	150380	We get out into the street.
150520	153180	The neighbors are out looking up at the sky.
153960	156260	Four or five houses down.
156540	161540	There's a spinning disc with spinning lights all around it
161540	164640	and a spotlight coming down from the center.
164860	168180	It must have been like, I don't know, 40 feet above this house.
168260	170320	That was like five houses down from us.
170460	173020	Don't remember anybody talking about it afterwards.
176900	179420	Ladies and gentlemen, welcome back.
179560	181700	Today, we are joined by an amazing guest,
181920	182780	Georges St-Pierre.
183540	185380	Georges, thank you so much for doing this.
185460	188340	This is unexpected, I think, to a lot of the viewers.
188420	190080	They're like, what is Georges St-Pierre doing
190080	190720	on this podcast?
192260	193260	I'm happy to be here.
193460	197160	And I mean, thank you for having me a few weeks ago
197160	198540	with Louis Elizondo.
198920	201860	I mean, I'm really happy that you allowed me
201860	207860	me to to come here and have a conversation with him yeah it was uh it was incredible and you know
207860	213760	obviously the things that are spoken about off camera often like we get into like some deeper
213760	219560	stuff right and more um more things that are speculative so it's not you can't really say it
219560	224100	on camera because it's not sure and so but those are the fun conversations yeah it's a lot of stuff
224100	230140	sometimes that when you talk about it a lot of people will roll their eyes back and it will it
232060	241040	But, um, you know, I'm passionate about, uh, UAPs and, um, it's a subject that, that, uh, I'm very interested in.
241440	247880	And, uh, when I found out that Louis Lissando came here, I was like, man, he's one of the guys that I always wanted to meet.
248000	248340	Yeah.
248460	254380	And to have the opportunity to do it, to have a, like, conversation with this guy, it was, it was amazing.
254860	260360	And, um, when that happened, the weekend, just the weekend before I was in Washington.
260920	261500	That's right.
262380	268900	Um, I had an opportunity, uh, to meet with some high rank military in United
268900	273760	States because it was during the, uh, inauguration, uh, weekend, I was not
273760	276260	there really for the inauguration.
276360	280000	I was there because of the, with some of the guy of the UFC, John Jones was there.
280100	280360	Yeah.
280360	281720	Bo Nekal and, uh,
281720	282340	Connor.
282460	283260	And yeah, exactly.
283440	284360	A lot of guys were there.
284560	288920	Uh, a lot of the, uh, professional, uh, athlete were there.
289160	291300	So add an opportunity to go.
291860	295160	And I took it because I had the chance to meet different people.
295260	297300	It was a great opportunity.
297440	299600	I would have been a fool to not take it.
299780	300440	I would have taken it.
300460	302100	I think most people take that opportunity.
302160	302680	Of course.
302760	306000	I mean, it's a chance of a lifetime, an opportunity of a lifetime.
306120	307040	So I met a lot of people.
307100	312480	But of all the celebrities that I've met that weekend, I met Zuckerberg.
312540	314060	I met a lot of celebrities.
314060	319800	celebrity, but for me, the, the, the thrill of my weekend, it was to be able to sit down
319800	326540	with some, some of the high rank military, some of the guys that, you know, when you want to talk
326540	333680	about UAP's secret program and stuff like that, these are the guys that knows the answers and
333680	339140	had amazing conversation. And, and still to this day, I'm, you know, a lot of these guys I'm,
339140	344700	friend with we we text each other and i made some great friends there and it was just an amazing
344700	351320	weekend wow that's uh so wait how are you are you okay saying how did how did you get into that like
351320	358720	what did what happened there uh during those like interactions that like because you know it's weird
358720	365580	to go out to someone and be like so what about the ufos like how did that conversation start well
365580	371720	Well, so the way it started is the first dinner, it was a Friday night.
372000	377520	The first day that I arrived in Washington, I had a dinner at night.
377600	382520	And I get introduced to these guys with Tim Kennedy.
382660	385340	Tim Kennedy is a former UFC fighter.
386200	386700	Green Beret.
386820	387380	Green Beret.
387480	393960	And he's the guy on the field, you know, like a cowboy, you know.
395580	402160	job on the field and and he introduced me to a lot of these guys and to sarah averano
402160	409360	i get introduced to to a lot of the people in a different branch of the military there and we had
409360	417340	dinner and uh and a lot of the veteran a lot of the military people are big fans of mixed martial
417340	422860	arts so they knew who i was i mean to be fair a lot of people know who you are not just in the
422860	427360	But that's one of the reasons why I was able to get in touch with these people.
429420	439700	So the first dinner that we had, it was like about maybe 12, 15 people around the table.
439820	442680	And, you know, we didn't know each other.
442760	450420	You know, some of these guys, I mean, actually, except from Tim that I know for a few years,
450420	455680	all the other people around the table I had never met before and they all we all introduce each
455680	464680	other you know like and um I didn't realize with who I was sitting until at one point during the
464680	472560	dinner I was thinking I was like you know what if if I want to ask the question that's the time to
472560	478420	do it because I might I might never ever had another opportunity in my life to ask this
480720	482780	and they're all going to make fun of me thinking,
482900	484320	oh, I'm brain damaged or whatever,
484440	488920	or maybe they're going to tell me what they are allowed to tell me.
489740	493040	So everybody was talking to the people next to them
493040	494340	because it was a big table.
494480	495480	At one point, I was like, you know what?
496280	498540	I had a conversation with different people,
498600	501820	but I talked to one of the person that was in front of me.
501880	502680	I asked her.
503300	504260	She was a lady.
504480	505560	And I asked her, I said,
507020	509420	I always wanted to ask you this question.
511140	521760	One day, I told her, one of the adventures that I had that one day, and I was in a few years ago, before my fight with Matt Serra.
522080	525300	It's about 15 years ago.
525340	534840	I was in Albuquerque and I was in a car and I was with Mike Van Arsdale, who's a former UFC fighter.
535960	536660	Rashad Evans.
537600	538640	Ali Abdelaziz.
540420	542320	Khabib, an Islam Makachev manager,
542620	544480	was a training partner of mine.
544580	546920	And another guy named Alejandro.
548120	551580	He's Mexican, but I don't know what he became.
551700	552860	I lost contact with him.
553800	557360	And Alejandro and I were in the backseat.
558000	559580	Mike Van Arsdel was driving.
559880	562280	Rashad Evans was on the passenger seat.
564800	568920	And we were on the road and we saw something.
570420	577020	that night that all the, all five of us, like it's undeniable, like something,
577160	580940	we saw something like, and what did you see?
581660	588300	Was it like lights in the sky or was it, yeah, it was a light sort of coming towards
588300	596360	us and when it happened, I had an impression and I don't have the cert.
596480	600300	It's not a certainty, but I was under the impression that sort of.
600420	602160	The time sort of stopped.
602260	604680	Not the car, but the car kept rolling.
604840	608380	But like, you know, when you get so intensely.
609080	610180	Like you're mesmerized.
610440	610960	Yeah, yeah.
611000	617180	Like all of us were like, like, like we only had focus on that thing.
617300	620940	So he came towards us and then it changed direction.
621040	624580	And then it changed again the direction and it skipped.
625660	626740	And it disappeared.
628040	635000	And for that brief moment, it's sort of like, like everything else around us didn't matter.
635080	639000	It was only this, like we were like all of us, like, like silence.
639120	640420	And we saw this thing.
640500	645140	And after that, when it skipped and it disappeared, all of us were like, oh my God, what is this?
645720	654200	And the crazy thing about it is the way I saw it and the way my friends saw it, it was different because.
656740	657820	There's no point of reference.
657980	661320	I saw something that I, there was no wings.
661540	665680	There was no, like, it was no noise, but we're inside of a car.
665800	673280	I remember seeing an interview of, I think it was Rashad or Ali Abdelaziz talking about that thing.
673560	677340	Like around 2010, I'm in Elk Creek, New Mexico.
677900	685540	And I'm with GSP, Ali Abdelaziz, who's now like the manager of mostly a lot of UFC fighters.
686740	692300	highway the traffic is starting to slow down it like slows down to like almost a crawl and we're
692300	696760	like why is everybody stopping why is everybody stopping and then we start to look and see where
696760	701560	everybody's looking and then we roll down the windows and we look out and we just see like this
702100	709220	i mean ufo because of the way it was moving it just didn't see i mean it was that typical ufo
709220	715620	movement where it was like moving and then it like would stop and like define gravity for a bit and
716740	718060	stayed there for a second.
