start	end	text
0	2080	Let's talk about the things that you've seen.
2180	5580	The three that I think are probably the most noteworthy on your podcast.
5840	13160	It's like this school bus shaped rectangle thing hovering like kind of right above the treetops.
14600	22840	We were five minutes into our breath work and your hands can sometimes clam up and his did.
23140	24780	And so we had to stop for a second.
24820	29720	And as soon as we stop, we look up and we see two silvery orbs.
30000	33240	And one's hovering above him, one's hovering above me,
33360	35500	and they're both sort of, like, bobbing.
38520	41240	Third sighting is with Lou Elizondo,
41400	43440	so famous, you know, UFO whistleblower.
43620	46500	And so we're deep in conversation on, you know,
46500	47760	this sort of crazy science stuff,
48380	50440	and we just see over the shed,
50540	54540	we see a green fireball just shoot off.
56060	57860	Do you believe David Grush saw a craft?
59140	63580	uh no i don't i don't think he's seen a craft do you believe how put off seen a craft
65260	71600	that's interesting maybe do you think that you've ever interviewed someone who you can
71600	78180	confidently say has been inside a ufo in a government context do you think yes or no
78180	82260	that you've spoken to someone who is possibly or has probably been in one of these crafts
83020	83220	Maybe.
83660	84140	Okay.
84360	84840	Yeah.
85360	87520	I just thought of somebody who maybe, yeah.
88780	92260	I have these really good friends, Garrett and Nicole McNamara,
92380	97160	and their friend brought another friend who's a longtime kind of like aerospace,
97940	99520	you know, employee or whatever.
99900	104380	And he was at lunch and he looked a little sort of traumatized and they get into it
104380	108500	and they find out that this guy had been an employee at Area 51.
108500	113400	apparently he had been taken down again, also underground.
113440	121040	So similar to the Oscar Wolf story and seen a reptilian being in custody,
121160	124860	like somehow like, like, like chained up and,
125060	130420	and the thing seemed to speak to him like telepathically and he freaked out.
133820	138020	So I grew up in Southeast Georgia near a farm.
138500	142060	And we used to play nighttime flashlight tag hide and seek.
142520	148780	And I went out to hide while my cousin, who lived a couple houses away, was counting.
148960	153740	I experienced two very bright white flashes like someone put a camera off.
154160	156400	And I just stood there stunned for a moment.
156600	162840	And I noticed on the other side of the farm there were cop cars driving by with flashlights looking for something.
162900	164640	And I stopped and wondered, what's going on?
164640	172060	And then I heard from the back porch of our house behind me my mother calling my name, frantically calling for me.
172400	177520	And she saw me and ran towards me and hugged me and said, where have you been?
177700	178780	What's been going on?
178880	181100	I said, we were just playing flashlight tag.
181440	182940	She said, look at what time it is.
183000	184240	She said, it's past 10 o'clock.
184400	187840	When this happened, it was probably around 8.30 or so.
187900	190120	This happened to me, and I don't know what that was about.
191140	191800	All right.
191800	200100	right. Ladies and gentlemen, today I am joined by today's American alchemist is the American
200100	205800	alchemist himself, Jesse Michaels. Welcome in. Chris, thank you so much for having me.
205940	212700	Yeah, absolutely. This is for me been really, I've been looking forward to this podcast for a long
212700	219680	time, but we've been hanging out quite a bit too and chatting and working on different projects and
219680	223160	and consulting each other on different things for a little while now.
224100	228120	And, you know, I've gotten my hangs in with you, which is so cool.
228400	228800	Absolutely.
229380	232640	But now this is, it's almost weird because I feel like,
233260	235500	like we're clearly friends off the podcast,
236120	239260	but this is more for like, for people out there,
239320	241420	because like it or not, people watch our videos and they're like,
241500	242340	I get it all the time.
242380	245640	Dude, you should have Jesse in the skiff, you know?
245640	274220	Well, I'm honored, man. And I'm grateful to just know you as a friend. And you've been so awesome to me. And this set is so cool to see in real life. It's kind of surreal because I've been watching it so much digitally. And yeah, man, I love our weird phone calls that always last like two hours longer than they're supposed to. We go down these crazy rabbit holes. So yeah, I'm grateful for you, man. And I'm happy to be here.
274360	275020	Thanks, man.
275640	282360	American Alchemist, my guests are, but thank you. Yeah. Well, today you are. Area 52-er today.
282480	289040	Yeah, dude, you've been probably the most inspirational person in this space
289040	295680	for creators like myself, but also for people who are looking to create and talk about this stuff,
295780	302000	and for people who are just looking for a good story. And as you know, a lot of my channel is
302000	306540	based on story. And I love telling a good story and I love when people come on here and tell great
