start	end	text
0	2220	They were all frozen like mannequins.
2320	5220	I looked up and I saw an egg-shaped object, silver,
6060	8840	and it had a massive windscreen on the front of it.
8920	11480	This was no helicopter, this had no landing gear,
11620	13540	it didn't have a propeller, it didn't have any doors.
13800	18160	But as I'm looking at it, I see the two beams inside this craft
18160	20960	and I see it drop about five metres.
21300	24980	Bang, the next memory I have is we're all down on the bottom steps.
25440	28820	We're looking at each other with confusion and asking each other,
30000	36800	on the roof. And before my head even hit the pillow, my hands didn't touch the pillow,
37520	41860	I just felt something grab me around my ankles. As soon as that happened, I couldn't move.
42020	48340	I was paralysed. And I look at the foot of the bed and I see a hooded figure about four
48340	53660	foot in height, just standing there. And I assumed that's the one that grabbed my ankle.
54180	59820	I'm looking at this creature and it looked horrific, it looked scary. As I
59820	67100	look over I see what to me looked like a female and the male was over near my
67100	71720	shoulder. Then I saw the big almond-shaped eyes, like I'm talking bigger
71720	76960	than a horse's or a cow's eyes. Black. Massive. Black. Massive. And as soon as I looked in
76960	81420	his eyes that was the first thing I noticed. It was as if I fell into a void
81420	83660	like a dark space.
85260	87780	And my neighbors, who I grew up with,
88000	89040	he actually called me.
89140	91020	He said, my brother Tony and I walked out
91020	92420	to have a cigarette in the backyard.
92800	95700	And he said, we looked up, and in the sky,
95820	99560	there was a, he said it was a triangular craft.
100000	101680	You could not see any stars.
101880	104140	He said, when you looked up, you just saw pitch black.
104700	106820	I think this is the most important case,
106880	109280	and maybe I go it on a limb saying that,
109280	119180	But I can't think of any other case that involves proof, essentially, or at least very strong evidence pointing in the direction of hybridization.
126120	132580	Hi, my name's Aaron. I'm a commercial fisherman out of St. Bernard, Louisiana.
132580	137500	and one time out on the edge of Gulf of Mexico,
137660	142720	I witnessed an extremely large black triangle craft
144100	152500	intercepted by two pairs of fast jets out of NASJRB New Orleans,
152740	156240	which is a large naval base.
157200	160880	And they circled this thing for like 40 minutes.
162580	168060	They also had a large, slow-moving, fixed-wing plane circling it as well.
169480	176540	And then they left, and it stayed there for a little while, and then it just blinked out.
177100	183720	Hey guys, we just dropped a brand new line of Area 52 graphic tees featuring Lacerda,
183900	186600	Errol from the Prison Planet, and the Men in Black.
186900	188300	Each one's got its own color.
188300	194620	Lucerta comes in eucalyptus, Prison Planet in solar yellow, and Men in Black in steel blue.
194900	198820	You can also grab them in charcoal if you want something a little more subtle.
198940	203760	And for the first time, we've got charcoal v-neck tees for women as well.
204020	208480	So go check them out now at area52.shop before they're all gone.
208900	209780	Enjoy the video.
210400	212460	Welcome, Peter Curry, to the Skiff.
212560	213960	Thank you so much for joining me.
214000	217460	Thank you for not only joining me here, but thank you for traveling here.
218300	221560	an arduous, what, 22 hours of traveling to get here?
221880	225920	Yeah, long flight, but happy to be here.
226000	227040	Thank you for inviting me.
227160	227960	Glad to have you here.
228020	232760	Peter, your case, to me, is one of the most fascinating cases,
232820	234560	not only to me, I think to a lot of people,
234620	239980	but you've been exposed multiple times to these experiences,
240740	245040	but one obviously in particular stands out a little bit, a lot,
245660	247560	from all the other cases that exist,
248340	254720	DNA evidence of a run-in with non-human intelligence. And that's something we're
254720	258200	going to get to. And I'm very excited to talk about that. I'm very excited to talk about your
258200	263860	stories and what you're doing now. And so again, thank you so much for being here.
