start	end	text
2280	4660	This copy is being prepared by Phoenix TRACON.
4860	10420	The subject concerns the Freedom of Information Act request involving American 2292 on February
10420	14700	21, 2021 at approximately 2-0-0-4 UTC.
15200	18420	The facility involved in this FOIA request is Phoenix TRACON.
18740	22100	The position of operation being copied is Apache Sector.
23040	27240	I certify that the following is a true copy of the original recorded transmissions pertaining
27240	29140	pertaining to the Freedom of Information Act request.
30080	30960	My name is Braden Taylor.
31180	33940	I am employed as a Quality Control Specialist at Phoenix Tower.
34360	38080	This portion of the copy concerns communication at the Apache sector
38080	41820	during the period of 2004 Coordinated Universal Time
41820	46520	to 2043 Coordinated Universal Time on February 21, 2021.
76520	77640	I'm going to expect one at 7 o'clock.
77840	80740	Okay, 7 o'clock, 39, 13, 54.
85040	87760	So, 1649, contact the flight attendants at 16.6.
88140	89380	You're good to go, sir.
114840	117620	Thank you.
136800	142080	749, 15000, sending via the hider, 7R with key load request from Lee.
144340	148040	733, 49, finish approach, we can expect 7R to have no sight to the blue.
148600	151080	Alright, no worries, 7R, we'll go 1340.
187780	191280	American 2235, Delta, looking on the Eagle 6, LA, you're up.
193600	195660	American 2235, thanks for crossing the Pacific, I'm away.
195980	196660	LA, thanks.
222680	224740	American 1354, you're going to come back to 120.
225600	228180	20-4, American 1354.
228180	229120	Email, 3665.
294780	297460	American 2230 contact the approach on 126.6
297460	299780	26.6 American 2630 see ya
312580	316020	Cal 3349 contact the approach on 126.4
316020	317980	28.4 Cal 3349
377980	380060	Back end 1669, we just 3-2-1-0
380060	382040	2-10, back end 1669
413240	415800	2828, 2828, you're going to have to speed for a step down to 28-0.
416140	416640	Thank you.
429880	432420	Wrapping 20-26, you've got the commercial on 26-26.
433200	434800	26-26, Wrapping 20-26.
467580	468580	93465, standby.
469860	472240	NHL 5820 contact the project 12616.
472980	473700	Good day, Shiloh.
473780	474000	Good day.
476700	479700	Shiloh 4806 out of 13-5 descend and view of Keele.
480600	483080	Shiloh 4806, finish the project, back from North 7-9-2.
483300	484040	7-9-6.
495620	498840	American 1669 contact the approach 126.6
498840	500380	126.6 roger
504440	506740	American 1659, reduce speed to 210
540480	544700	5-4-3-4-6-5, stretch 5, 5-3-2-7-9-9-10.
547940	551180	5-3-2-7 and we'll adjust for 3-4-6-5-7.
561700	565580	3465, you're going to contact Captain Mark for Buckeye Airport, I'm coming to 3027, say yes.
567560	570240	3027, we're currently 5600 for 3465.
570780	572500	3465, good luck here for one minute from now.
572800	573920	We'll give you another call at one o'clock.
681700	682960	171.26.6
684020	686800	171.26.6, you can begin
686800	689360	America 20, 1821, 126.6
689360	690700	26.6
690700	691420	26.6
691420	693700	26.6
697780	701140	Scores, tower 30-15, 13-17, any behind or 1, 7 right, 0
702200	704760	Tower 30-15, Phoenix Proceeds, back on the 7 right
704760	706240	7 right, tower 30-15
711700	713960	American 315, approach 120.4
716920	719820	American 315, approach 120.4
719820	721820	120.4, American 315
765060	769860	American 2292 and Delta 113 will be stopped at 12,000, request reference number 49.
771700	773740	Is that left 120 or 140?
774240	776180	That's a 5050 heading 120, maintain.
777280	780460	Heading 120, stay in town with a 5050.
788280	791140	Delta 3015, contact approach on 120.4
791140	793280	120.4, Delta 3015, good day.
840540	843100	American 1738, reduce speed at Q14.
846080	847820	American 1738 approach.
851000	852860	American 1738 Phoenix approach.
912980	916200	7038 at 2.0, we're gonna miss our altitude down by a restrictor set
917180	918620	America 7038, that is approved
918620	919520	Thank you
928800	932400	Delta 1515, release speed of 193, approach 2126.6
934040	935960	2190, 266, Delta 1515
936620	937960	Delta 3099, finish approach, are you?
939300	943160	I'll get you on 3, 1, 5, 5, 1, 3, 2, 1, 1, 8, 3, 2, 1, I'm with you.
943400	944660	Got the 899, roger, chief.
944720	946720	Pick 1, wait, maintain, 2, 5, 3, 9, 4, greater.
947160	949180	2, 5, 3, or greater, 1, 8, go, 3, 9, 8.
950220	952300	American Force 76, next approach, pick 1, wait.
952540	953780	American Force 76.
961180	965900	American Force 76, roger.
966440	971320	This is Anchor, back up from private community of Buckeye Airport, I'd be on line on 4000 for the next 5 minutes.
975760	985140	Phoenix, Proxmox 29 and 22 with you at 14 and a half, descending on the Hydra 1, we have information Kilo, runway 8 on robust to hit.
985420	989720	I can tell you 922, finish the press expect 7 right today, San Diego 8, and look for us in that bus.
989960	990560	Oh dear.
993440	1000300	Hello, Phoenix, this is American 326 out of 17-2 descending via the T1 for a 7R with Kilo.
1000480	1002960	American 326, Phoenix approach, expect runway 7R.
1003200	1003480	Thank you.
1004400	1007040	American 2292, contact approach, runway 6.6.
1007740	1009320	296, F-59, 292.
1010040	1018380	Okay, American 2292, this is 18-8 descending via the Eagle 3, runway 8, and we have 10 Kilo.
1018380	1022640	American 2292 finish approach right to maintain 12000 expect runway 8
1024260	1026780	12000 expect runway 8, American 2292
1027380	1029880	Approach clear, before 93 Juliet Delta with T11,
1030120	1035920	Before 93 Juliet Delta, finish approach right as you can expect vectors for the visual approach to runway 7 right
1036760	1039620	Expect visual for runway 8, 192 Juliet Delta
1041060	1046520	10-Cross-G, afternoon, Delta 1100, check in, 1.1, send me the Eagle arrival, Kusuma.
1046960	1050960	Accept after hold and maintain, 12,000, QL, for runway 8.
1051020	1053220	Delta 1100, heavy, can you keep up with the expect, runway 8?
1053600	1055080	Runway 8, Delta 1100, heavy.
1076520	1078520	American 276, we'll speed to 210
1078520	1083020	American 2292, we'll speed to 210
1083620	1085040	American 2292
1085620	1087360	293, we'll speed to 210
1088200	1089860	210, 493, Georgia
1089860	1092000	1100, we'll speed to 210
1092620	1093940	210, 1240,
1093940	1094620	42 in the 4th
1124000	1125440	2989, stand by.
1128560	1131440	American 2922, contact the person 120.4
1133320	1135360	120.4, 2922
1136660	1138180	13JD, turn 10 degrees right
1138180	1140420	10 degrees to the right, 13JD
1159840	1162420	Delta 1100 heavy, you can maintain 1 at 2000
1163080	1165400	Delta 1100, Delta 1100, you're clear
1167100	1172000	Delta 3J, Delta traffic, clear of black, 3 miles southwest, 1 at the airport, descending to 1,500
1172840	1183420	Delta 3J, Delta 3J, clear of black, 3 miles southwest, 1 at the airport, descending to 1,500
1185140	1188100	Skyler 2989, contact approach 126.6
1189620	1191140	126, Skyler 2989
1191940	1196080	Skyler 2989, reduce speed to 2, 1, and 0, then maintain 8,000
1198520	1201940	Alright, 210, 8,000, Skyler 2989
1202980	1204080	Copy that, yes
1204080	1205300	Thank you
1217340	1219460	Mechagod 1738, can I get a approach from 126.6?
1220360	1221720	266, Mechagod 1738, good luck.
1221820	1225360	Mechagod 1738, traffic 10 o'clock, 3 miles northbound, airboat level 9, test.
1225700	1227240	Thank you, Mechagod 1738.
1337780	1339720	1100 heavy descend maintain 11000
1340320	1341420	11000, okay, 100
1341420	1344340	GAL3P, 266, contact approach 120.4
1344980	1345940	120.4,
1346000	1348520	GAL3P, 266, contact approach 120.4
1348520	1348540	120.4, special agent
1349060	1352880	GAL3P, 266, contact approach 120.4
1353700	1356220	GAL3P, 266, contact approach 120.4
1356220	1357020	GAL3P, 266, contact approach 120.4
1358080	1359340	GAL3P, 266, contact approach 120.4
1359980	1361620	GAL3P, 266, contact approach 120.4
1361620	1361980	GAL3P, 266, contact approach 120.4
1361980	1363660	GAL3P, 266, contact approach 120.4
1363660	1364760	GAL3P, 266, contact approach 120.4
1364760	1365180	GAL3P, 266, contact approach 120.4
1365800	1367140	GAL3P, 266, contact approach 120.4
1367260	1368100	2-1-4-0
1397940	1399340	M3JD, reduce speed to 190
1401540	1402380	M3JD, roger
1404080	1407460	Alaska 920, reduce speed to 110, descend and maintain 8 miles per hour
1407460	1409640	210, then down to 8, Alaska 920
1420060	1421500	M3JD, turn left heading 190
1422300	1424060	left 190, M3JD
1424060	1426080	American 2292 turn right heading 230
1427020	1428840	2230, American 2292
1428840	1441760	American 2292, release speed to 170
1442780	1444620	2290 turn, American 2290
1444620	1447340	American 2292 continue right turn heading at 240
1448120	1450180	240, American 2290
1454760	1456640	3E2G, descend and maintain 8000
1456640	1458680	8000, 413202
1458680	1461880	91100, descend and maintain 10000, descend 1107
1463220	1465280	91110, 10000, descend 1107
1471420	1476380	Skylane 3147, descending VIA, leaving 12A with current information on Phoenix
1476380	1481000	Skylane 3147, Phoenix Express, expect runway 8, reduce speed to 210, please
1481700	1483400	KSP210, runway 8, go 3-0-4-2
1489920	1492240	American 2293, continue right, we're heading 2-6-0
1492900	1494960	2-6-0, American 2293
1498220	1500860	American 2293, contact approach, runway 26-1-6
1500860	1502740	Roger, 2-6-0
1504460	1506200	T-Mobile 46 on the 6-line
1506200	1510560	1932 we're at 1-5,000, any other brews or one for runway 8 we got keyed up
