start	end	text
2400	4940	This copy is being prepared by Phoenix Tower.
5140	15460	The subject concerns the Freedom of Information Act request involving American 2292 on February 21, 2021 at approximately 2-0-1-7 UTC.
15940	20140	The facility involved in this Freedom of Information Act request is Phoenix Tower.
21280	24020	The position of operation being copied is Local North.
24020	35800	I certify that the following is a true copy of the original recorded transmissions pertaining to the Freedom of Information Act request. My name is Braden Taylor. I am employed as a Quality Control Specialist at Phoenix Tower.
38540	50220	This portion of the copy concerns communication at the local north position during the period of 2017-2056 UTC on February 21, 2021.
55860	59560	American 2630 taxi Sierra Charlie to Juliet.
60320	63340	Sierra Charlie to Juliet from American 2630.
65620	69500	Alaska 945 pushing out of Echo 4 we have a Kilo.
69780	71900	Alaska 945 Phoenix ground.
73760	77460	Use caution for company Embraer off your left and push your discretion.
77960	80400	Our discretion will watch out Alaska 945.
100240	103180	We'll turn to our shuttle 5820 about to join a final day.
103780	110460	Our shuttle 5820 Phoenix Tower runway 8 cleared to land following a 737 on a three-mile final.
111500	112940	Cleared to land 8, shuttle 5820.
144280	147900	Skyway 3171, turn right taxi via Bravo Romeo to Quebec.
148700	150740	Bravo Romeo Quebec, Skyway 3171.
172500	175300	Tower, good morning, American 1669, visual runway 8.
175560	180640	American 1669, thanks, Tower, runway 8, clear to land, number 3, wind 060 at 5.
182140	185020	Clear to land, runway 8, American 1669.
236560	242020	American 2026, turn right at Bravo 9, taxi via Bravo, hold short of Charlie 10.
242900	245860	Bravo 9, Bravo short of Charlie 10.
247240	249360	American 2861, on the vision of runway 8.
249800	255340	American 2861, thanks, runway 8, cleared to land number 3, wind 030 at 4.
255740	257980	Cleared to land runway 8, American 2861.
258700	261920	American 2026, I just cleared you into Juliet, taxi via Charlie 9.
262880	266840	All right, Charlie, Bravo Charlie 9 into the, into the ramp.
309400	311380	Ground, Horizon 2599 taxi.
315580	320160	Horizon 2599, Phoenix Tower, runway 7 left, taxi via the south route.
320720	325780	Taxi runway 7 left via the south route, any chance for runway 8, Horizon 2599?
326180	329100	Horizon 2599 negative, it's a full final right now.
329360	330000	Okay, thanks.
330000	334760	Airshow 5820 turn right right there at Bravo 8 taxi via Bravo Romeo Quebec.
335320	337400	Bravo Romeo Quebec is Romeo K20.
340380	343820	OPEX Tower American 2635 is with you at runway 8, traffic in sight.
344100	347680	American 2635, OPEX Tower thank you, number 3 runway 8 clear to land.
348040	349800	Clear to land, American 2635.
406360	411860	America 1669, turn right taxi straight into India via Sierra. Alpha 22 is your gate.
411860	413280	Yes ma'am, thank you.
413380	415600	VCR taxi to American 1364.
419880	422700	Crowd American 1354 on road Milos, roger Charlie.
422980	427360	American 1354 Phoenix tower taxi via Charlie to Mike.
428360	430000	Charlie Mike, American 1354.
432160	435100	Skywest 3249 Phoenix tower taxi Charlie to Mike.
435460	437480	Charlie Mike, Skywest 3249.
439420	442340	Tower, Delta 1515 visual runway 8.
442540	446160	Delta 1515, clear to land runway 8, clear to land number 3, wind calm.
446560	449100	Clear to land runway 8, Delta 1515.
498480	502400	8-61 taxi via Bravo Charlie Niner in Tequilo.
502640	505920	Bravo Charlie Niner in Tequilo, American 2861.
506420	507820	And who's calling on ground?
508400	513980	That's American 1355 Tango holding shutoff Charlie going to L530.
514440	516400	American 1355 finish tower roger.
530440	533460	American 1355, can we continue the gate?
533720	535280	American 1355 negative.
535540	536220	Roger.
583140	587760	Ground Alaska 945 straight, taxiway 11 kilo.
588480	591860	Alaska 945, Phoenix Tower, runway 7, last taxi via the south route.
592620	596060	7, last via the south route, Alaska 945.
597260	601020	American 2635, turn right, taxi Bravo, Charlie Niner into Juliet.
601700	604520	Bravo, Charlie Niner into Juliet, American 2635.
608340	610620	Phoenix Tower, United 292, facial runway.
611600	616440	United 292, Phoenix Tower, runway 8, clear to land, number 3, winds, calm.
673600	677420	Delta 1515 turn right Bravo 9 taxi via C.
677440	680280	Sierra South Route. Sierra South Route, Delta 10.
683640	685200	1515. American 474,
685320	689600	Lima Taxi Kilo. American 474, Phoenix Tower, runway 7 left,
689760	692460	taxi via the South Route. At Sierra, you'll follow Alaska.
694060	697120	Alright, 7 left via the South Route, and we'll follow Alaska.
697180	700980	American 474. Skywalk Skywalk 3099,
701260	705340	on the visual runway 8. Skywalk 3099, Phoenix Tower, runway 8, cleared to land,
705340	708160	and you're following a 737 on a two-mile final.
709420	711100	LA, clear to land, SCARS 3099.
749360	751040	American 315, thanks.
754380	755720	American 315, thanks.
800000	805480	United 2092 turn right turn right on Bravo and Charlie 8 to parking.
806060	810300	All right right turn on Bravo and Bravo 8 to parking United 2092.
812160	813800	Charlie 8 into Perkins.
813980	815900	Oh, sorry, Charlie 8 for 2092.
835640	837500	American 1738, this is Runway 8.
838100	840360	American 1738, thanks for runway 8 cleared to land.
840420	841900	You're following an RJ on a two mile final.
842280	844060	New land runway, American 1738.
855620	858980	American 1355, turn right on Charlie, taxi to parking at Alpha 30.
859840	863420	Right on Charlie to parking Alpha 30, American 1365.
864120	866940	And American 315, I don't have any information on you.
866960	868300	Call the ramp and let me know what they say.
868820	870020	Roger, American 315, welcome.
883200	884620	Ground, SkyWay 3815 on Romeo.
890500	892840	SkyWay 3815, Phoenix Tower, taxi, Charlotte in November.
893420	894900	Charlie to the Webber, SCAT 3050.
905500	908320	Ground, American 315, Alpha 14, great question, what are you doing?
908480	909380	Wazza, 3-8.
909600	911600	And American 315, they're ready for you.
911840	912260	Thanks, Barbara.
912460	914080	American 315, taxi via Charlie.
914700	916060	Charlie to the gate, American 315.
916420	917280	American 416,
917820	920180	!8, cleared to land, you're following an Airbus two mile final.
920180	922180	We're going to land on 8, we're at 2476.
935960	937000	With Hilo.
938300	945700	... your radar contact 2 miles south of V-line Y at 2200, altimeter is 3023, proceed Hilo 1.
947740	948940	3033, excuse me.
950180	954040	Turn right at Bravo 8, taxi via Bravo, hold short of Romeo.
954700	957980	Bravo 8, Bravo 8, Bravo short Romeo, Skywars 39.
958700	962840	Skywars 29, 89, thanks, runway 8, cleared to land, number 3, winds 140 at 4.
963380	965880	Number 3, cleared to land runway 8, Skywars 29, 89.
969240	970700	American 615, did you call?
971460	973820	Spot India, information Kila, ready to taxi.
975300	978460	American 615, thanks, runway 7 left, taxi via the south route.
980180	980880	American 650.
981540	982980	And was anyone else calling?
990300	992940	Skywest 39 on hold short of Bravo 10.
993880	995720	Hold short of Bravo 10, Skywest 30, 99.
997520	1000600	South East, American 2299, just lifting visual runway 8.
1000820	1006440	American 2292, Phoenix Tower runway 8, clear to land number 3, winds 130 at 5.
1036440	1039200	Bravo Romeo Charlie to Quebec.
1041680	1044760	Bravo Romeo Charlie to Quebec, sky is 3099.
1045200	1048360	American 1205 tower, taxi via Charlie to Kilo.
1056400	1060700	Ground American 727 on Alpha 13, request some tail south on Lima.
1061040	1064320	American 727, Phoenix Tower, push approved.
1065160	1069520	American 727. North Crown, American 1205 is joining you.
1069560	1073140	We are on Romeo short of Charlie for the Alpha 6.
1073660	1078600	American 476, turn right and taxi via Bravo, hold short of Charlie 10.
1079060	1083840	Bravo short of Charlie 10, American 476. American 1205, Phoenix Tower, taxi via Charlie,
1083960	1087540	hold short of Mike. Charlie short of Mike, American 1205.
1110020	1112920	American 4-76, Affirmative, Bravo, Sure, Charlie 10.
1114360	1115620	Micah 476, Affirmative.
1115660	1116480	Bravo, Sir Charlie 10.
1126340	1130720	Delta 1100, Phoenix Tower, runway A cleared to land use following A airbus on a three-mile final.
1142920	1145440	Tower, American 330 on Romeo for Alpha 18.
1145800	1150760	American 330, tuning Tower, taxi via Charlie to India.
1151680	1152980	Charlie to India, American 330.
1153780	1157560	Skywest 3099, hold for two airbuses to come off of Romeo,
1157640	1159640	and then you can turn right, Romeo, Charlie, to Quebec.
1160080	1162360	All right, we'll wait for two buses at Romeo, Skywest 3099.
1162780	1165900	American 2922, taxi via Charlie to India.
1166220	1167920	Charlie to India, American 2922.
1167920	1174280	Skywest 2989 turn right at Bravo 8 taxi via Bravo eastbound please.
1174540	1176600	Bravo 8 Bravo eastbound Skywest 2989.
1176920	1177000	Skywest 2989.
1180280	1181700	Skywest 2989.
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182080	1182080	
1182140	1182140	
1182140	1182140	
1182140	1182140	
1183680	1185360	Skywest 2989.
1185360	1186560	Skywest 2989.
1187260	1189480	Skywest 2989.
1189720	1191260	Skywest 2989.
1191260	1192580	Skywest 2989.
1196560	1197900	Skywest 2989.
1199660	1201740	Skywest 2989, now hold short of tango.
1201900	1203840	Hold short of tango, Skywest 2989.
1208380	1208900	Rehearsed.
1209900	1211720	Frequency change approved. Thank you.
1225340	1227060	American 12-05, you can continue.
1227520	1228820	12-05, continue.
1235600	1238520	Alaska 928, Swithia on the visual, runway 8.
1238520	1243600	Alaska 928 thanks, runway 8 cleared to land caution wake turns on a heavy 767 two mile
1243600	1245440	final winds 120 at 5.
1246160	1249260	Okay cleared to land runway 8 Alaska 928.
1249600	1252560	American 2292 taxi via Bravo hold short of Charlie 10.
1253100	1255660	Bravo hold short of Charlie 10 2292.
1258920	1261780	American 476 continue via Bravo hold short of Charlie 11.
1262660	1264620	Bravo hold short of Charlie 11 476.
1268520	1268720	you
1301660	1304740	American 727 taxi off of Lima with Kilo.
1305620	1310540	American 727 Phoenix Tower runway 7L taxi via the south route.
1311540	1313860	7L, South of American 727.
1331640	1334660	Tower, Skyler 3147, visual approach runway 8.
1338660	1342820	Delta 1100 heavy, turn right Bravo Niner and taxi via Sierra.
1343180	1345840	Right Bravo 9 via Sierra, Delta 1100.
1346960	1348040	Who else was calling, Tower?
1349380	1350820	Skyler 3147, runway 8.
1351160	1355740	Skyler 3147, Phoenix Tower, runway 8, cleared to land, final 737, one mile final, winds
1355740	1356040	calm.
1356640	1358420	8, clear to land, Scott, 3147.
1376540	1376940	Scott?
1377160	1379300	We're about to have a 4 from What's Up for runway 8.
1379600	1383620	Scott, 2989, taxi via Bravo, Charlie 9, Charlie to Papa.
1384680	1388160	Bravo Charlie 9, Charlie to Papa, SkyWest 2989, have a good day.
1391140	1394660	American 1932, Phoenix Tower, runway 8 clear to land number 3, winds calm.
1395020	1398280	Stay in land runway 8, American 1932, 1100 heavy is with you, I'm clear.
1398680	1400600	Delta 1100 heavy, you can contact ground south.
1401440	1402960	Ground south Delta 1100 heavy.
1409020	1411800	American 2292, did you want us to stay with you or go to ground?
1413620	1414020	It is frequency.
1414820	1415300	Same.
1438560	1440880	Alaska 928, turn right Bravo Niner.
1440880	1445420	taxi via Tango Charlie to Parkin is frequency? Tango Charlie to Parkin off on Bravo 9
1445420	1449900	stand with you Alaska 928. Alaska 928 actually I see someone's in the alley
1449900	1454180	over there so use Bravo Bravo Charlie 7 Charlie back around please. Okay Bravo
1454180	1457220	Bravo 7 into Charlie Alaska 928.
1460380	1466180	Go on volunteer 3302 Equus 648 taxi via the Kilo. Volunteer 3302 Phoenix Tower
1466180	1469300	runway 7 last taxi via the south rail it is information kilo
1470100	1473060	711 south we have a kilovolt here at 383.
1475720	1482660	ground scott's 3256 is on romeo scott's 3256 phoenix tower rogers to my moment
1484840	1488720	scott was 29.89 can't get you a taxi a little bit faster than that we're all waiting for you
1489300	1490160	Sorry about that.
1493260	1497540	American 2292, wait for the RJ to pass off your right and then taxi Charlie 10,
1497620	1498400	Charlie to park in.
1499100	1504220	Charlie 10, Charlie parking but give way to the RJ to our right, American 2292.
1504980	1508400	American 476, wait for an RJ to pull into Papa off your right
1508400	1510820	and then taxi Charlie 11, Charlie back around to park in.
1511400	1514520	Charlie 11, Charlie to park after the RJ and back to 476.
1522940	1529640	Tower, very good afternoon, American 1133 just outside, what's up, for 8.
1529980	1534060	American 1133, thanks, Tower, runway 8 cleared to land, you're following an Airbus on a 2-mile
1534060	1534280	final.
1535220	1536920	Cleared to land, thank you, American 1133.
1542140	1545420	Skyward 3256, turn left on Charlie, hold short Charlie 11.
