start	end	text
0	7180	Good morning everyone, thank you for your presence, those who are watching us online.
9000	17260	Every human encounter has to make us grow humanly.
17580	27780	Therefore, I have strong hope, almost certain, that we will leave here enlarged, humanly.
27780	37420	This is a public hearing of the participatory legislation commission,
37420	40740	where the citizenship participates.
40800	44840	The meaning of this commission is very important in the House,
44960	49220	and it is not disputed, unlike almost all others.
49220	56460	others. And why is that? Because here we don't deal with big
56460	65320	enterprises, big business, big regulation themes of society,
65860	72840	from the economic, financial point of view, and even social, as it is called.
72840	78960	but the social is the meaning, the soul and the life of this Commission.
79840	87320	That's why absolutely all the demands that come to us are examined and welcomed.
87860	89780	That's how it should be done.
90680	102000	That's why I highlight that this Commission is, together with the Consumer Defense Commission,
102840	109500	to discuss the connection between ufology, the use of the Law on Access to Information
109500	117240	and its potential impacts on society's information and the maintenance of national sovereignty.
118660	122620	I would like to highlight that the present audience is in favor of the approval of the
122620	131920	Requerimento 66 de 2025 de minha autoria. Gostaria de reiterar o agradecimento pela
131920	138820	presença dos membros desse colegiado, suas assessorias, dos convidados e convidadas e
138820	149240	de todos e todas que nos assistem. Esse evento está sendo transmitido na internet e o vídeo
149240	154160	The video can be accessed by the Participatory Legislation Commission website,
154160	159520	on the Chamber of Deputies website and on the Chamber's YouTube channel.
160000	166480	Something that we often forget, without the Chamber's advisory, without the House's servants,
166480	168300	there would be no plenary sessions.
169080	175900	So, my thanks, I just saw that they prepared the whole structure here, the names and such,
175900	181400	and I said here, by ear, that you are great. Thank you very much.
182560	188840	It is important to emphasize that, from the Commission's website,
188880	193020	citizens can participate in online interactive debates
193020	199040	at all CLP events, sending questions that, at the end of the event,
199180	203400	will be submitted to the table for the guests' presentation.
204380	211720	Before we move on, this is already at the end, the next part I want to invite the members
211720	214440	who will set up the table here.
218100	221840	Tiago Luiz Tiquete, editor of the magazine Ufo.
222740	226380	Welcome, you can come here, do not be afraid.
228560	234360	Vittorio Pacatini Tavares Paz, consultant of the magazine UFO.
235100	243260	Marco Antonio Petit, my fellow countryman, president of the Brazilian Commission of UFOs, CBU,
243340	248580	and Fernando de Aragão Ramalho, vice president of the Brazilian Commission of UFOs.
250340	251700	Welcome everyone.
256820	262080	I welcome a previous criticism. There's only a man here on the table.
262960	266080	There's a female representative from the UFOLGOS Brazilian Commission.
266080	269360	She came from Rio de Janeiro to honor this audience.
269720	270340	What's her name?
270640	271280	Lala Barreto.
271340	275320	Lala Barreto, also from the Brazilian UFOLGOS Commission.
275500	280160	Welcome. You'll have the priority, if you want, to speak in the debates.
280160	291180	debate. I would like to, before passing the floor to you, make some quick considerations.
291360	299520	It's curious, right? We have done this throughout our lives. In this legislature, which is my
299520	314280	as a federal deputy, many public hearings, many initiatives were taken in terms of environmental issues,
