start	end	text
31000	33380	Under the moon
37840	40600	Under the moon
56000	57280	You'll see it on camera
62660	63020	What?
63480	65140	The orange lights in the windows.
66520	66880	Where?
67060	67940	It's the lighting of the car.
68820	71960	No, they are like they were on the fly.
72560	74280	There is one that has disappeared now, look.
74600	76740	Wait, it's lights that are in the countryside.
77180	78780	No, it's lights that are in the sky.
79380	80360	Oh, what do you mean?
80500	81900	You see them NS, you see them NS.
82200	82780	It doesn't move.
83040	85180	There was one right next to it, two minutes ago.
85260	86000	I can't see in this corner.
86080	88760	But it's the yellow lights, it's the headlights of the cars that you see.
88760	91700	But he's stupid or what? Come here, we'll see later.
92400	94420	Stop talking to me about...
94420	100040	Come on, come on, come on, come on, if you have something to say, come on, come on, tell me it's car lights that don't move.
100380	100880	It doesn't suit me!
101900	103300	Then you only have a big face.
107040	108380	What are those two things?
108480	109100	Look, what are they?
111080	112420	I don't give a fuck, I film them.
114460	116600	Okay, with me, and don't leave stars, huh.
117180	118200	Come on, dad, please!
121220	122680	Tell Nicole to come, please.
122880	124500	Yes, come Nicole, come in.
128300	129100	Come in.
141320	143000	I'm stuck in stars, it's not stars.
143540	144760	The two yellow ones over there?
144940	145360	Well, yes.
145600	146620	It's not an electric pole?
146820	147920	No, it's in the sky.
148100	148700	It's in the sky.
148880	149400	It's not ...
151200	153060	The electric pole is down there, we can see it.
155180	156380	But what's there usually?
156940	157880	Well, there's nothing exactly.
158280	158380	Nothing exactly.
159620	160540	Yeah, it's strange.
161380	163180	Well, I don't know, in my opinion, it's the sea.
163180	163780	Well, what's the reason?
163840	164320	Film them.
164400	165740	They moved, that's the problem.
165740	168200	What is that? Is that the sea you see over there?
168520	168920	Where?
169180	170300	In which direction?
170460	173500	In front of the sea? No, it's the Gorge du Loup in front.
174460	178660	Yes, so in my opinion it's on the rock python, two things that are clean, lights.
179060	182580	Ah, but they are well lit, there is no...
184340	186660	The problem is that they are fixed lights.
187160	187760	Well, yeah.
187920	190560	We can tell you, they must be fixed lights.
190560	191980	And what did you want to tell me about the other ones?
260520	262100	Thank you.
315540	316080	Thank you.
353520	354500	It's proof.
355140	358520	You don't want to believe me, Emil, well, eat this.
359560	360580	Eat this.
360660	360660	
361200	361520	Eat this.
361520	361520	
361520	361520	
362800	363480	Eat this.
363520	364200	Eat this.
364200	364200	
364200	364200	
365180	366200	Eat this.
367560	368260	Eat this.
369340	370160	Eat this.
372540	376860	Oh, merci. Alleluia.
432100	433320	Matthew, come and see please.
437440	439600	You won't see anything if you don't have your glasses.
440600	443600	What is that light over there? Do you see it flashing up there on the right?
444780	445120	Yeah.
446720	448320	Up on the right, the small one or the big one?
448320	451160	It's yellow and it's flashing and it's in the wind and it doesn't move.
451720	453120	Which one? This one or this one?
453320	454180	The big one.
454460	456220	This one? The big one, I see it in my eyes.
456900	464480	And this one, I think, if I remember correctly, we'll see it on the tape, I think it went like this.
464800	468180	It went like this.
470740	471800	That's why you're laughing.
472040	472380	Yeah.
473140	474780	Your father is telling you a lot of shit.
474780	476460	I'm not fucking with my father.
477300	478720	I know what I have, that's all.
479180	482960	The right wing came after, she came alone and she blocked this one.
484120	490320	I'm a plane, when it's far, when it's bouncing, it should really go straight in front of us so we can see it like that.
491220	493440	I'm not fucking with it, I'm filming until I run out of battery.
494820	496520	And I'll keep it alive, this video.
499620	503220	Look, this point here, it came to stagnate right next to the big one and let it go.
505300	507980	The one that's still stacking? No, the one over there.
508860	510400	The left one? Yeah.
546280	549080	Thank you.
572740	573800	Thank you.
595340	597700	Thank you.
692820	695620	Thank you.
737580	739780	I would come when I would have no battery, sorry!
743420	745000	Change the battery, shit!
748420	750480	Come on, if you want to get out, get out now.
754140	755440	I'll just tell you that way, we'll go eat.
756540	756820	Thanks.
758760	760180	Wait, Mathieu, come and see if he calls you.
763280	764660	Shit, he went under there again.
765620	766720	Look, there's only one left.
767620	768540	The other one got out there.
768800	770100	And you agree, he didn't move earlier.
774120	775080	I can see it with my eyes.
775680	776760	There were two of them.
776980	779200	The other one was on the left.
780300	781580	In my life, you'll see it.
781700	783120	It should have appeared on the left.
785020	785440	This way.
787340	788180	It didn't move.
788380	789260	There's a small one on the left.
790340	791700	It's not that. It's an airplane.
796260	797180	The big one is moving.
798560	799680	He's going behind the trees.
808100	810980	I don't have the balls, we will watch this video again.
836980	842400	What is that? Can you explain to me Emile? We will watch the video together.
842400	845520	Anyway, I will force you to watch it. You will see.
846540	847880	I will open your mouth.
849920	855680	You will explain to me what it is. Because it moves, it sticks, it happened several times.
856680	858260	It's stars, yellow stars.
858480	859140	You're funny.
965760	967400	All right.
1000660	1003460	Thank you.
1060700	1062800	Thank you.
1095060	1096100	I do love you.
1123060	1124660	Thank you.
1162460	1164360	Thank you.
1191940	1193740	Thank you.
