start	end	text
0	240	Yeah.
1560	4340	Especially just at this place, we didn't even...
9920	10840	I zoom.
11000	12220	You still have a piece...
14100	17300	You have two small parts on each side of the clouds but...
17300	19340	Mom, is it a rocket that launches stuff?
20480	21440	I don't know.
21520	23060	A piece that goes down too, that you saw.
23140	23360	Yes, I saw it.
24660	26480	You see, mom, something else...
26480	26900	Wait, wait.
27020	28200	Here, a very small one.
30120	31020	Oh, it's weird.
31220	32180	What is that?
32620	33720	I asked dad.
34220	34660	Wait.
40660	41620	It's really weird.
41680	43000	Can you see or not with your...
43000	44860	No, no, no, I'm 80.
49120	49560	Look.
52340	54120	And it floats well, right?
54300	54920	It floats, yeah.
55020	55680	Look, look.
55860	56060	Wait.
56100	56460	It's floating.
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
56460	56460	
57380	58700	I lost it.
