start	end	text
0	240	It's coming?
520	960	Yes
1460	3020	And we will see
3020	5300	Wait Morgan, look at my heart when it's coming
6120	7960	Wait, tell me, wait for your hand
10440	15280	What is it?
15640	18240	Shh, shh, shh, shh, don't move, wait, we'll see what it is
19720	20620	I can't see
21660	22980	Oh, it looks weird your ass
23500	26120	It looks weird
26120	28680	And there is a cat too
30000	31740	Look, there are lights coming and going.
32780	33960	There's another one coming from behind.
34700	35060	Look.
36880	39420	Look, there are stars and water next to it.
40380	42520	There are stars and water next to it.
42760	42900	Shh!
43300	44400	It's because we don't have any...
44880	48260	No, no, look, there are stars and water next to it.
48940	50260	There are stars and water.
50480	51380	Wait, look at my heart.
60000	60300	What is it?
61380	62680	A third one is coming.
63400	64580	There are planes following them.
65920	66420	Maybe.
67260	69320	No, they are planes.
74840	76720	Stop, stop. Look at the lights please.
78180	78680	What?
78840	79500	It stops.
81640	82580	One of them is gone.
86060	88100	The other one is going to disappear.
90980	91940	It's weird.
92400	93720	I don't think I can zoom in.
96080	98440	I can't see what it is.
103900	106240	I can't see what it is.
106360	107620	It's weird because it's a...
107620	108320	Ah, there's the other one.
110800	112060	I want to see.
112280	113080	The other one disappeared.
113440	114040	Look at the other one up there.
114160	114580	It's disappearing.
146420	147640	Yes, it's weird.
147920	150980	You see, it's a red light, a weird orange light.
153420	155340	I can't see what it is.
155340	157560	Maybe it will pass the information tomorrow.
159420	161880	I can't see what it is.
163880	165260	It's going very fast.
165700	166920	It's going very fast, it's going very fast.
167120	168660	Without a plane, it would be faster.
169940	171380	Maybe a plane?
171880	172440	Maybe.
174160	176500	I am innocent control carrie moca
181600	200240	And then I just I'm not proper I'm in tragedy
201260	204040	What is it? I don't know.
204140	205060	I don't know what it is.
205300	205720	I don't know.
207580	209700	It's going further. Look, it's going to be there soon.
209880	210260	It's going further.
212060	213160	It's going to be there soon.
