start	end	text
2000	5580	It's like you have two wings on the sides but in super long time
5580	7960	Well, it's flashing so it's not normal
8840	10040	We're going to take a short break
10040	11000	Look at that
14740	21640	Well, listen, we stay a little bit on site
21640	25900	and then I take the coordinates, I take everything and I'll do a little...
27460	28580	There's no one else coming?
28580	28660	You coming?
29520	30000	Hi
31560	33880	There are things that could interest the army
36640	39640	I'll have to take your coordinates because we have to do a procedure
41180	42400	I don't care
42400	45540	And to take a word from you, what you saw, etc.
46620	47780	You see it like me
47780	48900	I see well, I agree
53320	55500	You coming? Can you see your stuff?
55680	57460	You can see behind me
58580	62540	You can't touch me but I don't move and the thing moves.
62840	65000	And we can see that it's flashing, so it's good that there's a wolf.
66140	66780	Look there.
68220	74580	And you see the brightness behind this star, it's much brighter on a ray of light.
74900	79400	It doesn't make any difference to what we see, but we can see on the video that the thing is moving.
79780	82740	And you see it when it's like...
83260	84880	You know, it's making the two lines on each side.
85000	86760	But I don't see it, I'm too shy I think.
88580	89800	Look at that, look at that!
91360	93640	But here we can see that it flashes and that it moves on the camera.
95360	101140	And you won't find that in the background, higher, it looks like it lights up more, but inside the sky.
103120	105000	It's true that when we look at another star, it doesn't do it.
105660	106520	Ah no, no, look!
