start	end	text
500	1740	Arthur, watch out, you're going to fall.
5280	6860	I have a shitty definition.
9900	11660	Because you can see that there are three...
14900	16400	There are three planes.
17380	19340	So we are on... what day is it? November?
19560	22120	Wednesday, November 6th.
23100	25660	And we can see in the sky...
27640	29700	3 planes following each other
30460	34180	I don't think they are comets
34180	35520	Oh there are 4 of them !
35520	38700	There is a 4th behind
38700	40520	What is this ?
40520	44920	There are 4 of them and they are heading to the object I filmed earlier
44920	46360	What is this ?
52760	53960	We can see them from here.
54460	55800	Come and see them from here, it's impressive.
56200	58700	Isa come and see, you have 4 missiles.
61340	62160	You see them, look.
64360	67100	And you have one that takes the direction of the other.
70160	71240	What are these tracks?
72760	73520	It's not planes.
77520	78280	Arthur is afraid.
79200	79600	What?
80000	80720	Arthur is afraid.
80960	82800	We agree that it's not planes.
84260	85340	It's not a line of planes.
87220	87760	It's weird.
93100	95220	I hope it's an optical illusion.
95220	96100	Because you saw it well earlier.
96240	97200	We could see that it was planes.
101240	103960	It's weird, in the sky, my camscope...
104460	105540	Ah, I can see them well.
105760	107260	My camera doesn't see them.
108620	110280	When I take a picture, it doesn't see them.
111260	114100	No, no, look, when I zoom, I shouldn't move.
115960	118060	We can see that there are 4 objects in the sky.
118260	120160	I'll try to count them.
120720	123680	There's one here, in the middle.
124220	125980	A second one here, a third one here.
126660	128080	And a fourth one.
128080	128340	6th
135260	135620	I'm done.
