start	end	text
940	2620	Call Louis, Trichy, call Louis.
3080	3580	Why?
4040	4480	Call him.
4740	9440	We met a couple in Mont-Cloris and we left France with the Frenchman.
10000	10620	Oh, wow.
10800	12240	But you see, you don't know him.
12840	13560	Yes, yes, yes.
13980	14280	It's true.
15800	16440	It's true.
18200	19480	Oh, my goodness.
19780	21640	They're waiting for the Americans to come.
22020	22920	They're waiting for the Americans to come.
23800	25780	Did you cut the lights?
25980	27360	Because I can't see anything.
27360	28680	What's that?
30240	31060	What's that?
31780	32380	Helicopters?
33320	34940	Turn off the lights.
35160	36780	Turn off the lights, please.
36780	38220	Turn off the lights, please.
40540	41300	It's weird.
41680	42360	It's weird.
44340	45980	There's one underneath.
46460	47520	There's one underneath.
47740	48640	What the fuck?
49740	51360	There were five of them
51360	53320	who came out of the forest.
53440	53720	Look.
53720	53960	Look!
58040	64300	Look, they are disappearing.
65220	68020	Five of them came out of the wood.
68100	68620	That's crazy.
69820	70880	What time is it?
71220	72260	11.30.
75680	76880	They disappeared.
77260	78460	They were five earlier.
85600	88020	The plane is going to disappear in the middle of the night.
88640	90940	It's not possible.
91680	91960	It's not possible.
94500	96540	Look, it's disappearing all of a sudden.
96760	101080	It's weird. We're used to planes.
101320	101840	That's it, goodbye.
103620	104900	Goodbye mines.
113720	114700	We can't continue this one, we're there.
115300	116620	The boats are there.
116940	118420	We can't continue this one, we're there.
118420	119460	We can't continue this one, we're there.
119460	120900	We can't continue this one, we're there.
125260	130880	We saw them coming out of the Seine forest and then...
