start	end	text
27540	28100	It floats.
28620	30500	Do you think it's an object or a presence?
31180	34100	No, I think it comes from an object, maybe higher.
34180	34180	
34200	41920	you see that it reflects a thing or ... but it's crazy! I don't think it's a presence
41920	48460	it's incredible! it's great! that's why it's called a presence because it's in the middle of the piece
49720	54000	it looks like an object when it's all together but in fact it's all individual pieces
54000	56220	look! but it's above us?
74660	76840	It's disappearing, it's coming.
96380	98880	Look at the sky, it feels like it's raining
109460	112280	Do you feel something?
115000	116040	A shadow?
126600	127180	Oh shit!
