start	end	text
1360	2080	Do you see it?
2540	2920	No.
11120	11940	That's not a plane.
14980	15480	I have it.
17980	19520	Yes, good evening sir.
20840	23760	I'm calling you, I don't know if we have told you something...
25620	28260	...weird, flying. Have you ever had calls?
30000	33420	the room and we just saw something happen which made a kind of
34140	37820	twinkle and which makes the overpass with quite bizarre lights. It's not an
37820	42700	airplane. And it's not an airplane, my wife and I are both outside and we saw something ...
43520	50780	well here. Yeah well it's not a helicopter either. Oh no no no no no we hear nothing.
51060	55980	He came here, he came here and he left again behind. Well here I
55980	60800	I'm just signaling because I know that you have some of these things or something
