start	end	text
0	920	I'm nervous.
1360	2420	I'm shivering, I swear.
5480	6360	Ah, that's cool.
7340	8300	Look, there are a lot of things.
9680	10840	There are a lot of things with it.
11760	12580	Did you make a video?
12740	13000	Yes.
13180	13480	You're filming?
13640	13900	Yes.
14560	15900	I have to call my friend.
16080	21140	Look, there are a lot of things.
21300	21540	Yeah.
23240	24220	Oh yeah, look.
24680	25800	Oh yeah.
25800	26660	Oh yeah!
28760	30000	It's a big scoop!
31020	31760	There's a lot!
32000	33320	You know I can't send it to the newspaper?
35980	37440	Oh yeah, because...
38120	39000	It's so weird.
40260	41520	I'm sure I'll send it to the newspaper.
42720	43680	Oh yeah...
43680	45240	But people will...
45240	46720	Because how?
48760	49240	Fuck...
49800	50660	Because there's a lot!
52060	53840	Imagine if we get sent or what?
55960	58180	You don't have any shivers? Look, there's a lot of them.
58860	59280	Look.
69260	70440	I'm going to put my phone away.
140460	140600	Thank you.
205960	206840	It's still good.
207000	208100	You look like a beast.
208300	208600	Look.
210240	210940	Look at the side.
211460	212020	It's weird.
213620	215060	Look, it's spinning and all.
216540	217060	Stop it.
217140	217740	Put it on Facebook.
218060	218200	Shh.
218440	220120	I'm going to send it to the newspaper.
220240	221060	Look how it is.
224720	225480	It's so weird.
228380	229620	Too bad, I'm going to the newspaper.
229820	230060	No.
230840	231260	Hurry up.
231780	232080	No.
232800	233340	I'm good.
238260	239040	It's a ship.
241280	243360	Put it on Facebook, my friend, I want to see it.
244120	245000	Put it on Facebook.
246680	248520	Cut it, you'll put it back on right after.
