start	end	text
2100	3760	Look at that, you've seen that?
4900	6320	Never in my life, I promise you
8900	10980	I'm looking on Ufology internet after
11760	13200	You see it, let's go
13200	15560	What is that? It's not a satellite
16000	17240	I don't know how to zoom
17240	20140	I don't know, don't zoom, it's what we see
20820	22220	Normal, I know it's cold
22220	23140	You can't, you can't see anything
23140	23960	Oh shit
23960	25140	That's how we zoom
25140	26080	What is that?
29160	31380	I've never seen that, I promise you, it's far away
32100	32860	It's not a plane thing
34720	36380	Look at the weird color, it's red
40600	44380	It's not a plane, it's not a helicopter, it's not a military thing, I don't know what it is
50320	51480	Don't move, are you kidding me?
52360	53140	I'm zooming out
54200	57720	Wait, don't move, stop zooming out
57720	58800	If ever...
65360	66700	I would have had the gopro it was better
69340	69940	Where is he?
70100	71700	I lost the cable
71700	74640	To zoom in you have a button on top
74640	75740	No no I don't zoom in
75740	77080	He disappeared
77080	80600	What is that?
80820	81800	I've never seen that
83440	84620	Look with your eyes
84620	85580	Yes I see
86380	88760	After your phone you would need a camera
89360	89880	That's what I told you
89880	91540	I should have had the gopro on me
91540	92360	Oh shit!
93280	94160	He stopped!
95540	96240	I feel the dog!
96400	97480	Film him!
98440	99480	He stopped!
99720	101640	He's dead!
102260	104620	He stopped!
104880	105060	He doesn't move!
107540	107620	Look!
108720	109720	He's going to turn off!
112000	112640	That's it!
112900	113540	Wait!
113800	115060	I can't see him anymore!
115800	117400	No! I blocked him!
124600	125920	I can't see it
125920	127020	I can't see it
127020	128140	And yet we are normal
