start	end	text
3320	7720	It's a special one, I think it is. If we can go a little faster.
8140	10300	It's coming here, I'm going to go there.
10440	11980	It's going to be gone, I think it is.
12520	13560	It's coming here, maybe.
14240	14680	Maybe.
24720	27960	I can't see if I have one in the car.
29160	30900	You can stop it at the beginning
37200	39400	If you go like that, it's not going to work
39400	41800	I think we're going to have a big one
41800	42560	Yes
109620	116280	I'm going to try to take a picture, I'm going to make a film, but I don't know what it did.
117960	118680	It's not possible.
119040	121680	Well no, especially since we were moving fast but not fast.
