start	end	text
720	1500	Are you filming?
2600	3000	No
12560	12660	It stopped
14580	16720	Who is this guy with the dot?
17120	17720	Look
27600	29280	What is this thing?
38300	39780	Is it a TV?
43560	43880	Oh!
44520	45700	Are we going now?
73660	74620	I'm standing by.
116920	117640	Still there?
134840	137160	Something is following us from Marly
143740	145060	Are you still filming?
150000	159120	Stop, I'll stop
159740	161080	Look at this
228440	229080	He's leaving us
230740	231960	There's a guy on the side
237260	238620	I saw him, he's there
239180	239840	On the left
246200	247440	He's over there, look. Do you see him over there?
248640	248900	Look.
249220	250840	He's over there.
252140	252560	He's stopping.
