start	end	text
11580	13400	I don't know what those two things are.
14620	16280	What is it?
18060	19280	I'll take a picture.
19600	20840	It's impressive, isn't it?
21900	22820	I don't know.
26540	27880	What is it?
30540	32060	What is it?
33720	34640	It's crazy.
44380	46140	I can't film anymore, huh?
47200	48040	Disappeared, Anki.
51520	53380	You saw behind the storm, Anki?
53440	53800	Nothing more.
55200	56480	Anki, what is that?
58460	59420	Anki, what is that?
59420	59600	A crazy thing.
60080	60860	Nothing more.
