start	end	text
2440	4100	I can't see it on the screen.
4680	5320	It's shining.
8660	9600	Ah yes I see it
13740	14500	It's moving a little bit
16680	17880	What is this thing?
18060	19700	It's not a trajectory at all
21480	24280	Shit, it disappeared
24940	25900	Do you see it again?
26160	30160	Yes, more or less, because it had to turn so it's less shiny
30160	31300	We can't see it anymore
32600	34460	There it is, it's turning a little bit, we can see it more
35340	35700	Shit
35700	35940	Shit
40740	41580	It's going up, huh?
42900	44040	It's something that's flying away.
46200	47060	I could have seen it.
47220	48920	It seems very high to be flown away.
51620	56820	What is it?
57220	58340	I could not see shit.
58600	60500	Yes, but not on my screen.
61560	62400	Well, aim better.
63280	63700	Fuck.
66520	67540	There was a pigeon.
72460	73300	You still see it?
73480	73660	Yeah.
75280	75900	We can see it.
76040	76660	Ah yeah, shit.
78060	78860	Why can't I see it?
79160	80480	And in zoom, it doesn't matter?
80840	82500	But I can't see it at all.
83360	84780	It's not possible, look, it's there.
87000	88780	I tell you on the screen I do not notice it.
89380	91440	Damn it's an extraterrestrial force that can not be filmed.
93640	93960	Delirium.
97820	99780	That's it, I have it.
100200	100520	So?
101780	102920	Let me zoom in quietly.
103660	104440	A ball of helium?
105200	106340	Damn I do not know what it is.
107800	108840	There is an aura around.
111040	112560	But do not laugh, it looks like ...
113080	114740	So you know I saw it more or less.
114740	120120	I had the impression that there was a mist around but ...
120120	120760	Yes.
122040	123460	Oh my God, it looks like ...
125080	126060	What is this thing?
126600	127580	I don't know what it is.
130100	131440	No, that's super weird.
133000	133560	It moves.
138440	139600	Too bad I don't have my camera.
142080	142780	What does it say?
145740	146360	It's really weird.
149700	150700	It's really weird.
152720	155080	You know what it looks like? It looks like Bora Bora when I look inside.
156620	157860	So, you got lost?
159240	160120	Yeah, but...
161240	162440	That's what I see.
163400	164300	Or a cell.
166420	167920	What do you fucking mean?
174980	176120	It's moving, do you agree with me?
176420	178320	No, it's moving but I can't see it moving
181000	183000	Come with me to look at the screen, get up
183000	184360	I'll try to see it
184360	185100	Without hitting me
186240	187480	Because if I lose it
191140	192440	It's true that we can't see it on the screen
193140	195400	Yeah, I took time to see it
197200	198300	It's small but still
206240	208620	I have a magnification of 10 if I can catch it
211080	212700	We will compare our videos
213540	214540	What's your magnification?
214880	215280	Same
216920	217940	I can't see it
220240	221640	We never know the focus
222480	224560	If it moves, it moves on the left
224560	225880	I don't know if it goes up but it moves
225880	227800	I agree, it was there
227800	229140	It moved like that
233100	233860	I can't do it.
234280	235180	I'm going to do it.
235980	237040	I'm going to do it.
239600	241340	Ah yes, I think I got it.
242540	243260	Ok, I'm stopping.
