start	end	text
500	1440	I don't think so.
6660	7300	A UFO?
9320	10900	It's weird, it's a UFO, Olivier.
19400	20200	It's weird.
24900	25620	They're insects.
26200	27020	I don't think so.
27080	27360	Yes.
27360	27640	No, no, no.
27640	28500	No, it's not.
29540	30180	It's an UFO.
31960	32960	Why do you think it's an UFO?
33800	34920	I think it's an UFO.
35340	35580	Why?
36700	38100	It remains the same shape, Olivier.
39000	39160	Why?
42360	43640	It's not the same shape.
44720	45640	It's not the same shape.
46180	47140	It's not the same shape.
47340	48560	It's not the same shape.
48840	50100	It's not the same shape.
50760	51200	It's not the same shape.
51820	52600	No, it's a new one.
