start	end	text
1280	2160	What is this thing?
11220	13120	Is this a paraglider with two sails?
13680	17440	No? There is something floating on it.
18060	19900	Is it a balloon that has been lifted and that has burst?
20040	20900	I don't know, a meteor balloon?
23700	26300	It's weird because it moves fast.
27440	28280	Two parachutes
28280	31640	They were dropped and they landed on the ground
32820	35220	We can't go that far, we can't fly
35720	37620	I don't see anything, I don't see any good men
38320	40780	What ? There's no one who can come and see us ?
