start	end	text
1120	5040	He can't catch it, the light is too weak
5880	7880	Was it a paraglider?
8220	8540	No
15820	20160	Look how it is, look, it even doubles, it's very weird
21000	22280	How does it double?
22680	24980	It makes circles, look
34860	36420	You see, it looks like there's something coming out.
37080	38420	And then it comes back.
38660	40000	Are you sure it's not a bird?
40200	41060	No, not at all a bird.
42260	42800	It's obvious.
44160	45240	Look how the light reflects.
46260	46660	Look!
60100	62820	There are strange things in the sky.
64460	75080	I'm going to take a picture of the
75080	75400	!
