start	end	text
9600	11480	Thank you.
58560	59980	Thank you.
71300	72840	Thank you.
100860	102460	Thank you.
135880	136900	I'm sorry.
196340	197880	There are several points in fact.
205880	208340	Oh la la, what is this thing?
213520	215360	I had to fall on myself.
236440	239260	Oh la la, what is this thing?
242380	243700	Oh, it's impressive.
250720	251640	It's awful.
254440	255800	What are they doing?
258880	265920	Oh la la, there are crazy things happening. There are small energy balls underneath the big ball.
266740	273100	And it makes lines that go almost to the ground, it's so weird.
275080	277480	It looks like a big character walking around.
279880	281600	Oh la la, it's crazy.
287280	289300	I stopped filming it lasts hours
293920	295880	it's alive there are a lot of things happening
297480	302180	oh la la it's crazy there is a big energy ball and a little one that is
302180	304060	sent to the ground and which comes back as an elastic
307600	309440	it's too much space
313700	315820	there it makes a small beam
328720	331580	there are crazy things happening on this hill
334660	338200	oh la la la la there are two there are two we see it there
343600	345280	but what is this thing
365720	369060	Bienvenue dans les Pyrénées
