start	end	text
1540	2720	Film, film, film, film.
3980	4720	What the fuck is this?
7660	8520	It's fake, it's nothing.
10620	11680	How did you see that?
12520	13880	Because I'm passionate about vinyls.
14000	14660	But there's a fourth one!
16300	18120	Oh yeah, look, there's even a fifth one.
18200	18680	Look, there's more!
19060	19520	But what?
22280	23740	Nah, I think it's really something else.
23940	25640	Look, it's going up, it's going up, it's going up.
26340	27400	What is this double?
33640	40300	I'm going to film outside.
40300	41420	What is it?
75360	75720	Thank you.
115020	115920	Thank you.
126880	127900	Thank you.
