start	end	text
2780	3980	This is the stars.
9560	10980	We go down.
15080	16220	It's still much brighter.
19780	20880	And it's very low.
23600	26220	Possibly there is a star above there.
26220	26660	There, ok.
30840	31880	Like this.
33240	34540	This is weird.
36300	38600	If I... No, I can't do more.
39360	43220	I only have 85, it's useless, I can't do more.
44740	45860	I can't.
50800	51480	Star...
52220	53360	This one is still red.
54960	56600	But it's all the way up.
59640	60940	Good quality in the night.
