start	end	text
1420	3380	We'll just get going right away.
5100	9000	First thing I'd just like to know is where you were born and raised,
9200	11820	and you lived here in Grants, New Mexico.
11960	15220	How long have you lived in New Mexico?
16180	22700	Okay, I was born in Tularosa, New Mexico on the 14th of March, 1931.
22700	32560	I lived there for four years, and then in 1935, my family moved to Hope, New Mexico,
32680	33720	close to Artesia.
34360	42580	We were there two years, and then we moved from there to Aztec, New Mexico, where I went
42580	43500	to school, grew up.
43500	55780	and in 1949 I enrolled at New Mexico A&M College. It's now New Mexico State University. I graduated
55780	68440	from there in 1954 and after working approximately a year in various positions, I entered the US Air
68440	78600	Air Force to fulfill my active duty commitment that I acquired by going through advanced
78600	88540	ROTC at New Mexico State. On the 16th of May, 1955, I reported for active duty at my first
88540	93940	duty station at Wright-Patterson Air Force Base. For six months, I was a judo and combatives
93940	98640	instructor after which I transferred into the impact branch of the escape
98640	108580	section or the escape section of the ARL Med Lab and during that assignment I
109240	117460	worked on high-altitude bailout and on parachute landing injuries. I was a test
117460	124580	parachutist, also a test subject for Project Mercury suit evaluation, a
124580	130640	various test subject for various research projects involving space flight,
130880	137620	suit evaluation, checking instrumentation for extended space flight, and
137620	148840	and a variety of items, low bulk space diet, and various things like that.
149200	155100	Okay. And so you went to Wright-Patterson and you worked on these projects,
155140	161100	then just, what else did you do? What year did you retire from the Air Force?
161400	166700	I retired from the Air Force on the 1st of March, 1979.
168580	179020	I began my job here in Grants on the 2nd of January 1979, but I was on terminal leave for two months.
179200	183160	So I was actually in the Air Force two months while I was also working for the State.
183580	187000	And I've been here in Grants since that time.
188060	193720	So when you left Wright-Patterson, then you went...what other assignments did you hold before you retired?
193720	203300	Patterson, I got transferred to Alaska, where I was assigned the responsibility as an educational
203300	212940	specialist. That's what I transferred up there as, and that was going back to the period
212940	218920	when I was a judo and combatives instructor. That's the AFSC I went up there under.
219080	221600	Is that what year was that, when you left Wright-Patterson?
221600	223240	When I left Wright-Patterson, yes.
223320	227400	And that was on the 4th of March, 1960.
228500	233040	I flew from Sea-Tac Airport, Seattle-Tacoma area,
233860	238840	up to Elmendorf Air Force Base in Anchorage, Alaska.
239480	240560	I was there.
241320	246440	The service commitment there or the assignment was normally a three-year tour,
246440	253180	But while there I applied for graduate training in microbiology through Air Force Institute
253180	262540	of Technology and I was selected for that, but in order to make my return to the South
262540	270160	48, coincide with my entry into school, I really extended it for six months.
270280	272120	I was in Alaska three and a half years.
272120	279180	years. From there I reported to the University of Arizona in Tucson, enrolled in the graduate
279180	286680	training program in microbiology. That took two years and from the University of Arizona
286680	292780	I was transferred to the School of Aerospace Medicine, Brooks Air Force Base, San Antonio,
