start	end	text
3400	5320	You're chairing this, have we done it?
5560	7460	I don't think so.
8180	11360	Well, you've seen me pursuing the agenda, so...
12880	16820	Sir, this is a copy of the letter that you wrote to Colonel Weaver.
16960	17260	Yes, sir.
17520	26200	And one of the things that you talked about in this letter
26200	29820	was that the radar test flights were not reported,
30080	33680	which is exactly what we were just discussing a moment ago in your kitchen.
34360	38160	Would you go over again what you just described
38160	41840	as far as this particular test flight that occurred,
43120	44660	what we just went through in there?
46180	48800	Well, as I said initially,
51600	54680	the essence in trying to develop constant-level balloons,
55760	64560	was. And at the same time we were under a lot of pressure to carry the test microphones
64560	71760	for the Watson Laboratory and Columbia people. We got into an operation at Alamogordo in
72480	80640	early June of 1947 in which we were required to make flights in which the tracking of the
80640	86100	the flights would be provided by the Watson Laboratory radar that was already in place
86100	95480	at Alamogordo for tracking the V-2s and other rockets. The Ordnance Corps people were flying
95480	106320	over it at White Sands. And so we came down to fly balloons in early June in which the
106320	114200	The tracking of the flights was to be done by radar tracking corner reflector targets,
114380	116220	which I think we brought with us.
119060	122140	I don't have any evidence of this.
123160	127860	So you made your plan in New York to fly...
127860	132600	Your primary research was the acoustical detection.
133000	133400	That's correct.
133400	133580	Correct.
134400	137400	Secondary was the refining of technique of constant level ballooning.
137500	143520	And that was on hold until we got the delivery of the polyethylene balloon that was scheduled
143520	144940	for the end of June.
145300	153680	And so on the first of June we came really just for the test flights of microphones doing
153680	155540	service flights for Watson Laboratories.
155780	159200	To fly the balloons in association with E2 launch.
159200	169340	That's why meteorological balloons tracked by Watson Lab radar on the ML307B targets that I think we brought with us.
169560	172440	And you've launched these balloons in conjunction with V-2 firings?
172800	175420	Well, those went independently.
175760	180520	Crary, Albert Crary, was monitoring the V-2 firings.
181840	183840	That was with the ground microphones?
184160	185880	You're right. I beg your pardon.
185880	197540	Yes, you'll find in the diary that we launched Flight 8, these cluster balloons, we launched those at 3 o'clock in the morning for a V-2 firing.
197640	207940	You're quite right, I'd forgotten that. We launched those in the morning, then the rocket got scrubbed while Flight 8 was in the air,
207940	212780	and we were out of meteorological but we're out of plastic balloons that day
212780	217440	in early July this is jumping ahead to early July and we put up a flight of
217440	221820	meteorological but we inflated meteorological blend for the delayed
221820	228620	firing of the v2 rocket on the afternoon of July 3rd you'll see and then that
228620	232660	there was an accident over quite sound and the v2 got scrubbed the second time
232660	243460	and what was flight 9 we launched flight 9 as you will see in here as a dummy
243460	248060	flight and it probably had radar targets on it let me just read this
248060	258420	oh and this is a query summary for week of June 30 June 5 July 1947
258420	266720	47. Balloon tests 7, 8, 9, and 10 off this week. Test 7 scheduled for July 1 postponed to July 2
266720	271740	because equipment not ready. 100 tanks of helium obtained from Amarillo on Monday evening.
272060	278140	Trachowski went over in a C-54 and picked them up. Also radios on receivers set up by NYU but
278140	287160	sonobuoy not operable. Test 7 at dawn July 2 with pie ball. One hour first falling with the
288420	293540	gray light and balloons up between bays and mountains most of the time, included a cluster
293540	299100	of MET balloons, followed by C-54 several hours, and finally landed in mountains near
299100	301720	Rhodes, south of Cloudcroft.
302340	305080	Before gear could be recovered, most of it had been stolen.
306280	309160	Stations operating in Northanger, Cloudcroft, and Roswell.
309660	313980	Shots made repeatedly at Site 4 and picked up good from Northanger and from Cloudcroft
313980	314460	for a while.
314840	316060	Nothing from Roswell.
316680	323400	On Thursday morning, July 3rd, a cluster of GM plastic balloons sent up for V2 recording, but V2 not fired.
323720	326100	No shots fired. Balloons up for some time.
326360	328160	What is a shot?
329620	330540	Explosives on the ground.
330640	333000	You were doing explosives on the ground in Mexico, too.
333160	333400	Crary.
334000	334400	Crary?
334880	335280	Crary.
335720	342740	So Crary would give you the signal that he's going to, he'd say at 0400 I'm going to launch a balloon, at 0500 I'm going to...
342740	344780	No, he wouldn't launch a balloon. I'd launch a balloon.
346060	350420	What he would, what Peoples would do is say, I want a flight up tomorrow morning.
350500	353000	So the NYU group would get ready to make a flight,
353800	359460	and then Crary would go out with his crew and fire explosives up and down the Tua Rosa Basin
359460	361580	while our balloons were in the air.
362100	362600	Oh.
362900	363380	Sorry.
363600	363800	Sorry.
366240	370640	So you had multiple explosions on the ground, V2.
371680	373460	And explosions on the East Coast.
373460	380580	East Coast, Bermuda, Caribbean, and you had those times so you'd know when they were going to take place and you were simply waiting for the...
380580	393820	They had a time and we balloon types just fit into the schedule. But the master timing of bringing all this together, we knew nothing about.
394100	396400	We were just scheduled for five balloons.
396460	398540	But you did want to launch early morning for the light winds.
398540	400720	We did want to launch early in the morning when the light went.
400820	404500	We had freedom to tell them what we could do and what we couldn't do.
405280	412480	We actually, in addition to everything else, Colonel, we actually flew blocks of TNT on
412480	417920	free balloons and fired them while we had other balloons in the air.
418860	421760	Now did those have radar targets on them also?
423320	423800	Probably.
424740	429460	Did they, were those detonated by a pressure switch?
429680	430120	Pressure switch.
430480	430960	That's correct.
432480	438580	So were those tracked and was there some sort of log that would tell you where those particular balloons were?
438700	443300	You wouldn't want to just release TNT to float anywhere, would you?
443480	445980	Well, they wouldn't float. The balloons would just go up until they burst.
446260	450180	And we were on the edge of the restricted area.
450380	451840	So the answer is, yeah, we did.
453800	472760	I'll have to get back to this. The radar tracking, Carlin, turned out to be abysmally poor. I don't know why, but they were abysmally poor, and that's why I got off onto this part of it, when you asked me the V-2 question.
473780	476820	Anyway, let me finish this and we'll get back to what you asked.
479480	486860	Then, let's see, Thursday morning, cluster of GM balloons sent out with V2 not fired, no shots fired, balloons up for some time, no recording.
487720	499000	Piebald showed no west winds. Balloons picked up by radar, WS, now I presume that means white sand, you'll find it's a hard thing to say,
499000	501720	and hunted by somebody's name I couldn't get.
501820	503860	It looks like Marial's.
504820	509600	C-54, located on Tula Rosa Range by air,
510460	513180	out PM with several NYU men by weapons carrier,
513240	514420	but we never located it.
515180	518340	Rocket postponed until 7.30 p.m. Thursday night,
518500	520240	which was the third,
520440	522420	but on the last minute before a balloon went up,
522500	525540	V-2 was called off on account of action of White Sands.
525760	528380	Sent up cluster balloons with dummy load.
529360	534400	balloon flight number 10 on dawn July 5th had gone out with C-54 again with
534400	539280	Moses and Dufield to hunt for flight 8 but not sure was found then and then I
539280	544900	added a note here flight 8 was never recovered C-54 went to El Paso July 4th
544900	549100	and picked up single Smith plastic balloon and GM cluster plastic balloons
549840	556660	and so so the answer is yes we did we did try to coordinate the balloon
556660	563760	launchings for the V-2 firings. And Crary would also take that as a time of opportunity
563760	571480	to go out on the desert and fire TNT. He had vast stocks of explosives available to him.
571700	577420	Was that primarily on the White Sands Range or did he go out into other areas, say, northwest
577420	584020	of Roswell? In other words, did he contract with any of the ranchers to use these locales
584020	586220	other than the actual missile range itself?
586440	589280	I think, Colonel, he sent all the explosions he made
589280	592780	were coordinated with the White Sands Proving Ground people.
593920	595800	Alamogordo Airfield, later Holloman,
595900	600180	was just on the fringe of the Proving Ground at that time.
601740	605540	Crary sent his men to all sorts of places,
605600	609400	over to Roswell, to Artesia, to Hagerman,
609500	612040	up and down the Pecos River area.
614020	619240	place you'll read about amphibians Texas which turns out to be just down the Rio Grande from
619940	625000	from El Paso, maybe 50 miles and then he put had done
626520	631220	Edmondson went to Silver City frequently and then he had someplace he called Donia
631220	634740	there's a county is Las Cruces is in Donia and
635440	637680	and a county and
637680	640060	But I don't where his Donia site was
640060	652400	was. But I think he had microphones scattered all around in central New Mexico and west
653140	660980	Texas but the explosions were all created either on White Sands Proving Ground or there
660980	665720	were V2 rockets or there were things that were coming from the, I won't take your time
665720	671540	now but you'll find that he talked about cruises which apparently or maybe there
671540	678600	was a cruiser or something firing off the Jersey coast but to get to get back
678600	686420	we got off into this we were talking about tracking and we would make we went
686420	692820	down to in early June to to make service flights which were to be tracked by
692820	701140	radar and the radar was unsuccessful and it's my memory that we made a number of
701140	706080	flights just to test out the radar and these would not have had a reward tag on
706080	711560	them these were throwaway flights once a target like this comes down from high
711560	719000	altitude or drag you don't want it back and it's my memory we didn't want to
719000	722700	to have anything traced back to us, if we weren't going to go out and pick it up.
723260	726700	So you just kind of let the material just lie wherever it fell?
727060	733300	We shot a balloon into the air and didn't want to do any more. There's some pictures,
735040	744240	here are pictures of our going out to recover things. On one of the early flights we went
744240	753200	out 100 miles east of Roswell. And I remember beyond the bottomless lakes going out in oil
753200	758500	oil country picking up one of our flights that had come down. We aggressively tried
758500	759520	to recover our own flight.
759660	761820	So were you directed to that location by aircraft?
762200	762600	By the aircraft.
763480	764280	Did they give you a landmark?
764280	777220	long. We talked to them by radio. The transmitters on these microphones were so low powered that
777220	784060	believe it or not they had B-17s just orbiting under our balloons with receivers aboard the
784060	790840	aircraft and we of course would talk to the aircraft and they'd tell us when things would
790840	795180	would come down. So it was a coordinated operation.
795640	801080	So were they recording the, okay so you had explosions or V2 going through, so the aircraft
801080	805520	had recording devices to get the acoustical pickup on the balloon and the aircraft had
805520	808060	the recording device that would record the sounds?
808260	810540	That's correct. It would record the signal from the balloon.
810820	813220	Right. And what media was it recorded on?
814540	819600	Brush, brush recorders, are you familiar with brush recorders? Strip chart recorders, feeding
820840	823180	And you'll see them in here.
