start	end	text
0	4600	New Mexico, April 25th, 1996.
9800	11820	I came here to speak with you.
11900	16880	You were positioned at Walker Air Force Base, 1951 to 1953.
17300	19420	You were also a pediatrician while you were there.
19740	26420	And it seems that perhaps someone is relating stories that are being attributed to you
26420	34960	that may not be correct and we just want to try and figure out what some of the origins of these things might be.
36940	42400	So the first thing I'll ask you is just to get a little background information, if you could just briefly cover your,
43020	49640	where you're from, your involvement in the military, and also your civilian accomplishments.
49640	66620	I went undergrad at Duke University in 1943, 44, and 45. Then I matriculated into the University of Loyola School of Medicine for two years.
66620	75340	And after that, I had a one-year pediatric residency also at St. Luke's Hospital in Chicago.
76920	83680	It was due July 1, 19, for two years, and was dismissed.
83880	86160	Specific questions about that time frame?
86420	87880	But you can just continue.
88140	88520	Okay.
88520	95920	of Walker Air Force Base. I resumed my residency in pediatrics at the University of Colorado
95920	105620	Medical Center in Denver for one year. And when I completed my one year residency, I
105620	114220	moved to New Mexico as the one year in New Mexico. 1954. I started a day or two later
114220	115680	or just, you know, trying to get everything.
116020	117940	Until I retired, I never left Barnard.
118300	120360	Okay, and you were a pediatrician at Barnard?
120600	120840	Yes.
124220	129480	The hospital asked me if I would become the first medical director they'd ever had,
130100	132300	and so I did.
132520	136420	I accepted and, of course, closed my practice.
136620	137740	What hospital then?
138160	139900	San Juan Regional Medical Center.
141260	150520	Also during, while you were practicing here, you also served on state boards and school boards for six years.
150680	159120	I wonder, Jack Campbell, if you need the exact date, I had to look them up. I believe it was in the mid-1960s.
159880	163160	I was looking for the job. You traveled widely throughout the state.
163160	170080	No, I really didn't. I just went back and forth from here to Santa Fe.
170200	178280	Our meetings were held in Santa Fe. I only visited Roswell one time, and that was to run an
178280	187740	a marathon in Tartesia, because I won my age group. I think it was 45 and up.
187740	192380	I was the person I was back to the time you were at Walker Air Force Base.
192620	192860	All right.
194700	199380	This person, I've showed you these interviews that this person has given,
199480	201140	apparently, allegedly has given.
203000	207840	While you were there at Walker, this person is describing black little bodies,
208060	214200	the hospital, mangled bodies, bodies with large heads, dismembered bodies,
214320	214980	things like this.
214980	222720	do you recall any incidents that could produce something like that no i uh i am totally unfamiliar
222720	229340	with any of these that we might do there at the hospital maybe a house fire or bad car
229340	235600	wrap or anything along those lines that you think could result in a mutilated body there might have
235600	242660	been but again it's not my recollection I don't recall seeing any there it goes
246160	254760	all right pick it up from there um I'll just read you a little bit out of this one of these
254760	261260	interviews with the person appears to have given um
275360	280620	This gentleman was speaking about something he brought to the Walker Air Force Base Hospital.
281500	287500	And then he says that he met a pediatrician who he knew, who later moved to Farmington,
287500	293780	in New Mexico who, I know he was involved because I saw him there.
295940	301220	Can you recall, Ben, that there would be bodies or anything?
301660	307640	No, I don't recall ever seeing a body.
