start	end	text
62880	67420	It was only a coincidence that during one of the darkest periods in aviation history,
67800	71480	thunderstorm research phase two got off to a flying start.
71800	77640	For the month of May 1947 also marked the beginning of the thunderstorm season in the
77640	81720	area around Wright Field's all-weather flying center at Wilmington, Ohio.
83120	88820	Setting up the research program to make flying safer through thunderstorm areas had required
88820	94020	several months of preparation and coordination of equipment and personnel of the Air Force,
94260	101940	U.S. Weather Bureau, Navy, and NACA. Although pilots have long known the dangers of tangling
101940	107680	with Mother Nature's Mickey fins, no detailed and comprehensive data had been compiled on
107680	109360	on their structure and exact nature.
109860	113540	So now plans had been formulated for investigative missions
113540	116360	based on the few known factors and many hazards.
118480	121380	From these flights utilizing the latest developments
121380	124480	in instruments, recording devices, radio, and radar,
125160	127400	it was ascertained that data and information
128200	130720	might be secured and correlated for the formulation
130720	134200	of scientific flying procedures in thunderstorm areas.
138200	151960	The type of aircraft selected for these observations inside thunderstorms was the Black Widow Night Fighter, or P-61, with its low stalling speed of 105 miles per hour with wheels and flaps down,
152940	161040	space to carry the necessary equipment and personnel, and its ability to withstand forces up to 6 Gs, or six times the pull of gravity.
161040	179880	The Air Force had provided an adequate number of these P-61s and each aircraft was equipped with special instruments furnished by the Air Force, Navy, NACA, and MIT for procuring aerial data from the storms and measuring the effect of turbulence and gusts on aircraft structure.
179880	180160	structure.
183000	188380	Motion picture films recorded instrument readings and control signals registered during flight
189080	191480	on an auxiliary instrument panel in the rear compartment.
193000	198020	All such film records were to be analyzed to determine the disturbed attitudes of the
198020	203720	plane resulting from turbulence and the magnitude of corrective control motions applied by the
203720	204000	pilot.
204000	210900	The measurement of turbulence being essential in formulating any rules and procedures for safe flying techniques.
213920	222660	In each P-61, the crew was to be made up of an experienced instrument pilot, a weather observer, and an especially trained radar observer.
223180	227780	All flying personnel had been carefully screened according to type plus experience.
227780	233300	experience, each one a volunteer for aerial experiences crowded with unknown factors and
233300	233620	hazards.
235080	243020	Airborne radar installations in each P-61 consisted of an SCR 720 receiver with a range
243020	248680	of 80 miles and an APN 19 transmitter having a 100 mile range.
249280	254540	This transmitter was designed to send out signals to the controller at the radar mission
254540	258560	monitoring station who could then identify and note the position of any
258560	262820	aircraft and thus control the flight pattern by radio transmitted directions.
265040	269940	All radar scope and photo panel data recorded on motion picture film during
269940	275360	each mission was prepared for critical evaluation, often entailing a comparison
275360	282820	of indications from several instruments photographed simultaneously. This phase
284540	289980	season soon developed into a tedious and exacting full-time job for many weather bureau specialists.
293260	299320	Several types of aircraft other than the P-61 had also been assigned and equipped for special
299320	305920	purposes. One F-15 was to be used for photographing close-ups of thunderstorms
305920	309820	and the making of complete reconnaissance flights around them at fixed intervals.
311660	316660	The photographic equipment in this aircraft was a motion picture camera mounted in the
316660	318740	nose section to be operated by the pilot.
321220	326320	By tracing the path of this plane on each reconnaissance circle with radar, the exact
326320	329440	location and dimension of the visible cloud could be obtained.
338980	345260	Another type of aircraft, an AT-6, was to be used for snooping around and even penetrating
345260	350020	some of the smaller thunderstorm clouds, particularly during the early stages of formation.
