start	end	text
29300	33480	Following the introduction of modifications which had been indicated by the results of
33480	39380	full-scale tunnel testing of the Avrocar at NASA Ames Research Center, a continuation
39380	40780	test program was begun.
41220	46000	The objective of this program was to prove the effectiveness of the new control system
46540	51200	from hovering through transition in the presence of the ground up to free flight conditions.
51700	56840	The program consisted in the main of further wind tunnel tests at Ames Research Center
56840	61920	to prove the effects of these modifications with a short flight test program at Avro
61920	65600	to establish that the hovering capability had not deteriorated.
65840	68780	A brief terrain test program was later added.
69300	73980	The modifications provided for aft deployment of the peripheral jet sheet
73980	77240	from the wing tip for transition and forward flight.
90980	96520	Both vehicles were modified, one for further static and flight testing at the Avro facility
96520	101460	and the other for tests in the 40 by 80 foot tunnel at Ames Research Center.
101980	107260	The changes were confined mostly to the wingtip, which was modified to divert the annular jet
107260	112340	aft for increased forward thrust and improved aerodynamic and control characteristics.
124660	129700	Transition doors, which extend around the sides and rear of the vehicle, act as flow
129700	134680	splitters to divert the flow gradually from the annular hovering nozzle to the new wing
134680	137020	tip nozzle for transition to forward flight.
137020	143760	With the transition doors in the forward flight position, wingtip cascades at each side of the
143760	150760	vehicle direct the jet flow aft. Pitch and roll control in forward flight is provided by the
150760	155960	addition of six control vanes which operate in conjunction with the existing focusing control
155960	156400	control ring.
162320	167500	On completion of the modification program, the vehicle was installed in the static test
167500	172840	rig for functional checking of the new control system and to determine as far as possible
173380	178300	that the vehicle performance in the ground cushion had not deteriorated as a result of
178300	178920	the modifications.
180060	185520	Lift, propulsive thrust, and rolling and pitching moments were measured during the four-hour
185960	198500	test program. For rigged testing, the control system was actuated by an external hydraulic
198500	212420	system to be sure of maximum control movement. Tufting was used to provide a visual indication
212420	215720	of control vane operation and jet flow.
232920	240540	On completion of rig testing, the hovering behavior of the aircraft was checked in the tethers before commencing free flight.
261420	266360	It should be understood that the original objective of the flight testing in this program
266360	275520	was simply to determine that installation of the modifications had not resulted in deterioration of the vehicle performance achieved during previous tests.
286360	293580	Early flights revealed that some deterioration in stability and control had in fact resulted from introduction of the modifications
293580	298740	and a number of flights were required to restore the vehicle performance in this respect.
300340	306780	During this six-hour flight test program, various minor experimental modifications were therefore made
306780	310500	to the hovering control system and to the central jet configuration.
337520	343340	The forward speed of the Avrocar with the transition doors closed was found to equal
343340	344840	the speed previously achieved.
345520	350720	Operation of the transition doors was attempted, but it was determined that the pneumatic boost
350720	354880	available for the control system was not sufficient to overcome the large
354880	360540	asymmetric load on the focusing control ring. A more powerful control actuation
360540	362880	system is planned for future development.
371780	376760	In its current configuration, the Avrocar was operating successfully in the
376760	382060	ground cushion at a height of three feet and speeds up to 30 knots. Preliminary
382060	386120	results from the new series of tests at Ames Research Center were also
386120	386740	satisfactory.
394980	400320	It was now desirable to extend the Avrocar's operation and the program was
400320	405160	extended to include flights over various types of unprepared terrain and natural
406940	412120	Initial tests over gravel and small surface irregularities presented no problems.
441920	447560	We were now confident of the vehicle's ability to negotiate appreciable obstacles and a rugged
447560	452800	course, partially gravel and partially grass, with a three-foot deep ditch was selected
452800	453900	for the next flights.
485160	490700	Again, the Avrocar covered the course successfully, becoming as far as we know, the first ground
490700	493760	sound effect machine to negotiate obstacles of this nature.
508940	514040	The vehicle had now clearly demonstrated its ability to operate over unprepared terrain
514700	518960	and landing pads were installed in place of the wheels for the following phase of testing
520700	521660	over soft ground.
539500	542020	A number of flights were made over this course,
542160	544440	which had a rough, eroded grass surface
544440	546400	and a short one-in-eight gradient.
547960	553900	During most of these early tests, ingestion of low density material presented some difficulty.
554320	560300	The fuel control unit filters became blocked with small particles causing the engines to be starved
560300	566280	and resulting in flights of short duration. The problem was caused largely by dead grass and weeds.
597240	599740	Thank you.
638360	643540	In an attempt to reduce the ingestion problem, screens were fitted to the engine inlets.
643540	652220	No great improvement was achieved as the coarser material tended to block the inlets while fine particles still reached the fuel control filters.
653180	662640	Introduction of additional filters resulted in some improvement and it is anticipated that this handicap will be overcome with little difficulty during further development.
669820	676780	In preparation for the final contractual demonstration, a representative course was selected where
676780	681040	the vehicle could demonstrate its capability while remaining in view of the observers.
681700	687380	The course was laid out to cover concrete, grass, and gravel surfaces and included four
687380	687980	ditches.
687980	692600	Precise directional maneuvers were necessary to avoid surface obstacles.
695720	701060	Check flights over this course were performed as the next part of the terrain test program.
727000	732540	Erosion due to jet impingement was not found to present a serious problem, and after numerous
732540	736660	flights over the same course, only temporary grass browning occurred.
775700	781280	In previous flights, the Avrocar had always flown directly over ditches encountered in
781280	781640	the course.
782040	787160	In order to prove that the ground cushion was not destroyed by sustained flight over
787160	792060	depressions along which the jet may tend to travel, it was decided to hover the vehicle
792540	794160	the ditch and then fly out.
812300	817440	Before the actual flight demonstration, the Avrocar was flown by a pilot from the United
817440	819580	United States Air Force Flight Test Center.
