start	end	text
560	7340	Okay, well welcome everyone. My name is Jeff Kripal. I'm from Rice University, the Department
7340	12820	of Religion, and we're here with our first webinar on opening the archives of the impossible
13520	18500	with Professor John Philip Santos, who will be with us in a second here. I'm going to give a
18500	25580	very short, very formal introduction just so you know who John is and what he does, and then we'll
25580	31480	just jump right in and have a conversation and and if you have a question please enter it in the Q&A
31480	36720	function at the bottom of your screen uh not in the chat function in the Q&A function and we'll
37420	43660	we'll just have to we'll hope to have a freewheeling conversation that'll set the spirit
43660	52560	or the tone for our big event in March okay so this is taken directly from the Texas Archival
52560	60960	resources online. Originally from San Antonio, Texas, John Philip Santos is a producer,
61100	67480	journalist, and author whose work examines intersecting concerns of media culture and
67480	73380	identity. For six years, he was a program officer in the Media Arts and Culture Unit of the Ford
73380	79300	Foundation, where he managed a $40 million portfolio of grants supporting new media
79300	84940	productions in radio, television, and film, and the development of public interest channels and
84940	90540	networks around the world. Prior to joining the Ford Foundation, John was an executive producer
90540	98260	and director of new program development for 13 WNET in New York City, and was also producer of
98260	105620	over 40 broadcast documentaries on culture, religion, politics, and spirituality for CBS News.
105620	119360	These programs were produced in 16 countries and deal with such subjects as liberation theology, Islamic fundamentalism, the AIDS epidemic, new religious movements, and eco-theology.
120660	125980	Numerous programs for CBS and PBS were nominated for documentary Emmys.
125980	138280	Santos was elected as a Rhodes Scholar in 1979 and holds degrees in English literature and language from Oxford University and philosophy and literature from the University of Notre Dame.
138580	153800	He has worked extensively as a journalist doing arts and culture reviews and features for the San Antonio Express News, along with opinion pieces for a wide variety of newspapers and publications such as the New York Times and the Los Angeles Times.
153800	160640	times. Santos's family memoir, Places Left Unfinished at the Time of Creation, published
160640	167460	by Viking Penguin in 1999, was nominated for the National Book Award. In the fall of 2002,
167780	173280	Santos was a Berlin Prize Fellow at the American Academy in Berlin, where he began work on his
173280	180900	next book, The Farthest Home is in an Empire of Fire. Two manuscripts of poems and on the
180900	182680	and Development of Teletopia Labs,
182980	185300	a workshop for documentary performances
185300	188340	exploring the interface between cultural identity
188340	189340	and digital media.
189740	192240	He lived in New York City for 20 years,
192420	195540	returning to San Antonio in May of 2005.
196620	200300	John now teaches courses like Ancestral Journeys to Now,
200520	203300	an ongoing seminar exploring narratives
203300	205660	of the origins, history, evolution,
205760	208520	and hermeneutics of mestizo identities
208520	219620	and their myriad origins in the indigenous and Indo-European worlds, engaged with the context of contemporary issues of globalization and migration.
220860	229800	He is presently the University Distinguished Senior Lecturer in Mestizo Cultural Studies, Honors College, University of Texas, San Antonio.
230920	231600	John, welcome.
231600	231800	Welcome.
232700	234580	Que gusto, que gusto.
235240	238580	Hermano Maestro Jeff, what a delight and honor to be with you.
239300	240980	I greet you with much love and respect.
241100	243640	Everyone watching, much love and much respect.
243960	245340	So eager to chat.
245960	246900	Yeah, likewise.
248580	250640	I've really been looking forward to this conversation.
252280	256460	So maybe let's start with you and let's talk a bit about your life.
256460	262540	I mean, I just read a kind of resume version of it, but I know there's a lot of riches there.
262880	274520	And then let's eventually, of course, move into the archives of the impossible and why you are so interested in those and what you might be looking forward to for the event in March.
275240	275940	Sure, Jeff.
276620	279680	Well, I was born and raised here in San Antonio, Texas, where I am today.
279780	283220	I live actually in the ancestral home that I grew up in.
283220	291480	So even as far out into the world as I ventured, I swam like a salmon upstream to spawn.
291680	297480	We have an 11-year-old daughter and returned to San Antonio, as you said, in the early 2000s.
297520	310440	You know, growing up here in a very tightly knit Chicano family, the Santos and Garcia families, my father's families particularly, was a way of connecting to Mexico.
310440	316120	we had living connections to Coahuila, so we were often traveling between here and there.
316380	322740	And, you know, we were ostensibly Catholics, but we were, you know, Mexican Catholics,
322820	328800	which is a refinement on the tradition in very distinctive ways.
329660	337360	And my grandmother and her two sisters were Rosicrucians, and they were connected to esoteric
337360	343440	esoteric philosophy in what turned out to be very powerful ways that wasn't really communicated to
343440	352120	me until I was a teenager, really. One of my great aunts, my tia Peppa, was a follower of the healer
352120	360120	Nino Fidencio, and she was an herbal healer as well. And they introduced us to a way of seeing
360120	370120	the world that did not in any way problematize the extraordinary or the anomalous or the magical.
370300	379580	They were, in fact, I guess, ambassadors of all of that to us and imparted to us a sense of
380320	385400	what it meant to come out of the past that we did out of Mexico and what it meant that we were in
385400	394560	in these lands that were once Mexico and that we were part of this borderless community
394560	396920	of peoples that span the Rio Grande.
397580	408260	So they gave me a connection to thinking about spirituality, about magic, about the extraordinary
408260	414920	extraordinary, that I later would return to as a journalist and began writing about some
414920	417820	of the experiences of belief communities around the world.
418160	423900	And I think about that word belief as being a really important part of it, belief and
423900	424340	story.
425200	430140	And one of the things that connects me to the project of Archives of the Impossible.
431900	439080	So, you know, I feel like, well, I know I've learned a lot from you just talking to you.
439100	442800	We haven't known each other for long, since last summer.
443600	453680	And one of the really strong things I've sort of absorbed from you is this notion of the mestizo or the mix,
453800	458500	which I've encountered elsewhere with my graduate students and Gloria Anzaldúa.
460140	462560	but from you in a very specific way.
462840	466180	And our conversations around Carlos Castaneda
466180	469800	and a kind of different kind of cosmology
470360	472880	that someone like that might be coming out of,
472920	474580	and just the whole notion of mestizo
474580	479900	or mestizo consciousness has really moved me actually.
479960	483760	And your notion of a Republica Cosmica, right?
484720	487180	And if I can, I'd love to quote from you.
487180	497260	I watched some of your videos before we did this, and there's this set of beautiful lines that I'd like to read and maybe have you just jazz off of a bit.
499160	510080	If you're talking about a Republica Cosmica and you say, in fact, we are from everywhere, then we have a right to be anywhere, then no borders will stand.
510700	514560	I thought those were gorgeous lines. I thought they were provocative lines.
514820	517440	And I was hoping we could sort of begin there.
518520	530420	Yeah, you know, I think about that line of thought as being a kind of an emergent human ethic, a kind of a new human ethic.
530600	535900	And it's ironically something that has emerged out of the testimony of genetic science.
535900	547160	So genetic science has basically demonstrated to us how deeply mixed we all are, one to the other, across continents, across time.
548600	557800	Stunningly, the human DNA turns out to be not only exhaustively a chronicle of our ancestors, but it's time coded.
557800	565680	And it reveals us all to be mestizos, what was always thought to be those who were apart.
566020	573340	You know, there were the people of pure lineage and the mestizos were in the construction of the Mexican casta system.
573340	587300	so Spanish race science, mestizaje was the introduction of impurity into the bloodline of the regal Spanish tradition.
588080	597420	You know, so, you know, there's a traditional construction in terms of what happened in Mexico with the conquest of the evangelization,
597420	605300	perhaps some resistance, and then syncretism, you know, some kind of blending of Spanish
605900	608320	and indigenous sources of identity.
609360	619300	But in fact, writing like that of Castaneda or Gloria Anzaldua and many others demonstrates
619840	625360	that, and throughout indigenous communities in Mexico, indeed, and South Texas, you know,
625360	631940	demonstrates that there's something else also taking place, which is a way of being, a way of
631940	639700	becoming that was never vanquished, that is unconquerable, in fact, and continues to unfold
639700	647280	throughout Mexico, throughout the borderlands of South Texas. And that's really been, you know,
647280	654580	the focus of my interest in, you know, how to share the sense of connection to mestizaje,
655360	662400	global migrations of our ancestors. You know, República Cósmica, the idea of a cosmic republic,
663280	669340	it was really owes a lot of its construction to the great philosopher, Mexican philosopher,
669460	677960	José Vasconcelos and his pivotal essay, Raza Cósmica, from 1926. A borderlands person,
678080	684180	he was born and raised in Quedras Negras, went to school in Eagle Pass, and he writes this seminal
685360	688220	turned the idea of the mestizo on its head.
688400	690420	It had been seen as derogatory.
692200	693880	Vasconcelos celebrates it,
693960	697440	and he celebrates it as this mingling of all races.
697580	699340	I mean, he's fraught with contradictions.
699380	700860	He was, in some respects,
701700	705200	he believed in a kind of Christian European supremacy,
705820	710280	but he also was articulating a very different way
710280	713060	of seeing the way that mestizaje in Mexico
713060	718520	Mexico, combined these deep indigenous sources with all of the traditions that had come from
718520	719060	Europe.
719820	726240	And Vasconcelos, like Francisco Madero, like my grandmother and her sisters, were very
726240	730040	involved in continental esoteric thought.
730440	736820	Vasconcelos traveled to Paris and learned about theosophy along with Madero.
736820	755860	So there were these currents in North Mexico, sort of beyond the reach of the Inquisition and what becomes the Texas borderlands, where there was a kind of a creative energy around the way that mestizo identities, mestiza identities, have emerged over time.
