start	end	text
0	3740	Okay, so listen, my closing comments are just two hours long.
5540	10920	You have to change your dinner plans. We're just going to sit here till we fall asleep.
11700	18960	No, that was, listen, it's been a wonderful three days. My initial temptation was to read
18960	26680	through the various plenaries and panels and all this plurality of perspectives that I think we've
26680	28000	gone through over the last few days.
28180	34060	And that's really the message I want to leave you with is how plural this is and how each
34060	40520	of these perspectives throws another light, really, or a series of lights on what, for
40520	42420	lack of a better term, we're calling the impossible.
44200	46920	I also want to invoke the classroom.
47620	49500	Kenny and Joel both spoke of that.
49760	53380	And we just finished classes up here a couple weeks ago.
53380	58740	and I taught a course this semester on this material and one of the most
58740	63400	striking memories of the class for me and I'll end with this was the last day
63400	69320	and one of our undergraduate students she was actually a first year student we
69320	77740	were ending the class and she was like what you're just gonna end you know she
77740	78660	She wanted a solution.
78980	81420	She wanted an answer to all this.
81640	85100	And I guess it's sort of that's kind of where we're at now.
85260	85900	Like, what?
86440	87680	We're just going to walk away?
87860	88580	We're going to have dinner?
89020	89900	Yeah, you are.
91580	92420	That's it.
92700	93260	That's it.
93800	95640	And I think that's part of the lesson.
95760	97940	It's just the conversation goes on and on and on.
98240	102620	And, you know, the solutions will go on, and there will be solutions to those solutions.
102760	104520	And that's the process.
104600	106660	So thank you all for coming.
107740	110680	It's over, and we'll see you next time we do this.
