start	end	text
0	7120	Right now, please allow me to introduce to you Amanda Fochie in both a formal and a more collegial way.
7940	14480	On the formal side, Amanda Fochie is Head of Special Collections at Fondren Library here at Rice University.
15240	19380	She is a certified archivist and digital archives specialist.
20240	27660	She has been at Rice since 2002 and has been working in the role of Head of Special Collections since 2019.
27660	35120	She is active professionally in the Society of Southwest Archivists and Texas Archival Resources Online.
36780	42840	Amanda was honored by the Society of Southwest Archivists in 2018 with the Distinguished Service Award
42840	48800	and by Rice University with the Elizabeth Gillis Award for Exemplary Service in 2020.
50220	55880	On the collegial side, Amanda has worked very closely with me over the last three years
57660	63460	of the impossible and what they have increasingly required of us. This has
63460	68720	included overseeing shipments of literally hundreds of boxes, some of
68720	74660	which constituted what her staff affectionately calls paper bombs. Paper
74660	81380	bombs indeed. I have seen the boxes and what they do to a room. I have also
81380	86680	watched Amanda expertly host numerous film crews. At one point she actually
87660	95220	archival space for three full days to host such an event. Most recently, she has worked with graphic
95220	100640	designer Dean Mackey on some most extraordinary exhibitions and posters in Fondren Library,
100820	103960	which if you haven't seen, please do. It's just a couple blocks away.
105800	112860	Amanda embodies and exemplifies the university at its very best. When I came here in 2002,
112860	118120	and two, it turns out the same year she did, I was told in so many words that, quote,
118180	126360	you can do anything you want here, unquote. I didn't believe them. No, that can't be right,
126560	132220	I said to myself. But it turns out that it is largely true and that Amanda Fochie has helped
132220	136320	us all to believe this a little more. Please help me welcome Amanda Fochie.
146180	147480	Good morning, everyone.
148660	150720	And thank you so much for the introduction.
152020	159380	I am really excited to be here this morning with you to share some information about what we might call the new kid on the block,
160180	162720	the Archives of the Impossible here at Rice.
164400	169720	And I want to start with a very sincere thank you to all the donors who are here today.
169720	173120	and it's really exciting to have you here and be able to talk with you
173120	182280	personally about your collections that are here and Jeff Kripal you were
182280	185720	mentioning about the exhibits and the Fondren library really that was the work
185720	191620	of the grad students and Jeff's team we are delighted to host it at the library
191620	197740	but that was certainly not all my work but it was an honor to help on the
199720	207720	And mentioning the grad students, I just want to say that when we talk about these archives being accessible, it's really because of the grad students' work.
208100	211060	They collaborated very closely with us in the archives.
211380	213960	And so I just want to mention them by name.
214340	215120	Chris Sen.
