start	end	text
0	7740	John Philip Santos came to Houston last summer to interview me for the Sydney, Australia event on quantum aesthetics.
8580	13260	I knew one thing very clearly and almost instantly.
13780	19720	I knew that John should not have been interviewing me. I should have been interviewing, learning from John.
20360	25340	I feel the same way about Sebastiano, who's about to speak.
25340	32460	This is a man whose intellectual and spiritual generosity is astonishing, as you are about to see.
33980	39180	Seb, as I know him, is an Italian-Argentinian musician, author, and scholar.
39580	44720	He studied social sciences at the Buenos Aires and Argentine Catholic Universities.
45520	51980	His musical accomplishments are well beyond what many of us outside that professional world can imagine,
52280	54280	what I can imagine anyway.
55340	57740	These are captured in the title Maestro.
58660	64880	In a single insufficient line, Seb is music director of the National Congress Chamber Orchestra
64880	69220	and artistic director of the Latin American Orchestra Conducting Academy.
70280	77580	As a researcher of impossible phenomena, Seb also has a quarter century of experience.
78660	80860	He is the author of a hundred papers and articles.
80860	89380	His UFO-related books include The City of the Blue Flame, The Lords of Yuriturco, and most recently Project Irks,
90060	98440	which have taken on an international presence as they have been published in Argentina, Chile, Spain, and Italy.
98840	103240	His book, The Other Toscanini, was published in the U.S.
104000	107040	I first encountered Seb as an email.
107040	120280	On September 23rd, 2020, when this stranger wrote to ask if I would write a preface for a book he was editing on an Argentinian paranormal hotspot.
120960	125680	I do what I always do in those situations. I dodged.
127220	131520	I explained to this stranger that it all sounded wonderful
131520	134240	but that my high school Spanish was long gone
134240	137500	and that I am a hopeless American monolingual
137500	140860	in what I will generously call late midlife
141600	143680	that did not work
144420	146240	not only did Seb insist
146240	150500	he immediately translated large chunks of the book
150500	153940	so that I could get a solid sense of what the authors were up to
155680	162620	quick preface. He guilted me out, essentially. Seb also introduced me to his Argentinian colleague,
162820	169900	Juan Acevedo, whom we invited for this event, but could not be with us here this weekend,
170460	177740	but who I am sure we will see and hear much more of in the future. So an email led to a friendship,
177900	183700	which led to another friendship, and someday to a kind of shared thought that will hopefully reach
185680	189000	but also across the Atlantic to Spain and Italy in particular.
190120	194440	Finally, I believe I landed last night in a restaurant on a single word
194440	199220	that captures Seb's courage, capaciousness, generosity,
199360	203160	and pure intellectual mischievousness.
203680	206240	That word is irreverence.
206960	210340	Friends, please welcome the happy and always passionate irreverence
210340	212340	that is Sebastiano. Thank you.
212540	214020	Thank you.
217680	222260	Hi, folks. Thank you so much, Jeff. I really love to be praised.
224460	226120	So keep that going, please.
229040	230440	So this is funny.
231840	236580	I'm going to improvise a brief disclaimer before I read my little piece.
237720	241080	But he sort of robbed that from me.
241080	246700	I mean, I have a certain reputation back at home, as far as I can remember, as a troublemaker.
248500	265980	And I also remember the Pope, which is, as you well know, Argentine, who was talking to a gathering of young people, telling them to make noise and generate trouble and, you know, be rebellious in a way.
267340	270160	And, well, here I am.
271080	273340	About to cause some damage, I hope.
274500	276600	So brace for something.
278080	286340	No, actually, after the very last lectures from John Santos and Dr. May,
287000	289920	I think I'm going to put you to sleep in five minutes.
290100	290700	But that's good.
291140	296240	Okay, so it's a privilege to be in charge of this last plenary address.
296460	299760	I owe the honor to our dear Jeffrey John Kripal.
301380	307520	which is the main promoter of this initiative. I thank him with all my heart. Thanks to the extent
307520	315620	to his collaborators and to Rice University which so generously shelters us. During these days I
315620	322080	have listened to so many people and I have learned something from each and every one of them so thank
322080	322740	Thank you all.
325680	327540	Let's go to our first slide.
328740	331480	Thanks to my wife, PC work, by the way.
333060	333880	.
337300	342240	There is certainly another world, but it's in this one.
344440	348460	What our poet Paul Elluar calls another world
348460	358280	has received indeed dozens of names. Some resorted to adjectives. The alien, anomalous,
359320	367120	archetypal, doomed, esoteric, extra-empirical, extraordinary, imaginal, immaterial,
368160	375600	inexplicable, interdimensional, liminal, miraculous, mysterious, mythical, non-human,
375600	385180	human, numinous, occult, other, paranormal, parapsychological, psychical, sacred, strange,
386620	394700	supernatural, supernormal, supersensible, uncanny, unexplained, unidentified, unknown,
396480	401020	unscientific even, and divisionary.
401980	404820	Others try to define it with the use of nouns.
405720	409340	Here the list is somewhat shorter, but even more frightening.
411560	431280	Consciousness, cosmos, existence, flip, life, magic, mind, phenomenon, reality, religion, self, soul, spirit, transcendence, universe, world, even, why not, God.
431280	435880	Some writers gave it suggestive proper names.
437300	440740	Our good old Charles Ford called it X.
442060	444220	Stephen King mentioned it.
445400	448660	Our friend Juan Acevedo uses that.
450240	453920	There are those who like to talk of high strangeness.
455400	458840	And here at Rice, Jeffrey Kripal himself helps lead
458840	467520	an exciting religious studies program he refers to as GEM, an acronym for Gnosticism, Esotericism,
467860	472360	and Mysticism, three other words much at home here with us.
473500	479520	In short, in any way with which we try to label it, we are talking about what brings
479520	486500	us together now under the broad umbrella of the impossible, which at least in part is
486500	495480	ourselves, of course, as both subjects and at the same time objects of our study.
497240	502700	I will attempt to suggest a program that may find us united in pursuit of common goals now.
503460	510180	To do this, I am going to mention eight ideas related to the task that we may have ahead of us.
510760	518060	What I suggest can be taken as a kind of little manifesto that we could take outside these walls, if you agree with it, of course.
518920	521420	So please follow me through these eight proposals.
521640	530860	I will occasionally use them to tell you a bit about my own experiences and about what is being done in this regard in my two countries of origin, Italy and Argentina.
533120	539060	So one, get community interest, public support, and private funding for a comprehensive approach
539060	540200	to the impossible.
541760	546680	To pursue goals like the ones I posit here, we need to arouse the interest of vast numbers
546680	549200	of people of all backgrounds, origins, and profiles.
550600	555720	Those of us interested in the impossible, I'm afraid, we live in a ghetto.
556780	563120	What is worse, some of us have collaborated in its building, and we even feel comfortable
563640	564480	somehow in it.
566040	573200	I guess the first step is to get out of that comfort zone and, as Schiller would say, embrace
573200	573800	the millions.
575160	579000	I think this is a crucial issue, both in the public and private spheres.
580280	584280	Governments and institutions will do well to take an interest in this topic, seeking
585860	590240	who do not pursue any agenda other than knowledge for knowledge's sake.
591920	596280	And that interest should be transformed into financial contributions to research.
598420	601620	The United States has an example of this in Robert Bigelow,
601720	606000	the businessman who heads the Bigelow Institute for Consciousness Studies, BICS.
606960	613760	Both BICS and the legendary Esalen Institute mark a path we should pursue.
615720	618640	with initiatives like this very one here now,
618940	622360	Rice University places itself in this select group
622360	623160	of institutions.
623900	624680	Thank you for that.
626160	628800	In Europe, the task of patronage carried out
628800	633560	by Johannes Davianopius, better known as Hans Adam II,
633960	639400	Prince of Liechtenstein, is as outstanding as it is isolated.
640200	644080	In Latin America, where I live, as far as I know,
645720	647580	this kind of research, not at all.
648360	651620	My own 25 years of fieldwork, publishing, and lecturing
651620	654120	are entirely self-funded.
655540	659920	And I assure you, I'm neither a businessman nor a prince.
662840	664240	I don't lose hope, anyway.
665060	667260	In any case, we need to reach more people
667260	671140	and engage them better, and yes, also money.
672920	674220	Please, let's try.
676100	682540	2. Study the impossible within the official academic world with different methodologies
682540	684600	according to each discipline.
687220	692620	I am far from believing that our university system as it currently is will find answers
692620	698380	to our questions, but I do think that it should play an important role in coordinating our
698380	701900	efforts to understand this side of reality.
701900	707560	reality. The participation of the academic community is not a sufficient condition, but
707560	715780	it is a necessary one. If we are not studying what by definition is unknown and inexplicable,
715880	724200	what on earth are we going to study? So I guess we have to study the impossible, and
724200	730140	that means to study everything. We are so ignorant, and we have bought our cultural
731900	736620	to a degree in which we are almost in denial of the ontological shock we are in.
738280	744240	In the States, there are leading intellectuals who make invaluable contributions to the study of the impossible.
745160	750960	To conjure just a few names, I will only mention here some scholars with whose work I am familiar,
752000	756160	and leaving out those who spoke before me with this very same microphone.
756160	756280	phone.
