start	end	text
0	5520	So our last talk for this morning is called A Practice of the Impossible,
6360	9740	Pondering the Peculiarities of Modern Sigil Magic.
10640	13840	Please join me in welcoming Bernd Christian Otto.
19800	25600	Good morning. Thanks for inviting me, Jeff. It's an honor to be here.
26720	30320	So I'm a scholar of religion from the University of Erlangen,
30980	33340	and I work at the same Center for Advanced Studies,
33540	36040	which Michael Lackner has presented yesterday.
37760	40820	And while listening to these excellent papers
40820	43380	over the past two days, it occurred to me
43380	46700	that I've been sitting in archives of the impossible
47500	49700	for the past 15 years or so.
50200	53360	Since I've started to work on the history of magic,
53360	56280	or Western learned magic, as I like to call it.
58360	62840	In fact, a large number of manuscript archives full of magical texts exists.
64040	69360	And haven't we all heard and learned in school that magic is impossible?
70620	75000	You simply can't attract a lover, become rich or invisible,
75320	78720	through practicing some weird ritual, right?
80300	84980	The idea, or shall we rather say the stereotype, that magic is impossible,
86060	91520	accompanied the history of magic since the last two and a half millennia.
92300	98120	Yet people have continued to and still perform today many-fold such practices of the impossible.
99360	104520	I would therefore like to suggest that magic is included in the vision of this conference series
104520	110640	and will present today one particular contemporary very popular practice
110640	116280	namely sigil magic sigil magic is only one of a plethora of practices of the
116280	121240	impossible that are practiced still today and that I could present here yet
121240	129900	it lends itself particularly well to our discussions as we shall see now before I
129900	138940	present my talk I would like to ask who of you has heard of sigil magic or has
138940	145360	practiced sigil magic oh that's nice it corresponds to something which I will
145360	153120	present so maybe two-thirds of the population of the group here now for
153120	159220	those of you who don't know it I will begin by illustrating an example of
161220	163180	So what could I choose?
165200	175520	It is my wish to give a great talk on sigil magic.
178740	179640	Let's see.
181200	183480	Okay, here you have an example of a sigil.
184040	188140	Sigils are graphical depictions of wishes.
190420	212980	And, yes, let's pick up this sigil and put it into my talk, so we can all test at the end whether it worked or not.
218660	223780	Good. So, over the next roughly 20 minutes, I will walk you through different aspects of
223780	230260	this practice. First, I will go a bit into the history of sigil magic or pre-modern sigil magic.
230560	236860	Then I will outline how this particular technique emerged in the 20th century. It's basically a
236860	239780	a modern invention, a psychologized version of magic.
240400	245520	I will basically give you a full-on manual of sigil magic
245520	247820	so that you can do it at home afterwards.
249180	252080	I will then present some experience reports,
252340	255100	because that's really where it becomes interesting, I think.
255820	258080	And finally, I will pose the question
258080	261020	that many of us ask all the time, what do we make of this?
263040	265400	So first of all, some history.
266660	269640	The term sigil goes back to the Latin word sigillum,
269700	273040	which means seal, signet, image, or icon.
273660	277140	This term has been used in texts of what I call Western learned magic,
277700	279620	at least from the 12th century onwards.
279920	283260	It is a very common and often used term in these texts.
284220	290100	But the broader idea is that unintelligible graphs, signs, images, or letters,
291020	294720	They are used in magical texts, at least from late antiquity
294720	295900	onwards until this day.
296000	297960	So this is a very big topic.
298240	300360	We could say that the unintelligible
301140	303460	is strongly connected to the impossible
303460	306040	in this particular set of texts.
307260	309520	I will present a few examples.
309760	314200	This is one of the earliest ones from one
314200	315500	of the Greek magical papyri.
316640	319460	It's a so-called phylacterion, a protective amulet.
321020	323620	that it protects the body against demons, ghosts,
323760	325200	every disease, and every suffering.
326660	329800	It is an Ouroboros, a snail that bites its tail.
329980	333600	And in the middle of the image, you see these weird letters.
334160	336460	They are called Charakteres in Greek,
336620	338020	which is the Greek word for letter.
338760	340620	They're often translated as ring letters.
341040	345100	And they run through this corpus of texts.
345320	347060	There are thousands of these letters exist
347060	348680	in thousands of texts.
348680	350760	No one knows where they came from.
350900	353200	No one really knows what they mean.
353280	354800	They always have a contextual meaning,
354920	356300	but there is no abstract meaning.
356440	358760	It's not an alphabet of any kind.
359440	362180	So this is one important example
362180	365060	that still informs present-day sigil magic.
366740	370540	This is an example from an Islamic text.
371400	373380	It's a seal, a khatim.
373440	375100	It's interestingly the same word
375100	379880	that has been used to denote Muhammad, the seal of the prophets.
380260	386000	And this particular seal, it has seven lines and seven columns.
387580	392300	It's a cell square with so-called seven seals of Solomon.
393240	395760	And it has a lot of impossible purposes.
397160	401000	When you draw it on a paper and wear it on your body,
401080	403560	it fulfills all desires, destroys one's enemies.
405100	408600	across large distances, talk to angels and jinn, and so on.
411260	414660	This is a third example from the 14th century, roughly,
414860	418180	a Latin manuscript in the Library of Kassel.
418520	422600	This is a very famous seal within the history
422600	423560	of Western art magic.
423680	424920	It has been copied many times.
425720	429660	It was originally called Sigillum Dei, Seal of God.
430340	434240	And in the original text, the Liber Juratus, it is used
435100	439860	long 72-day ritual for obtaining a premortal vision of God
439860	441160	and his celestial place.
442480	446180	But the text also mentions 92 other impossible purposes.
450000	452760	This is also a very interesting seal from the 18th century
452760	455040	from a manuscript in the Library of Leipzig.
455780	456960	And this is used for treasure hunting,
457240	460840	for finding and unburying hidden treasure.
462260	469900	This is my last pre-modern example. It's from a text called Goetia. It's a demon list. Each demon
469900	476900	comes with a unique sigil, and when you conjure and ban a sigil, you have to use this particular
476900	483600	sigil, which is ascribed to each spirit. Now interestingly, this text, it's early modern or
483600	490580	even late medieval, but it has been edited in 1904 by no other than Aleister Crowley. So you
490840	492800	that this type of sigil magic,
493780	495800	or we could say the use of sigils
495800	496940	which are predefined,
497140	498660	you simply find them in a text,
498740	499520	you have to copy them
499520	500640	and use them exactly
500640	501820	in the way that is prescribed,
502220	504600	it was still very much en vogue
504600	506240	in the early 20th century.
509240	510340	So we could summarize.
510580	513000	There are a few pre-modern functions
513000	513540	of sigils.
514000	515740	First, they are the name of gods
516560	517820	or intermediary beings.
518700	520340	They are a tool for summoning
520840	521520	these entities.
522140	524420	They are tools for self-protection
524420	526480	during these ritual procedures.
527140	530020	They are tools for revealing special or higher knowledge.
530160	533140	And sometimes they are simply repositories of divine power,
533300	535160	which you can, for instance, hold against a storm
535660	536400	to ward it off.
536600	540420	So they have power, maybe because they
540420	541860	are unintelligible.
544700	549020	Now, sigil magic really took off in the early 20th century
550860	552800	It's written by Austen Osmond Speer,
552960	556800	a fairly unknown British artist and ritual magician.
558220	560480	He was in contact with Alistair Crowley.
560640	564240	They were kind of friends between 1907 and 1912, 13.
565240	569520	So Speer was well aware of this pre-modern sigil thing,
569720	571120	you know, these weird signs.
572020	575760	But he completely transformed this technique
575760	578380	into something new and psychologized
578380	580800	because he had read Sigmund Freud.
582780	586340	I quote from this text so that you get a feel for his prose.
587060	590480	All desire, whether for pleasure, knowledge, or power
590480	592320	that cannot find natural expression,
593520	596240	can by sigils and their formula find fulfillment
596240	598080	from the subconsciousness.
599020	601900	Sigils are the means of guiding and uniting
601900	604520	the partially free belief with an organic desire,
604520	610000	its carriage and retention till its purpose served in the subconscious self and its means
610000	617200	of reincarnation in the ego. Sigils are monograms of thought for the government of energy." So what
617200	623040	he basically does is he connects the idea of the sigil to the subconsciousness and to a desire,
623240	629220	and thereby builds something new. He basically invents a new technique which you can see here.
629220	631400	This is a photograph from the book.
631640	634040	So you take a word, take the letters,
634140	637420	and you rearrange them above one another so that, yeah,
637480	640540	a weird sign or an unintelligible sign appears,
640800	643160	which basically carries the information of the word.
643440	647020	And you can do this also with a combination of words
647800	650940	and full sentences, full will sentences as he calls them.
651220	654480	And for instance, he uses the example, this is my wish
654480	656200	to obtain the strength of a tiger.
656200	665400	and you can see the example below. So Speer was quite unknown. He was an
666360	671380	unsuccessful artist for the rest of his life. He had some popularity in the
671380	677840	beginning but then his life is not a successful story, if we might
677840	683880	say. But then he was recognized by some later magicians. First of all Kenneth
683880	687180	who was also a student of Aleister Crowley,
687300	690900	and he ran an OTO lodge for a while.
691040	692380	And then he basically became one
692380	694620	of the most well-known ritual magicians of the second half
694620	697000	of the century, the 20th century.
697500	698880	He died in 2011.
699220	704620	And he popularized Austen, Osman Speer in the early 70s.
704680	706680	And then chaos magic came.
707200	710000	Authors like Peter Carroll, Phil Hine,
710180	712700	Ralph Tegma and others, they picked up sigil magic
713880	717320	Sigil magic really became one of the core techniques of modern chaos magic.
718240	725680	Yes, and then the internet came, and I think it's fair to say that Sigil magic is today one of the most
725680	730440	and maybe the most popular magical practice in the West.
732020	739720	You can find more than 41,000 hits in Google Books.
739720	743920	There is hundreds of how to do YouTube videos.
745760	750300	The most successful one having 725,000 views.
751180	754580	It's all over the place on TikTok or Witch Talk
754580	756820	as it is today often called.
758580	761860	There are also many other online tools
762440	764360	like the one I've showed in the beginning.
764500	768680	This one is graphically a bit more, yeah, interesting I think.
769720	771100	Of course there are now also handy apps.
771500	774560	So it's really all over the place.
774700	775360	It's very popular.
775520	776720	And why is it so popular?
777080	781080	I think it's a collection of various aspects.
781980	783860	Sigil magic is very simple.
784080	786040	Everyone can do it without any training.
786820	787460	It's fast.
788400	791620	You don't need 72 days or so to achieve a goal.
791780	793520	You can do it in a few minutes.
