start	end	text
0	3040	Okay, so we have three guest speakers today.
7180	15120	I'm here, I exist solely for one reason, which is to make sure that they adhere to the 25-minute limit.
16480	16960	Right?
20300	22420	So, now I know what you're thinking.
22540	27720	You're thinking, how could a weak old man like myself possibly enforce such a thing?
28240	30100	There are three of you, there's one of me.
30500	31380	Yeah, well, guess again.
32480	33560	Come on, boys, girls.
34820	37400	These are our best and strongest students.
41320	42200	Sarah Constantinople.
42960	43540	Yeah, what?
44260	44700	No?
45160	45860	That's not your name?
46020	46620	What's your name?
47120	47560	Olana.
47900	48340	Olana.
49280	50160	Olana Verhoeven?
50540	50980	No.
51200	51640	Oh.
53340	53780	Okay.
54940	55620	All right.
55620	59360	And, of course, Victor Shackapopoulos.
61800	62320	What?
62620	63360	It's Tyler.
63600	64120	Tyler?
65860	66900	Tyler Verhoeven?
68220	72680	Jeff, I think we know who's Dickie.
75520	77380	Well, okay, so going forward,
77520	80900	the first person coming up is going to be Colm Kelleher,
80900	88180	and he is going to talk on the UAP and parapsychology,
88980	93020	lessons learned from managing a Pentagon classified study.
98840	103620	Well, you guys are a hard act to follow, I must say.
105520	108320	Thank you so much, Jeff, for inviting me.
108320	113120	I think this last 24 hours has been tremendously educational.
114920	121560	I'm a biochemist by trade and pretty well nothing that I've heard in the last 24 hours
121560	122840	I've heard before.
123120	126140	So it has been tremendous.
126740	129960	I look forward to another 48 hours of bliss.
129960	142340	this. So I'm going to talk about a program called OSAP and it was run between 2008 and
142960	150120	2010. I was the program manager of that program. So OSAP is going to be an acronym that's used
150120	156260	pretty frequently. The second acronym I'm going to use is NIDS, N-I-D-S, which stands
156260	161900	stands for the National Institute for Discovery Science, which was a program that was funded,
162180	168800	privately funded, that was focused on the UFO topic between 1996 and 2004.
170160	173060	So what was OSAP?
173520	180260	It was a $22 million program that was focused on UFOs.
180260	203780	It was run out of the Defense Intelligence Agency, and it was overseen by another intelligence agency, the Undersecretary for Defense of Intelligence, USDI, or it's now known as OUSDI and S, just, I mean, because DOD loves acronyms and they like expanded acronyms if possible.
205520	211320	So we think after looking at the history of the UFO phenomenon and the United States government
211320	219500	relationship with the UFO phenomenon that the OSAP program was arguably the biggest program that the
219500	226900	United States government has admitted to with respect to UFOs and OSAP stands for the Advanced
226900	232900	Aerospace Weapons Systems Application Program so obviously I'm not going to be saying that too
234060	236980	So, OSAP is really where we're at.
237160	245080	So, in November of 2008, I was recruited into the OSAP program.
245400	246860	I was employee number one.
248080	256440	And my main task was to get a team of researchers, scientists, and engineers together, lickety-split.
256560	259480	And we're talking months rather than years.
259480	266300	years. So over the next nine months, I think I calculated at one time that I had conducted
266920	274720	about 300 interviews in a seven-month period, both by telephone and by face-to-face. So
274720	280700	it was a pretty intense program, pretty intense recruitment process, but we ended up with
280700	289460	about 50 full-time employees that were only focused on investigating UFOs. That was the
289480	295020	That was the departure for this Defense Intelligence Agency program.
295400	299080	We had PhD-level physicists and biologists.
299400	300640	We had engineers.
301620	304280	We had technicians, military intelligence people.
305120	310760	We also put together a large database, so we hired a bunch of database analysts.
311340	317000	And we also had retired police investigators, translators, and also security officers.
317000	323480	So, if you take all of that into one pile, we did a lot of hiring during that nine-month
323480	324160	period.
325500	329500	It was the design of the OSAP program, though, that was pretty well unique.
329720	337420	And hopefully by the end of what I'm talking about today, I'm going to propose that the
337420	341560	OSAP program is a really good template for future UFO programs.
341560	348260	programs. And once I get through talking about this, hopefully you'll agree or maybe not.
349860	359160	The focus for OSAP was twofold. Number one, it was exclusively focused on measuring UFO
359160	366980	performance. In other words, sensors were used to capture UFO performance. But the second
366980	375560	The second and more controversial part of the OSAP program was that it was investigating effects of UFOs on people.
376020	383960	And that sort of began to sort of, once you started following that data stream of looking at effects of UFOs on people,
384220	391180	you started getting into physiological effects, you started getting into pathological effects, psychological effects,
391180	405520	And ultimately what ended up was that we started, once we started interviewing people, we started getting evidence of paranormal effects as a result of interactions with UFOs.
