start	end	text
0	10340	Our third talk is titled Dialectical Notes on the Human, Marxism as the Impossible and the Impossible through a Marxist Lens.
11440	14780	Please join me in welcoming Georgi Mamadov.
22560	24400	Thank you and good morning.
24560	27700	So yeah, I am that Marxist guy from the program.
30200	33040	that probably some of you are puzzled what I'm doing here.
34700	40260	Well, honestly, I was preparing an analytical argument
40940	43320	to shed the light on the potential connections
43320	45260	between what we've been discussing here
45260	47740	and the impossible and Marxism.
49800	54660	And I think that still this analytical argument is valid
54660	59360	and perhaps I will deliver it sometime, somewhere.
60040	64840	But I decided to opt for a more poetic
64840	67140	and experiential answer to this question.
68280	72020	So in a way I would let the impossible speak
72580	78160	through a Marxist mouth or maybe, yeah, let's put it like that.
78360	83860	So let me read something to you which is sort of, yeah,
84660	91580	at the fictional or autobiographical piece, which is called,
92480	97940	pardon my Latin, A Diabla Cu Est Simei Dei,
99040	101700	which I think loosely translates into English as
101700	105900	Where God Has a Church, The Devil Will Have His Chapel.
111060	117280	My eyes are glued to a grayish hardcover in a secondhand bookshop.
118560	122360	The title in brown letters reads, Latinsky Yazyk.
123200	125800	It's a Latin textbook for foreign language students.
127400	131820	I'll feel almost a magic urge to have this book, to own it.
131820	134900	I do not resist and buy it.
134940	136440	It costs pennies anyways.
137840	140600	I skim through the yellowed pages filled
140600	144100	with the familiar font, typical of Soviet era books,
145280	148740	and get a strange satisfaction from understanding random words
148740	150640	in a language I never learned.
152520	157020	Accusativus, activum, infinitivus, gerundium.
157820	161040	I studied English and German in college,
162220	164460	but we did not have a Latin class for some reason.
165080	167180	I always felt bad about that,
168020	171020	as if my knowledge was incomplete and defective.
171980	174520	I felt that without the basic knowledge of Latin,
175480	179640	I missed some foundation, continuity, and tradition.
181260	184540	Tradition ties, tradition bonds.
188240	195160	I ask an Estonian comrade what it means to be a leftist in Estonia.
196040	199200	She answers, it means being lonely.
200760	201120	Lonely.
201920	203560	Why are we lonely?
206620	210220	Lonely like a child that nobody wants to play with in a playground.
211800	213340	What does the child do?
214040	215140	They imagine.
215980	223180	They imagine friends for themselves, imagined friends, superhero friends who will always
223180	227040	stand by, who will play, who will laugh.
228100	235720	I know this bitter feeling of loneliness, of being left out, and a strong desire to
235720	238560	compensate for that in one's imagination.
240460	244540	All traumas originate in childhood.
248020	253180	I was smoking on the outdoor terrace of my favorite pizza place in Bishkek.
254260	257600	It was a short lunch break on a regular weekday.
259420	261180	A couple passing by drew my attention.
262720	264780	They looked odd, mismatched.
266740	271740	A Kyrgyz man my age or younger, average height and weight.
272700	273960	He wore a backpack.
274920	278600	Something in his look betrayed him as a provincial guy,
279320	280060	not from Bishkek.
280780	286220	She was a white woman, a foreigner, American or European.
287200	289460	She gave me a strong queer vibe.
290520	293560	Let me be honest, she was a towering fat dyke.
297220	298820	What brings them together?
299960	303160	I was almost ashamed of my presumptuous curiosity.
304860	307200	Are they colleagues in some international NGO?
