start	end	text
0	3980	Next up we have Joel Gruber talking to us about Manufacturing the Impossible,
4380	9700	a practice-based approach to instigating the mystical experience without psychedelics.
22420	23120	Greetings.
24240	24940	Greetings.
24940	29360	So as an undergraduate, I was studying to become a lawyer.
30000	33760	I was living a very normal life, minding my own business.
34780	36400	And then I took LSD.
39580	41100	Three things happened.
41420	42960	One, my ego dissolved.
43780	46840	Second, I connected to a power greater than myself.
47420	54280	Third, I was overwhelmed by love for everything and everyone, including Putin.
58280	64400	That began a 25-year quest to answer a single question.
65960	69080	Can the mystical experience be manufactured
69800	71140	without psychedelics?
73700	76600	This is the story of a part of that quest.
78220	81780	I feel genuinely humbled and honored to be able
81780	82620	to tell that story.
84280	92040	University, the staff, faculty, volunteers, all the presenters here, those in attendance,
92380	97060	those online, and last but not least, the unstoppable Jeff Kripal.
99320	100000	I love you, Jeff.
100200	101800	You probably saved my life.
102820	103920	I'm probably not the only one.
112560	114740	You're not supposed to cry before the talk.
115840	119300	The stated purpose of this conference is for scholars
119300	121480	to examine the meaning of the impossible.
122960	125080	Let me begin by stating I'm not a scholar.
126300	130560	I'm a performance artist, a practitioner, which may be evident
130560	135540	evident by the title of the talk, Manufacturing the Impossible, a Practice-Based Approach
135540	138620	to Instigating the Mystical Experience Without Psychedelics.
139260	142380	My official bio says that I left academia.
143120	144940	More truthfully, I was fired.
150960	152280	Thank you.
152660	158940	In no small part for turning my classrooms into contemplative practice facilities designed
160560	162540	mystical experiences I'm about to discuss.
164040	168280	Yet at this conference, I feel very at home.
168500	170040	I've been away for three years.
170780	173800	I feel at home with you all, academic pioneers,
174200	175160	rebels, misfits.
176540	178980	You understand quite intimately the risk
178980	182020	associated with researching, publishing, and teaching on
182020	182500	the paranormal.
183540	185920	You may not have been fired, but you will
185920	187140	recognize my story.
187140	194080	I suspect you've lived a version of it. This talk addresses a subcategory of the
194080	199420	impossible, the mystical experience, which I define as the experiential moment when
199420	204220	an individual transcends ego-based identity and connects to something other,
205120	210940	resulting in an uncharacteristically non-dual experience. This experience can
210940	216780	be accompanied by a feeling of surprise, awe, and even terror. Yet at its core,
217140	219200	I believe the mystical experience is about connection
220040	223540	to something more, something far greater than the limitations
223540	225120	of dualistic thought allow.
226160	229280	During our time together, I will explain why the mystical
229280	232320	experience has the potential to help heal many
232320	234540	of the Americans suffering from anxiety,
234840	235840	addiction, and depression.
236980	239920	I will also explain how we can efficiently, predictably,
240000	244180	and relatively safely instigate a non-dual mystical experience
244180	248320	and then enact that experience to produce enduring change.
250220	250900	Okay.
251200	252840	So prior to being fired,
253000	254400	I was a Buddhist studies professor
254400	256500	at a prestigious Catholic university
256500	259240	where I spent my first two years
259240	261280	lecturing about Buddhism, contemplative practice,
261540	263480	and the paranormal at students
263480	266220	rather than dialoguing with them.
266460	267900	I think it went okay.
268060	271400	They seemed to enjoy my theatrics, right?
271400	276640	I was fond of working myself up into a sweat like a fire and brimstone Baptist minister.
278440	281180	You've got to hide the insecurity that comes from...
284060	289740	Despite the theatrics, or perhaps because of them, the message was not sinking in.
291100	298060	And the applicable lessons provided by Buddhism, along with the healing possibilities offered by a close examination of the mystical experience,
298340	300640	these were not being internalized by the students.
301400	302240	How could they be?
302620	304560	I had not internalized them myself.
305060	306980	I was not practicing what I preached.
308240	311000	When dealing with the mystical states, with mystical states,
311160	315540	I've learned over and over and over, every time the hard way,
316720	319480	that we cannot transmit something we do not have.
320740	323220	After two years of preaching in the classroom,
323360	324920	the hypocrisy broke me down.
325000	327280	There was a significant gap between what I taught
327280	328240	and how I lived.
329300	334420	Thankfully, and I do mean thankfully, I suffered through a crippling spiritual crisis.
335180	340400	As a result, my ego shattered and the pain sent me back to the meditation cushion with
340400	346040	an increased focus on bodhicitta, or the Buddhist intention to attain realization for the benefit
346040	346560	of others.
347280	357280	As a long-time neurotic suffering from a host of mental and physical ailments, acting selflessly,
359300	365380	paradoxically, has long been the single solution that guarantees my relief from suffering,
365660	372000	just as the Buddhists have long argued. Upon return to the classroom, I begin living intentionally
372000	378080	and pretty much accidentally, mostly, what Michael Winkleman calls the life of the wounded shaman.
379140	385020	I begin healing myself through healing others. In lectures, I made myself vulnerable,
385020	390020	often addressing my struggles with mental and physical health issues, childhood trauma, and addiction.
391140	395460	As part of the class assignments, we all deconstructed our egos together like Buddhists recommended,
395780	399260	but rather than use traditional Buddhist concepts and practices,
399720	404440	I pulled relevant scholarship from the humanities, sciences, and popular culture,
405340	411960	particularly relying on Jeff Kripal's comparative undergraduate textbook, which closely examines the mystical.
411960	416040	As we broke down the limitations of our identities,
416200	420940	we also expanded our conception of self via contemplative practice
420940	423760	with a particular focus on mental imagery,
423920	427920	otherwise known as visualization, and the cultivation of empathy.
428740	432040	Through this expansion of identity via these practices,
432240	434380	we intellectually and experientially moved,
435280	439200	sometimes at a crawling pace and sometimes in magical spurts,
439200	442720	toward the non-dual or mystical experience.
443420	445460	While none of us, to the best of my knowledge,
445780	449400	were able to completely experience the world non-dualistically,
450220	451780	dozens and perhaps hundreds of us
451780	453840	felt what it was like to transcend our ego,
454880	455760	connect with one another,
455980	459140	and experientially access a power greater than ourselves.
459900	462360	In this way, the classroom became a lab
462360	466140	for converting shared pain into connection and well-being.
466600	468460	The students almost immediately
469560	471700	responded, and then they began to heal.
472180	474040	And then it became clear we were healing together.
474600	476520	As we healed, it also became clear
476520	478940	that I could heal more quickly with them than I could alone.
479460	480580	It worked like magic,
