start	end	text
0	7780	So our final speaker is Kenny Paul Smith, whose paper is titled Teaching the Superhumanities,
7960	12320	Some Modest Reflections, and there'll be time for questions after.
12720	13380	Thank you.
13880	16360	All righty.
16360	17620	Good afternoon.
18760	22560	I hope you all are having half as much fun as I am.
24560	28500	I thought about PowerPoint slides.
30000	32080	say I'm addicted to them, and that's definitely true.
33320	34800	But I love this slide.
35820	37520	My students love this slide.
37700	38660	It is electric.
39140	40460	And you know what part?
40620	43400	Well, one, they love the eyes, and they never know why.
43640	47340	And they also love the really, really type A's,
47440	51060	really love the phrase that's sort of embedded at the top,
51200	53220	that the anomalous and the paranormal
53940	56440	may well contain seeds for new theory.
56440	62760	right? But that's really exciting to me given my training and I'm that gives me
62760	67840	a lot of hope for the future that they find that idea exciting and interesting
67840	74980	as well. So that's my this is my PowerPoint slide right so let the you
74980	81340	know let it zap you as it definitely I know it has zapped them and let me issue
81340	86180	a quick thank you to Jeff to everyone else whose labors are often invisibly
86440	91520	rolled into an activity like this, and that you are all sort of like Atlas, if you will,
91620	97960	the Greek deity holding up the bubble universe of our conference. It's such an honor to be
97960	104220	engaged in this. And thank you to our excellent presenters and to our audience. There's a really
104220	110320	good energy in the room, and there has been since yesterday afternoon. So if I was sent home now,
110480	115040	I would say, okay, I've got far more than I paid for. I feel like I've learned a lot.
117480	126640	If it's not too late, I also would like to change the title of my talk to something that would better reflect the reality.
127040	130940	I sent Jeff the title back in January, and it was clean and optimistic.
131160	133480	Teaching the superhumanities, what could possibly go wrong?
133480	138580	to now the proper title, and it does involve a finger wag,
138720	144160	is Endeavoring to Teach the Superhumanities, i.e. the Impossible,
145220	148520	in a STEM and football-obsessed R1 university in the American South,
148720	152400	colon, some modest reflections, right?
152540	155300	So I really think that captures it.
155360	155960	It really does.
155960	165300	does. So my primary goal in talking with you all is to get my portion of it done in fewer
165300	171280	than 10 minutes so that we'll have a little bit of time to talk. We've absorbed so many
171280	176700	really beautiful 25-minute talks that when I strategized about this with Jeff a few months
176700	182200	ago, he suggested, well, why not try a really brief targeted focus talk? And this might
182200	185660	might be the one chance in the flash talks where people have a chance to ask questions.
185840	190240	We'll see if I don't stop with the preliminaries, this won't happen, but I'm going to give it
190240	190540	my shot.
190780	194360	As it turns out, this is the most difficult talk I've ever put together.
194640	199500	And if you've seen me with a laptop in my lap for the last two days, that's why I keep
199500	206200	revising it, because in the bones of my body, I want to give you all as much detail as possible,
206360	208440	which means this will take more than 10 minutes.
208440	214940	So I'm going to try really hard to do what is intellectually very difficult for me and to give you a very
214940	222860	atom braided or faintly sketched picture of what my efforts have been with my students really over the past 24 years.
223020	228600	I've been teaching for just about a quarter century now and that has really blown up since discovering Jeff's work
228600	232380	and getting sort of initiated into the super humanities if you will.
232380	240040	It's given me a category and a framework to work in for which I'll be grateful for into many lives to come to be sure
240040	243460	So I want what I want to do is just sort of sketch out some basic
243900	248340	Features of what I've tried to do and then the reaction that I've gotten from my students
248340	252960	Which is very good for the most part and from my colleagues, which has been very kind
252960	256880	Let me say that and I'll give you a little bit of detail and then really, you know as dr
256880	257940	Finley said last night
257940	267000	I really need your help in whatever suggestions, critiques, criticisms, ideas that you might have so that I can do my job better, really.
267420	274580	So my intense interest in the paranormal really developed in my childhood.
274660	277260	That's a talk in and of itself, to be sure.
277260	303580	And frankly, that's what drew me to the fields of philosophy and religious studies more than 30 years ago, where I encountered a brilliant professional philosopher by the name of Mark Woodhouse, who could come in and lecture for hours without a single bit of notes, no prep at all on anything that you wanted in the history of Western philosophy, and also any category in the paranormal.
303580	308740	normal. And I said, you know, I want to be that. I want to be, that's the person I want to be.
309260	313740	And he said, well, give it about 25 years because you've got a lot of work to do. You've got to,
313740	318780	as Jeff would say, you have to be Clark Kent and you have to be Superman when you're able to do so.
319020	325200	So that's really what first inspired me. And when I moved on to teach myself, the first thing I did,
325220	331660	of course, is much like Dr. Woodhouse, I was determined to paranormalize. I think that's my
334000	340420	word, paranormalizing is my word, to paranormalize my conventional courses. And the way my career
340420	346100	has developed, that's actually been really fun because as a non-tenured track faculty member,
346240	351940	I teach six different courses every semester, 14 every year. And I have a whole lot of service
351940	356440	commitments that I take on willingly because I love to work with brilliant young people. But
356440	362140	to say that my life is full is probably an understatement. But what that means is,
363580	368080	courses that I get to teach religions of the world, introduction to the study of
368080	371540	religion, theory and method in the study of religion, indigenous religions,
372300	378360	philosophy of religion, religion in America, and I get to teach in the
378360	382380	Honors College so I get to make up new courses all the time, new religious
382380	387880	movements, magic and the American dream, religion and magic, magic and
388700	393500	other worlds or religion and the worlds literally it will go on and on and on
393580	403280	So the first prong of my efforts, if you will, has been to paranormalize all of the ordinary courses at least a little tiny bit.
403440	404760	Obviously, I have to be careful.
404960	414960	The way that I think about it conceptually is I'm bringing things like near-death experiences and the vast amount of amazing literature that documents that phenomena,
414960	421060	phenomena, or after-death communications, or end-of-life experiences, things like that
421060	425460	that are actually really, really common to human beings and extraordinarily well documented
425460	430560	by all sorts of researchers from all sorts of fields, to bring those into the kinds of
430560	434080	conversations that you have in any of those courses.
434300	438300	And if you're getting the sense that that won't be the same conversation in each course,
438440	439720	you're absolutely right.
439720	445480	It's one thing to use, say, Catherine Albanese's study of magic and the history of American culture,
445640	452560	as opposed to using, say, Bruce Grayson's book, After, which is a very sort of biomedical study of near-death experience
452560	458040	in a course in which you're tracing the theme of other worlds across the history of religions.
458320	462560	So this has been very—it's been a lot of work, but it's been incredibly fun.
462760	466240	And not just for me. I'll tell you what my students have said about this.
466240	472800	So the second prong of what I've tried to do became very, became a lot easier
472800	479480	for me when I was hired and it came to LSU in 2015 because Dr. Steven Finley to
479480	485840	his again great credit had already brought the superhumanities to LSU and I
485840	489160	have been, I think I've got really good karma. That's what my students say, a
489160	492600	really good karma because these things, these great things happen to me so I
492600	498980	I have inherited a wildly popular course that Dr. Finley created 10, 15 years ago.
499040	504220	It was quite a while, Religion and Parapsychology, which I'll arm wrestle you for it at this point.
504380	510220	But apparently it is my course now he has gone on to really other and bigger things, right?
510360	516960	So what I mean here is I'm especially fortunate in that some of the groundwork has been done for me.
517760	519980	There's a whole lot more groundwork to do.
519980	525660	our field, right, this is, these very discussions are highly anomalous in the academic study of
525660	532820	religion. Students are often shocked to find out that that's the case, but initiating them into the
533360	539000	discursive reality of what the academic study of religion is, and then re-enchanting them by
539000	543700	studying the paranormal with them, that's actually a lot of fun, right? Takes them on a very interesting
543700	550520	tour. So yeah so in addition to inheriting Dr. Finley's great course I
550520	555540	have gone on a bit of a campaign, my students sometimes say a rampage, to
555540	560780	create as many courses as possible both for the gen pop as they call themselves
560780	565640	the general population of students and also I teach about a third of everything
565640	569180	I teach is over in the Ogden Honors College at LSU which is a fantastic
569180	574220	program and to create as many courses as possible that don't just build in
574960	581460	paranormality but that really privilege and center what I call the
581460	588420	ontological question which as I frame it goes something like this should we on
588420	594920	evidential grounds take the paranormal seriously meaning as something that
594920	598680	that could happen more or less as reported.
599120	601540	Now again, factoring in some great advice
601540	604700	I got from Jeff years ago about the Clark Kent part
604700	608940	of your identity versus the Superman or Superwoman
608940	610900	or Superperson part of your identity,
611200	612920	is I've learned that I don't just
612920	614020	have to do this with myself.
614280	617120	I really need to do it with my courses, right?
617320	621340	So take a course like Religion and Other Worlds,
621460	624120	which is explicitly about this idea,
624920	629820	experience, these images, these teachings that show up, of course, as long as there have been
629820	636020	human beings in virtually every context, that this is not the only reality, that there are one
636020	642200	or more realities in addition to the ones that we live in, the one we live in, and that human
642200	647260	beings, maybe not everyone, but some people under certain conditions, possibly everybody, can access
647260	652120	those realities, and there's probably more than one. There are intelligences and beings that live
652120	658200	on those realities. The first thing that I have to do is make sure that I do a detailed cultural
658200	665240	study and keep this on the level of ideas. So I spend about half of each semester at LSU,
665360	671860	our six semesters run about 16 weeks. So for about eight to 10 weeks, it's all cultural history,
672700	677180	right? That's the Clark Kent part of the reality. And I think it's a good practice,
677180	679660	just not just as a non-tenured track faculty member,
679800	683460	to be careful and make sure that everyone is enthusiastic
684040	687920	about the idea that I'm retainable for the following year.
688060	690860	But look, I've been able to pull this off for 25 years
690860	692640	in a crazy labor market, right?
692760	695880	Where only about 1% of people with PhDs
695880	698040	from top programs get permanent jobs, right?
698140	700900	The numbers are not even as strong
700900	703080	as I think the AAR would like us to believe.
703240	704260	They say about 10%.
704820	706360	I think the number is about a 10th of that.
707180	709340	But the back half of the semester
710180	713320	is the ontological problem or the ontological question.
713680	715660	And of course, that varies depending
715660	719460	on the species of the paranormal that we're looking at.
719800	722320	And remember, these are undergraduate students.
722600	725240	These are oftentimes 18, 19-year-olds
725240	729360	who have found themselves at a school that is arguably
729360	732300	both very good and very bad at the same time
732300	733140	in different ways.
733320	734240	It's really complicated.
734500	736380	We have almost 40,000 undergraduates
737180	741240	wildly different majors that end up with a class with me.
741520	748580	So when I found that it's crucial, particularly in the courses that I've created in order
748580	753720	to focus on the ontological question that I beat Clark Kent and that I give them lots
753720	755400	of cultural studies first.
755740	758760	And institutionally, I've talked about why.
759300	761640	Psychologically, it also prepares the ground.
761640	768020	If they're studying the idea of other worlds in ancient Babylonian myth, like the epic of Gilgamesh,
768160	774860	and then they study it in ancient Egypt and ancient Persia, and they study it in the Greco-Roman world,
