start	end	text
0	5080	So we moved from communal intentionality with Sharon to communal embodiment with Joel
5080	10860	to Scarlett Heinbuch, who will talk to us about a lifetime living between worlds.
11080	13020	Love or affectivity is the key.
21600	28160	Wow. Love is the key. And that is really the cornerstone of my talk today.
30000	34520	love. It's a story about experience. You're not getting an academic talk from me today.
35060	40980	And that doesn't mean I can't. That's one world I've walked in. Joel, shout out to you. My book
40980	46000	and shameless plug, hot off the press this week. And it's a story about love. It's a story about
46000	51960	recovery. And it's a story about healing. Because that's why we're here today, right? That's one of
51960	57100	the things I've found when in my journey to the impossible. I'm going to talk to you really about
57100	61800	about love today. I'm going to talk to you about things that happened in the paranormal realm,
62000	67260	things that happened with other beings, all kinds of things that happened in my world that I didn't
67260	73580	have words or ways to understand. But I spent a whole lifetime, and that's why I'm here today,
73700	81060	to tell you what it's like to be an experiencer at a very young age and be here at this age and
81060	85300	and trying to reconcile these worlds that I've walked through for so long
85300	91060	and still see when I look around that people are in such need of healing,
91340	94760	they're in such need of love, and such need of reminders
94760	100500	that there is love in a universe where they often feel cut apart and cut off.
100980	102420	So I want to talk about that.
103480	107100	I want to also thank Jeff for inviting me here to speak.
107380	110460	This is such an exciting moment in time,
111060	114400	And it's wonderful that I'm bringing up the end of the flash talks.
114640	116880	So I hope to leave you on a high note of hope.
117300	123260	But when we talk about the impossible, I want to say that my journey began when I was four years old.
123440	127820	And I drowned in a swimming pool in our neighborhood apartment complex.
128960	136620	And I didn't know at that point anything about anything because at four years old, you don't know anything about anything, right?
136780	138360	All I know is this.
138360	142560	It was 1964, long before we even had the term NDE.
142780	144100	Nobody understood that.
144680	152820	All I know is that there was a body lying on the bottom of a swimming pool with a little pink rubber cap on,
153640	162600	and I was floating on the edge of the upside of that pool looking down on that body that was mine.
163320	171840	I was out of my body, obviously conscious that that other body on the bottom of the pool was also mine.
172140	178740	Now, you don't have a framework to talk about consciousness, but I knew that there was somebody there looking at that somebody.
179120	183100	When my mother fished me out of the pool, I was blue and I wasn't breathing.
183340	184940	My heart had not yet stopped.
185320	189100	I was about, she said, just a few seconds away from that happening.
189240	192120	So I wasn't, I had not completed death at that point.
192600	194600	but I was definitely out of my body.
195620	197840	The thing that I remember the most of being
197840	200340	out of my body is that sense of love.
201180	205120	Words do not begin to describe that love.
205340	206940	We think about love in romantic terms
206940	208960	or friendship terms, platonic, agape.
209180	211560	This is an everything type of love.
211760	215340	There aren't any words in our human vocabulary
215340	217140	to really describe what that means.
217440	221460	But I felt, and I felt a sense of safety and security and peace
222600	227980	never known in my life because I grew up in an alcoholic home, no fun. And anybody who's grown
227980	234960	up in that way, that's a code that you know what that means. So to feel that sense of love and
234960	243120	safety and peace, I didn't want to come back. But I also could feel my mother's feelings in that
243120	250240	moment because she was a nurse, so she knew how to revive me. But I also knew that she was feeling
250240	258620	feeling panic and fear and grief and guilt because I'd fallen under her watch, even though
258620	266260	there was a lifeguard. And I knew I had a choice to make. And I could have chosen to stay. I could
266260	273380	have chosen for things not to revive. But I chose love. I chose love for my mother. I chose love for
273380	274920	for her this life.
275220	281700	And I, in my spiritual understanding, which was way beyond four years old in that hovering
281700	284840	state, knew that this was not going to be an easy path.
285300	287900	And I will stand here and say that it has not been.
288520	291920	But it's been a rewarding path, and that's part of it, too.
292300	297200	So I didn't understand what had happened at four years old when I'm hovering out of my
297200	303220	body, and I didn't really reconcile the experience when I'm spitting up water on the side of
303380	309420	pool and I made the choice to come back. I also didn't understand that by being out of my body
309420	316200	that a portal had opened to another realm and it stayed open. And I did not have the tools
316200	322780	or the knowledge to know how to close it. So things started happening that I didn't have a
322780	329620	framework for. Things like seeing people who had passed on. Things like being out of my body and
329620	333820	and having my family see my astral body in a physical form.
334000	334960	That happened.
335180	337500	And these things continued to happen.
337660	342540	Knowing things that there was no way that a child of the age that I was could possibly
342540	343480	know, but I knew.
344300	347500	I knew sometimes when people would die to the day and the minute.
348060	349440	Not comfortable things.
349920	353640	I knew when relationships were at risk.
353780	354760	I just knew things.
355040	357180	And I couldn't explain how I knew it.
357180	360480	And being that young again, I thought this was normal.
360680	363660	Because again, when you're that young, there's no before or after.
363820	366080	You just accept your experiences as they come.
366480	370520	So I thought other people experience life this way too.
370780	375800	And so when I was about 10 years old and called a witch, I was horrified.
375980	377960	I'd gone to Baptist churches.
378040	383600	I began to feel this sense of shame and like I had to hide.
384260	385900	That I couldn't talk to people.
386080	387580	That there was something wrong with me.
387840	390060	So I began to really shut down.
390500	393320	And I was a very shy child anyway.
393760	397200	And I was trying to understand how I was going to function in this world.
397560	400540	You know, and that was one of the things about this conference.
400720	405220	I know a lot of people come to these events to try to find out for sure if there's evidence
