start	end	text
0	620	Thank you, Jeff.
1520	4220	It's a real honor and delight to be here with all of you.
4420	9300	I will simply say names and titles in order to maximize time with our brilliant guests.
9800	14220	We will start with Sharon Hewlett-Rollett on the impossible efficacy of intention,
14640	17940	Psy as a model for value-based holistic causation.
18300	18820	Welcome.
25400	25920	Hello.
26180	26300	Hello.
28540	30060	We're on the home stretch, guys.
30980	32080	We're on the home stretch.
32320	35300	I was a little bit worried about being scheduled during nap time
35300	36800	on the last day of the conference.
38100	39760	Hopefully, I will keep you awake.
42620	47400	So, I want to talk about a very ambitious philosophical project
47400	53040	that I am working on, trying to solve a longstanding mystery
53040	62400	in mainstream philosophy of mind using clues from the operation of psi. This
62400	66660	mystery that philosophers of mind have been wrestling with for at this point
66660	74040	centuries ever since we developed the modern concept of the physical world is
74040	80700	is how the seemingly non-physical aspects of the mind
81640	85260	could have causal effects on the physical body.
88080	89700	Today, more and more philosophers
90480	94760	recognize that there are aspects of the mind
94760	97120	that even if they are correlated with things
97120	99980	that are happening in the body or happening in the brain,
99980	104040	brain, that they're not reducible to these things.
104140	105080	They are something more.
105900	112140	If you think for a minute about what it's like to experience different colors, if you
112140	118060	think about what it's like to hear different sounds or taste different foods or feel pleasure
118600	125980	or feel pain, no matter how much you know about how neurons function or how any other
125980	131480	other aspect of the brain functions, if you have not yourself had the experience
132360	138560	of seeing a color or hearing a sound, you are not going to be able
138560	143320	to deduce purely from the neurophysiological information what
143320	145180	that experience would be like.
146420	151740	There is something more than just the physical facts that are accessible
152260	154600	to a third-party investigator that's, you know,
158960	167020	So, the question is, if there is something more, how does that interact with the physical
167020	167880	part here?
167980	175220	So, we think we have this pretty complete physical story about how our body works, right,
175320	176540	and how our brain works.
176660	180740	We have a brain state at one point, and then that leads to a brain state at the next point,
180780	184080	leads to a brain state at the next point, produces behaviors, it produces the words
184080	185340	that are coming out of my mouth.
187300	191600	seemingly complete causal story, where do those felt qualities
191600	195360	of our experience enter into that causal story?
195740	199260	Does the way that things feel to us make a difference
199260	201120	to the words that we say about them?
202620	206780	Is what I'm telling you about the colors and the sounds,
206980	209400	does that come from my actual experience of it?
210140	211640	Is that entering into the causal process?
211820	213440	And if it is, how is it doing that?
216240	220340	Now, philosophers have come up with different ways of trying to solve this problem.
220580	224500	I don't have time to go into those ways, but it doesn't matter because none of them work.
224620	227880	So we'll move on to something that has some potential.
229960	235300	The reason that I don't think that any of them work is that they are starting with a
235300	240140	very smallest view of the causal abilities of the mind.
240140	243040	Now, smallism is a term that was coined
243040	244520	by the philosopher Sam Coleman.
245820	249180	It's really what many of you probably know as reductionism.
249480	253180	But I like the term smallism because it's very pithy
