start	end	text
0	3580	Thank you everyone for being here. I'm Ana Louise Keating. We're each will be
3580	6800	introducing ourselves and there's more about us on the website. I teach
6800	10280	multicultural women's and gender studies up in North Texas at Texas Woman's
10280	15060	University. So because this conference is a little different, I thought it might be
15060	17620	nice to start a little differently. So we're gonna start with a little
17620	26500	meditation. Meditation, visualization, it's an opportunity to tap into your
26500	32220	imagination, come into the space, come into your body, just kind of settle down.
32400	41760	So we'll start. Take a few breaths. You do not need to change your breath at all.
41820	42580	Just notice it.
54740	63700	And maybe you notice your body, you, your body, how it changes, just tiny shifts between
63700	65980	the inhale and the exhale.
74260	80560	Maybe you expand your breath just a little bit if that feels good for you.
92160	101500	And then notice all the places that you are touching the ground, your chair.
103080	112220	just noticing that place where you seem to stop and the other stuff begins.
116240	117600	Simply observing.
123780	129840	And then take your attention to your tailbone and imagine you have roots.
131500	132340	growing down.
135320	139480	Down through the building, through all the layers of earth.
141680	145880	Whatever that looks like to you. One root, multiple roots.
155840	159280	Notice them wandering around, getting deeper.
165920	175660	And then notice those roots pulling up or just allowing powerful energy from deep within
175660	182260	the earth, all the way up the roots, up to your pelvic bowl.
185700	191940	creating almost like a loop goes through your tailbone and back down powerful circuit of energy
199620	207140	and as that keeps cycling think of a light a little bit above your head
210200	215440	It can be whatever color it is for you, maybe no color.
217040	220900	And imagine it coming down through the center of your head, down through your tailbone,
221400	225640	through your spine to your tailbone, joining that earth energy.
226500	229740	So you have this mix, two different types of energy.
234980	237420	Taking whatever form it takes for you.
239740	241220	Just be curious.
242900	244400	Let yourself imagine it.
250220	257120	And then notice those energies mingling in whatever way they choose to mingle.
262700	270980	And then with your next few breaths, imagine drawing them up through your body, through your
276380	278020	and maybe out into the world,
278080	280500	maybe through all the cells in your body.
307120	316660	And then take about four more breaths and let it all go and blink your eyes.
317800	319720	Come back into the present moment.
352680	353400	Alrighty then.
353520	357480	I should have said something like, and then when you're done, roll your heads so we know.
357560	361560	We're all done. Didn't think of that. So we are very
361560	365300	informal in this session. We don't have prepared notes.
365580	369680	In fact, when we were emailing ahead of time, we all agreed that we're not sure what paraecology
369680	373340	is. And we all agreed that that's part of the point of it, right?
373460	377820	We're here to think about creating knowledge. And if you look even at the words
379720	385220	Up there, such a project is based on the wager that new theory lies hidden in the anomalous,
385500	389800	that the paranormal appears in order to mock and shock us out of our present normal thinking.
390260	394600	So we are going outside of our present normal thinking.
394780	398780	We're probably all in various ways going a little bit outside of our own comfort zones
398780	406080	to think about what paraecology might mean, what we might do with it, what we might do next.
408120	414200	I am like really tempted to not even offer any definition and just start down at the other end
414200	419440	with Christine and just put her on the spot. So basically we're each going to talk for just a
419440	425120	little bit offering our definition or thoughts about what it might mean and I will tell you
425120	430000	when I tried to google the word paraecology I got something along the lines of someone who kind of
430000	435940	does ecology but a little bit outside of ecology like a paralegal right. So really we are we are
436080	441200	truly doing something, I hope, new here as we creatively put together some thoughts.
441300	444320	So each person will talk just a little bit, then we'll have a little bit of conversation
444320	448660	maybe between us, but we'll open it up pretty quick so we can all just invent some new knowledge.
448760	449380	Does that sound good?
450260	453380	I'm going to punt to Christine.
454700	459080	All right, so I'm going to introduce myself, Christine Skolnick.
459160	461180	I'm a retired academic.
461180	481200	I have a blog with Sam and Tim.
481500	482480	What is it called?
483880	485640	Paracultures.com.
486100	486480	Thank you.
488840	489720	Okay.
489800	491160	So I have a blog with Sam and Tim.
491160	491160	
491160	491160	
491160	491160	
491160	491160	
491160	491160	
491160	491160	
491160	491160	
491160	491160	
491180	495760	Yeah, as an environmentalist, I'm pretty invested in this topic.
495900	502460	So I will try to keep it short, but earnestly announcing my topics.
503640	507040	So for me, in an academic context,
507480	514060	ecology suggests a mutual critique of paranormal studies and ecology.
515100	520700	So first from the ecological lens, critiquing paranormal studies,
521180	528980	I would say that the topic of ecology demands a reckoning with anthropocentrism and anthropomorphisms.
530060	533600	And I mean reified anthropomorphisms.
533720	538100	You know, metaphors, stories, myths all do really productive work.
539720	549740	My second topic is questioning subject-object binaries or more the necessary connection between subject and object.
551180	559160	from speculative realisms, considering what things are apart from how we know them,
559480	562720	quoting from Levi Bryant's Democracy of Objects.
562960	569780	So I see that as moving out of the epistemological cul-de-sac, moving right along.
570220	577900	The flip side would be examining the normal science of ecology from a paranormal studies lens.
577900	582640	And my topics there are, I'm moving too fast now.
585480	588320	Is ecology really a subfield of biology?
588560	589400	Is it a science?
589460	590080	Should it be?
590180	591380	Should it be interdisciplinary?
591500	604020	Should we be really looking at really, really complex relationships between factors like climate, behavior, culture, myth, story, magic?
605040	606460	I don't want to, I don't know.
606460	606620	Sorry.
607020	607760	Hauntings, right?
607900	618720	and I was about to steal your topic but um and so um yeah this one this one is thanks to Tim
618720	625140	Morton who's here in spirit I'm invoking him uh paranormal studies calls upon us to conduct
625140	633720	I think a very serious interdisciplinary critique of causality or a critique of causality across
633720	641120	the disciplines. Okay, so in ecology we have nonlinear complex systems. What
641120	647280	about non-material systems and causality, comparative causality, non-secular
647280	654860	causality, causality as aesthetics, Tim Morton. And that's it.
656480	675220	That's so great. Yeah. Hi, everyone. I'm Sam Stolche. I'm really honored to be a part of this panel. I have a lot of respect for everybody sitting up here. So this is really special for me.
676080	680400	I'm finishing my PhD here at Rice in the English department.
683680	686020	And, yeah, I don't know what I'm about to say.
686280	686840	Paraecology.
689320	695620	You know, we had an email thread, and I did my etymology thinking, right?
697840	698960	Para, eco.
699160	700360	Eco is house.
700980	704920	People talk about this a lot in eco-critical world.
705220	713320	and the para in this context is maybe the impossible.
713500	715400	The impossible is an interesting word.
717260	723920	I went to thinking about the haunted house as a figure
723920	726800	and more than a figure.
726800	752120	And I think that what I mean to say is the haunted house and haunting sort of have a lot of traction as figures for histories of violence and injustice, and rightfully so.
752120	768920	And I think that people at this conference are interested in thinking in a non-figural, non-metaphorical way about the haunting, the surface of haunting, the experience of haunting.
770240	777480	And what I'm interested in is thinking about those together at the same time, if that's possible.
777480	786200	and that's very abstract and to be more concrete I mean to say the extent to which you know when
786200	794720	we say things like secular and materialist the extent to which these these terms have
794720	805280	participated in violence on a geopolitical scale colonialism and colonization and
805280	810660	And, you know, in the United States, right, we're here on indigenous land.
812240	819300	Houston, Texas is the historic dwelling place of the Karankawa and Atacapa Ishak peoples
819300	822040	who were displaced from here.
822600	826580	And we have our histories of displacement, indigenous displacement.
826580	833900	and the slave trade, the chattel slave institution.
838140	841720	And I'm thinking about the ways in which
842960	848020	these kinds of violence were also cultural
848020	852480	and ontological forms of violence
852480	854760	and whether we can think about coalitions
857140	859800	I feel like I'm getting abstract again.
861840	862800	I don't know.
862820	866100	Hopefully that's enough in the air for me.
868300	868980	Thanks, Sam.
869080	871460	I think I can pick up where you left off a little bit.
871760	873060	I'm Simon Cox.
873360	875900	I finished my PhD under Jeff in 2019.
876940	879180	And I wrote a book called The Genealogy.
879400	882180	My dissertation was A Genealogy of the Subtle Body.
882280	885340	And it just came out through Oxford as The Subtle Body, A Genealogy.
886580	890920	history of the concept of the subtle body, which was something I became interested in
890920	896500	as just a normal 90s kid through cartoon media and stuff like that, martial arts training
896500	897460	since the age of seven.
897720	903140	And so when I was in my 20s, I moved to Wudong Mountain in central China and lived in a Taoist
903140	904040	temple for six years.
904880	909880	And I kind of just wanted to explore with more kind of rigor and sophistication the
909880	915160	kind of altered states of energy and consciousness I was engaging in on a daily basis through
916580	917540	in a very structured way.
917780	920140	And that's exactly what I did at Rice.
920260	923060	And somehow it actually got published as a book.
923500	925700	So I haven't figured out how that really happened yet.
926660	929620	And I'm really honored to be on this panel and at this conference.
929820	934760	This stuff is just the most relevant thing happening right now.
934840	939080	I think in all of academia, honestly, I don't think it's hyperbolic to say that.
939460	944820	And we use all of these terms, paranormal and anomaly,
946580	952840	almost like a law or order, so that without order, paranormal, parapsychological, unidentified,
953100	960220	impossible. So when we talk about a paraecology, my sense was we have all of these prefixes that
960220	964720	are just kind of fugitive, like we're running from these subjects because they've been violent,
964860	970020	in the ways that Sam pointed out, and kind of dominant in really horrible ways.
971600	977580	and it's kind of like postmodern. It's not modernism. No one agrees on what it is. Is
977580	983840	its non-being central to the concept? Of course, this isn't a place to kind of wax poetic on the
983840	989720	nature of postmodernism though. So when we talk about a paraecology, I think we're talking about
989720	996260	something where we're trying to escape the kind of very reductive, scientific biases of our current
996260	999260	in zeitgeist kind of reductive or even
999260	1002660	eliminative materialism, where there's no subjectivity
1002660	1005220	anywhere except in here, or perhaps not even in here.
1005320	1007300	And there's just no subjectivity whatsoever,
1008080	1011280	which is an internally incoherent idea,
1011440	1012200	in my opinion.
1012880	1016140	And so a useful way to engage with this stuff
1016140	1017820	is something that Jeff has laid out
1017820	1019040	in his Authors of the Impossible.
1019340	1021660	He looks at the paranormal genealogically
1022240	1024880	and traces the discursive formation of this category
1026260	1032920	20th century, kind of specifically situated in the heart of modernism, in this kind of
1032920	1037340	North Atlantic context, specifically in Cambridge University, the center of the British Empire,
1037680	1041140	which was kind of still the premier power at the time.
1042900	1049200	So something that maybe can guide our flight from these outmoded categories is to acknowledge
1049200	1054620	ologies outside of this particular modern North Atlantic context in which things like
1054620	1055860	the paranormal came to exist.
1056940	1062040	So my kind of home turf is Taoism and classical Chinese texts.
1062940	1071040	And a cool thing about those, I mean, China is a highly literate civilization with high levels of erudition,
1071040	1076340	with a lot of traditions that never really passed the kind of exorcistic crucible of modernism,
1076440	1084940	or weren't kind of reframed in the utilitarian language of English, which I think is inherently utilitarian in a lot of ways.
1086260	1093820	If we look at kind of Taoist ecologies through this long history of nature mysticism that goes back two millennia in Taoism,
1094000	1106660	we find these great troves of ecological lore, like descriptions of rocks, minerals, stones, trees, plants, metals, and animals,
1106900	1114660	and then side by side and totally inseparable from descriptions of the kind of spirits and intelligent forms of energy and consciousness
1116260	1122600	these mystical worlds. So there's nothing para about spirits in these Taoist contexts. In fact,
1122600	1126280	it's the most normal thing in the world, as normal as holding a rock in your hand.
1127820	1133460	And so speaking of another traditional ecology, I recently moved to rural British Columbia,
1134180	1138400	and I live halfway up Okanagan Mountain, which is at the heart of the Okanagan Nation,
1138580	1142180	where they speak the Okanagan language, which is in the Selig language family, which
1142180	1144820	is an extremely complex language family
1144820	1147720	full of phonemes that you can't possibly hear
1147720	1149220	unless you were raised speaking it.
1149260	1151520	Lots of clicks and glottal stops and things like this.
1151940	1153880	So it's not a super approachable language.
1154180	1156740	And as far as I can tell, there's only one loan word
1156740	1159140	from the Okanagan language that's made its way
1159140	1161920	into the English language, and that word is Sasquatch.
1163420	1166800	So I'm living in the kind of home of the Sasquatch,
1166900	1169240	and pretty much every British Columbian
1169240	1171280	over the age of 60, I would say,
1172180	1174120	story, people from all walks of life.
1174760	1176680	And within the kind of traditional seal
1176680	1178340	of her Okanagan context, Sasquatch
1178880	1179460	doesn't stand alone.
1179660	1182380	He's part of this huge panoply of what we would here
1182380	1183540	term probably cryptids.
1184320	1186940	Ogopogo lives in the Okanagan lake.
1187020	1189040	It's a kind of Loch Ness monster sort of thing.
1189160	1190520	There's just a ton of these things.
1190800	1193820	And once again, there's nothing para about them
1193820	1194700	in the normal contexts.
1195460	1199160	They're just a normal part of ecology and the world.
1200800	1210280	So if I'm gonna make a point here, I guess it would be that these two traditional ecologies,
