start	end	text
0	4700	So I want to begin by saying that in conversations about the impossible,
6420	9760	the Mexican diaspora is frequently left out,
9840	18000	despite the fact that our culture is rife with so many impossible experiences.
20580	28720	And so I'm just so honored to introduce Ana Louise Keating,
30260	36180	is working to bring to light one of the most important thinkers,
36420	42140	I think, that really wanted to teach people that, hey,
42220	43080	our culture is here.
43220	44280	We have something to say.
45600	47660	And it's deeply weird and deeply impossible.
49860	51620	Ana Louise Keating is a professor
52120	53900	of multicultural women's and gender studies
53900	57080	at Texas Woman's University, who focuses
57080	60420	on uplifting womanist, feminist, and indigenous modalities
60420	63960	of knowledge and activism, exemplified in her editorial work
63960	67980	on the in progress book series, Transformations, Womanist,
68020	71340	Feminist, and Indigenous Studies, of which her upcoming book
71340	73460	on womanist spiritual activism will be a part.
74140	77340	Dr. Keating is well known in Chicane
77340	79780	and Latine feminist academic circles
79780	83080	for her work alongside the late Chicana philosopher
83080	85660	and culture critic Gloria Evangelina Anzaldua.
87080	92140	Co-editing the visionary anthology, This Bridge We Call Home, Radical Visions for Transformation,
92360	93280	alongside her.
94060	98520	And later in her career, serving as her primary editor and close confidant.
100980	106360	Now just about 20 years after Ansaldúa's death, is heading up the efforts to bring
106360	109060	the complexities of her thought into the mainstream.
109060	117360	stream in all its intertwined spiritual, political, philosophical, and artistic iterations.
118220	122820	After having coffee with Ana Louise this morning, I feel empowered to tell you all that my graduate
122820	129820	study at Rice University in no small part began by holding a solitary seance in my apartment
129820	134380	to commune with the spirit of Gloria Evangelina Anzaldúa because I did not know how to be
134380	143680	a mixed-race Mexican-American queer practitioner of any sort of spirituality in academia.
144780	149500	So for all five of you who have read any of my research, you've officially read a séance
149500	149760	paper.
154100	159080	Anzaldua's vision of reality was one informed by deep understandings of Western philosophy
159080	163460	and occultism, depth psychology, both indigenous and modern roots
163460	167000	of Mexican spirituality, goddess worship and new age movements,
167280	170060	as well as the pain and marginalization brought
170060	174500	by the material studies, or sorry, the material realities
174500	177760	of her existence as a Chicana lesbian suffering from a slew
177760	180060	of medical complications from infancy.
180580	184440	The Anzalduan world is one of possibility untethered
184440	186220	from consensus and political control.
186220	191740	with her complex philosophy recognizing that what we refer to as the natural,
191960	196560	what is possible, is necessarily a linguistic construction that is not
196560	201340	always anchored in what is or how things could be, but rather often rooted in
201340	206100	comforting fictions and mechanisms of control. To quote her pivotal volume
206100	213160	Borderlands La Frontera, the new mestiza, humans fear the supernatural, both the
213160	218200	undivine, the animal impulses such as sexuality, the unconscious, and the divine,
218400	224800	the superhuman, the God in us. Culture and religion seek to protect us from these
224800	232560	forces. Models of the natural and therefore the supernatural, the possible
232560	238080	and the impossible must always be questioned. Here to guide us in this
238080	241320	this process of questioning is Ana Louise Keating.
250160	250880	Ana Louise Keating Thank you.
251640	252360	Okay, how's this?
252500	253500	Do I sound, you can hear me?
253640	254060	Okay, cool.
254180	256820	I tend to move around, so I'm going to try not to.
257060	258020	We'll see how that goes.
258180	261740	So thank you so much, Stefan, for that introduction.
262140	264960	So I am not reading something that I wrote,
265360	267160	except the PowerPoint, which I wrote.
268080	271060	me a long time to write papers, so I didn't write one.
271180	272120	So we'll see how that goes.
272300	275620	But I am going to, I probably have too much,
275620	276880	like that was my goal, too much.
277140	280380	So I'm setting my timer for 45 minutes,
280560	282560	and then that will give us some time for conversation.
283200	285480	If you don't want conversation and I have more to say,
285560	286900	I could like fill up the rest of the time.
286960	288040	But we'll see how it goes.
289220	291340	So yes, this is what I'm going to talk about.
293960	296320	I do want to start by giving thanks.
298080	298600	for the invitation.
298940	301920	Thank you for writing authors of the impossible
301920	305980	because I realized I could be an academic and start
305980	307900	to like let my freak out, you know.
307980	310640	I could like talk about impossible things and writers
310640	312140	who write about impossible things
312860	313840	because they're only impossible
313840	316300	because everybody keeps saying they are, right.
316500	319520	And so I'm really happy for this opportunity to share
319520	321920	with you a lot about Gloria Anzaldúa
321920	324680	and I hope everyone will get something out of it
324680	327240	to take away and you know work with or whatever.
328080	330180	Thank you to Rice University for making this possible.
330840	333820	John, thank you for everything you did, like the PowerPoints.
333820	334660	They were due a while ago.
335040	336860	Like I was looking at them this morning and I was like,
336960	338780	oh, I wish I could change this or change that.
338940	340720	But it was really nice not being able to,
341440	342860	because that's the overthinking, right?
343000	345680	And I love knowing that there's certain fonts that are better
346200	347380	when people are viewing things.
348560	351640	Yes. And then I want to thank whoever made sure there was
351640	353380	vegan food and it was labeled.
354000	356480	Living in Texas, that's rare.
358620	363760	And before we jump into it, I want us to do something a little different that we don't
363760	368580	usually do at conferences, and that's just take a minute to do a very brief meditation
369260	369360	visualization.
370060	371760	You're welcome to do it or not do it.
