start	end	text
0	3500	Next up on the agenda is Dr. Edwin C. May.
4620	11460	Edwin C. May spent the first part of his research career in his chosen Ph.D. degree discipline,
12700	20460	Low Energy Experimental Nuclear Physics, which he earned in 1968 at the University of Pittsburgh.
20880	27800	His dissertation was Nuclear Reaction Studies via the Reaction on Light Nuclei
27800	34500	and reaction on medium to heavy nuclei. Before leaving this career in
34500	39700	experimental nuclear physics, he had published ten papers in the peer-reviewed
39700	45040	physics literature, including his report on the first measurement of the single
45040	50360	state of the deuteron, which appeared in the prestigious journal Physical Review
50360	57680	Letters. Dr. May became interested in serious research of psi phenomena and
57800	65620	In late 1975, when he joined the ongoing U.S. government-sponsored work at SRI International,
66820	69660	formerly called Stanford Research Institute.
70100	78680	In 1985, he became the program's director, and in 1991, he shifted the government parapsychology
78680	83540	research effort to Science Applications International Corporation.
83540	91520	Dr. May has managed complex interdisciplinary research projects for the U.S. federal government
92220	101160	since 1976, and he presided over 70% of the funding and 85% of the data collection for
101160	105180	the government's 22-year involvement in parapsychological research.
105180	118000	His responsibilities included fundraising, personnel management, project administration and planning, and he was the guiding force for the technical research program.
119380	130280	Under Stargate, he authored or co-authored 300 formerly classified reports to various U.S. government agencies within the military and intelligence communities.
130280	137940	communities. His association with government-sponsored Psy research ended in 1995 when the program,
138180	141460	then called Stargate, was closed by the U.S. government.
142860	149140	When the research was finally declassified in 2000, Dr. May was able to publish groundbreaking
149140	155400	results and theories in the peer-reviewed literature. Since that time, many additional
155400	158620	Additional papers have appeared in the peer-reviewed technical journals.
158940	166060	His technical presentations, mostly to skeptical audiences, have been accepted worldwide, and
166060	172640	some of the venues have included Harvard University, the Universities of California at Los Angeles
172640	180020	and at Davis, Stanford University, the University of Edinburgh, Trinity College, Cambridge,
180020	187300	Cambridge, the University of Stockholm, Imperial College London, and Moscow State University.
188200	195120	The Parapsychological Association granted him the Outstanding Achievement Award in 1996,
195680	202080	and for his contribution and research excellence, the Association presented him the Outstanding
202080	205340	Career Achievement Award in 2007.
205340	213680	He was president of the Parapsychological Association in 1997 and has often served on
213680	214600	its board of directors.
216320	221840	Currently, Dr. May is the executive director of the Laboratories for Fundamental Research.
223040	230800	Since its founding in 1996, 13 of 17 of this laboratory's research proposals submitted
230800	233500	to private foundations have been supported.
235340	241460	Finally, he has also asked that I mention his ability to walk on water, and that he
241460	245200	believes his best physical feature to be his cute legs.
249340	255800	Much more could be said about Dr. May's long and accomplished career, as he is the author
255800	262480	or co-author of many more papers, proposals, and presentations from both of his career
262480	268640	your activities. But without further ado, please join me in welcoming Dr. Edwin C. May.
280160	283220	Can you hear me? Is the mic behind my back on okay?
285440	290500	Great, thank you. First off, I have to defend poor Chris. We, with some friends, were out for
292480	298380	him and cajoled him to put in those final silly remarks and I warn you I'm
298380	304480	not going to take my pants off to show you my two legs okay so how we get
304480	316180	started here all right a little bit of I would say warnings here or better yet if
316180	320860	you look at the slides up here in the upper hand corner you don't have to read
322480	326540	listen to me it tells you everything that's on the slide of interest in case
326540	331980	you get bored and I tried to make that the case all the way through this
331980	337620	presentation but not on every single one of them this is my co-author we're going
337620	343680	to introduce her shortly and this is the dates which were here okay
346060	351680	roadmap that looks like a road doesn't it yeah okay introduction of two authors
352480	353620	We're going to do psychic things.
355440	356840	What is the definition of a psychic?
357820	359440	What psychic research looks like?
359840	362560	I promise you, zero geek factor.
362840	365540	No charts, equations, and lots of examples,
365680	367360	so you don't have to run out of the room screaming.
369000	371820	Examples, 11-minute video which will tell you
371820	375180	what it's like under semi-laboratory conditions,
376160	377820	but it was a nationally broadcast program.
379280	380840	Introduction to the Stargate program.
382480	383240	Okay, sorry.
385780	389900	Introduction of the Stargate program, Stargate Archives, now at Rice University.
390000	396200	And thank you, Jeff, Amanda, and the magnificent staff of the Woodson Research Center.
396700	404400	I had a tour there the other day, and literally I was moved to tears about the magnificent work that was done.
404540	405760	I couldn't have done it.
405800	408660	I don't even know how you pulled that off, but you did.
408800	409620	And thank you.
409640	410460	Thank you very much.
411400	411920	Okay.
412720	419380	Spying and other examples, and some stories about the Russians, and some Q&A at the end of this.
420220	422000	Hold on, buckle up.
424060	429300	Okay, guiding principle, with all due respect to those who really know how to talk Sanskrit,
429660	433940	this is anubhadraha kratavao yantu vijvataha.
434240	438820	This means let auspicious knowledge come to us from every side.
441280	447260	I learned that from Dr. Eskin Godarin. He and I were best buddies in graduate school. He was
447260	451280	doing nuclear chemistry and I was doing nuclear physics, but our experiments were the same.
451620	457620	And so in 1971, I went to my first visit to India, and that's what he looked like then. And
457620	463720	this is what I looked like then also. I don't know what all that fuzzy stuff on the top of my head
463720	472320	is it seems to have vanished. Okay, the authors. Me, you know about. Sonali Bhatmarwa is a very,
472340	477640	very interesting, extremely brilliant woman. She has a PhD in psychology with an emphasis
477640	486300	in neuropsychology. She's Gujarati, but she grew up in Bombay. She's worked for me for quite some
486300	491560	time, and I have to admit, all of our theories and all of the philosophies come from her,
491560	497800	and we do Zoom twice a day and she frequently reminds me,
497880	500880	shut the F up, I speak and write better English than you do
500880	501680	and that's correct.
504900	507060	Okay, psychic things in daily life.
507200	510000	I wanted to start this stuff not as a geeky presentation
510900	514400	but rather let, experiences we all have.
517100	520040	So, knowing who is calling before answering the phone.
521560	526640	careful study on that and it seems to work. Dogs who know when human pals
526640	531020	leaving the office many miles away, very carefully well-designed study again by
531020	536380	Rupert Sheldrake. Suddenly knowing a deer person has passed away and if you allow
536380	542080	me a personal experience with that. Arthur Hastings, a well-known researcher,
542320	548060	he did this analysis and put off and towards early remote viewing. He became
548060	554000	became very ill with a rare blood disease, and that ended up as cancerous. And I had the pleasure,
554200	559460	it's hard to say pleasure, of being at his house on a sunny evening. He was unable to speak. He was
559460	565300	in hospice care, but he could mutter stuff, and his wife translated what he had to say with me,
566020	573980	with Diane and I. And he asked me, do I have any questions? And I said, yeah. Are you in any pain?
573980	575920	He said, no, I'll die quietly in my sleep.
575980	577120	Eventually, that's what happened.
577520	581380	But I said, hey, Arthur, let's do an experiment.
582040	585040	When you die, come and pitch my butt.
585560	590780	If that works, I will change my whole attitude toward survival after bodily death.
591340	592240	He said, done.
592400	594640	We had this handshake and a warm tearful goodbye.
595180	597900	And it came time, that was on a Sunday night.
598040	599960	A Wednesday morning, I woke up with a start.
600580	603500	You could set off World War III, and I'm not going to wake up.
603980	607040	I woke up at quarter of one in the morning, and my watch was broken.
607220	611220	So I went downstairs to my computer, and sure enough, that was the right time.
611320	613580	That was the moment that he passed away.
616520	616960	Okay.
618940	619700	Last here.
619980	621300	A dream that comes true.
621400	622420	We've all had that experience.
623140	627300	Making wise decisions in the absence of necessary data.
627480	630500	This is a marvelous book I'd recommend getting, although it's very old.
630500	632440	Douglas Dean and others
634740	636900	inserted into normal
638460	640640	executive training sessions in New York.
640760	642380	A covert ESP test.
642880	644840	And the end result of all that was
644840	648440	that the executives who afterwards say
648440	650140	we don't believe in ESP at all,
650300	652860	but their salaries correlated with the scores
652860	654460	on the secret ESP test.
655160	658000	Because one of the things you come away with that is
658000	663300	You get paid the big bucks for making slightly wiser decisions in the absence of data, and that's what
663920	665120	Executives have to do anyway
666940	671260	Okay, so how do we find a second why the hell bother it's a lousy way to communicate
672400	678780	We can all play chopsticks in the piano, but very few of us can do can perform at Carnegie Hall
679620	681340	About and this is a crude number
681340	688920	so don't yell at me, about 1% of the population can meet laboratory standards for being psychic.
