start	end	text
0	6220	I'm Diana Pasolka. I am a professor of religious studies at the University of North Carolina in
6220	13320	Wilmington. I've been at that university for 21 years, and I have done a lot of things there.
13540	20020	I was there as an ABD, and now I'm a full professor. I'm former chair of the department there,
20140	26620	and I've done administrative work, so I've done a lot in the academy from both sides.
28320	34580	Anyway, I just, I started studying impossible things, I guess you could say, actually my
34580	38080	whole life, but the method changed in 2012.
38540	42560	And I wrote a book about UFOs, and now I study that.
42720	44760	And I'll be talking tonight about that as well.
46780	48640	So I'd like to introduce the panelists.
49400	51480	You all know Dr. Jeff Kripal.
51480	70380	In fact, part of my change into studying the impossible happened one weekend when I read, in one weekend, I read authors of the impossible, John Mack's abduction, and then I visited a conference of UFO experiencers in my town.
70680	73880	And if that's not going to change your brain, I don't know what would.
74240	75260	So that did.
75500	78080	And I had already heard of Jeff.
78240	80420	I read Collie's Child in grad school.
81480	87020	already a fan and that of course clinched it for me so I started to look
87020	92400	into his methods and and even worked with Jeff at the Esalen Center for
92400	99160	Theory and Research. So Jeff is you know who he is he's you know he's been chair
99160	105620	he's been a professor as long as me maybe even longer and he's been doing
105620	111080	this work for a long time and he's at the forefront in religious studies and
111480	117840	his work bleeds into other disciplines as well, as does this work. And so that's
117840	123000	Jeff. I'd like to introduce Dr. Joseph Laycock. He's an associate professor at
123000	129500	Texas State University and I've again I've heard of his work forever. It seems
129500	135280	we have a lot of intersections. My training was in history of Catholicism
135280	138540	and focusing on Marian apparitions,
138620	141640	and he wrote a book about Veronica Lucan.
141840	143140	That was his dissertation.
143380	147080	She had Marian apparitions, and she was a Catholic seer,
147200	149600	and a lot of really strange things happened around her.
149780	152460	And I believe we shared the same editor, right, Cynthia?
152700	154120	Yeah, Cynthia, who just retired.
154340	157080	Yeah, Cynthia Reed at Oxford University Press,
157220	160700	a huge advocate of the work that we do.
160840	162760	So it was sad when she retired.
162760	174720	And then I'd like to introduce Natasha Michaels, again from Texas State University and an assistant professor whose specialization is in Tibetan and Chinese religions.
175060	180860	And she has some really interesting questions that I've read she's sent to me.
180980	183900	And I think we're going to start off with some of those questions because they're really good.
183900	188380	but she you know she's focusing on how a lot of knowledges are just not
188380	195560	incorporated into the Academy because they come from cult like women or you
195560	199560	know people who are poor or people of color and things like that and I think
199560	203120	that that's a pretty important I mean that's central to I think what we should
203120	207800	be talking about and here we also have Wendy Lochner here and she's an editor
207800	211420	which is really great because I think all of us want to know what editors
211420	219340	think because we all write books. So Wendy's from Columbia University Press and part of what she
219340	225000	does is she's the editor for books about religion. And philosophy, yes. And philosophy. Okay, great.
225060	230000	Well, that covers a lot of people here. And I'd also like to make this point too because all of
230000	234680	us here on this panel, we're not scientists. We're actually in anthropology or religious studies.
234880	240520	And I think the questions that have to do with the impossible and questions about the impossible
241600	244600	they're not the same with respect to those two disciplines.
244860	248700	And one of the reasons is that people in my field,
248760	250300	especially during graduate school,
250360	251240	I went to Syracuse University,
251600	253660	which is kind of like a mini rice, right?
253820	255740	So the religion department.
256020	259400	It was very open to the kinds of questions that I was asking.
260000	262060	But the kinds of ways that I was taught,
262260	265340	I was taught to, this was back in the day, okay?
265440	267100	But I was taught to bracket my belief
267100	270020	when I would study things of the impossible.
271420	274160	I'm sure it's not in your department, but things like that.
274580	282320	So we had frameworks for studying these types of things, and anthropology does too.
282460	283560	I know a lot of anthropologists.
283640	285620	Hussein actually was supposed to be here.
286420	289320	Ali Agrama, you probably know his work.
289480	290180	It's amazing.
290800	295600	And so he's an anthropologist, and I have a lot of correspondence with anthropologists,
295660	299520	and we have a similar way of approaching impossible things.
301420	307880	don't want to make this a joke, but prior to getting tenure, okay, and that's, that's that we
307880	312740	can't, and I had to do this for my book with Oxford, because I was writing about UFOs, but I was writing
312740	320440	about it in a specific way that I hadn't done before, and the editor, Cynthia, wonderful person,
320640	327980	but she pushed back a lot, and she said, you can't do this, you can't believe, and you know, at that
327980	351120	At that point I actually didn't believe, but I was still trying to make some moves here, strategic moves to make this, to complicate that, the ways in which, you know, the frameworks within which we study that constrain us and put us into a false dichotomy of this is historical or we reduce this to, excuse me, you know, social effects and those kinds of things.
351760	355340	Well, why can't they be real in ways in which we don't understand?
355540	357160	And those were the questions I was asking.
357980	360860	But we get pushed to not do that.
361060	367820	And especially pre-tenure, I still say to upcoming graduate students, don't do it yet.
368000	369100	You know, wait till you get tenure.
369220	373420	And I certainly had tenure and was chair of my department before I wrote my book about UFOs.
373520	374920	And then I didn't really care.
376060	381440	But I must say that during my tenure, this was 10 years ago that I did actually get tenure.
381560	385300	And I overprepared because you do, right?
385620	387220	And I knew I would get it.
387980	394020	the senior professors asked me what my future research would be and I said, I'm really interested
394020	398080	in this scholar named Jeffrey Kripal at Rice University and the work that he's doing and
398080	398800	they knew who he was.
399160	402680	And they said, we're in a public university.
403040	406620	Those kinds of things you can't do here or what makes you think you can do those things
406620	410840	here or those things are not important, you know, the kinds of things that he's doing,
411000	415560	speculative, theoretical, and it should be done at like Rice University.
415560	417980	It shouldn't be done at this public university.
418400	423940	And so they asked me, or at least this one man did, you know, what makes you think you
423940	424420	can do that?
424580	427000	And I thought about it and I said, tenure.
429460	437320	So that's my, so I'd like to start off by asking the panelists about the frameworks
437320	443740	that they're using to, you know, to enter into these topics of the impossible.
445560	446400	So you're here, Jeff.
446560	448920	Is it OK if we start with you and just go down the line?
449180	449360	JEFFREY SACHSNICK- Sure.
449540	449860	OK.
451340	455440	JEFFREY SACHSNICK- So I thought what I do is sort of talk
455440	456360	a bit about my training.
456580	458440	This is a panel about the Academy.
459140	461280	And I really want us to talk about the politics
461280	464800	of the Academy and why we do what we do and how we do it
464800	467780	and what kind of resistances we meet,
467900	468980	which you've just spoken to.
470200	474860	So I was trained in the 1980s and the early 90s
475560	482880	Chicago and in a field called history of religions. And my intellectual heroes were people like
482880	488860	Gananad Obiasagra, who's a Sinhalese Buddhist anthropologist that Wendy has published,
489500	496460	and Sudhir Kakkar, a South Asian Hindu psychoanalyst, and Wendy Doniger, an American
496460	503880	Jewish comparativist. And I was also trained by a man named Bernie McGinn, who really is, I think,
505560	507260	authority on Christian mysticism.
508320	509700	And I was really interested in thinking
509700	515640	about ecstatic religious experience in comparative ways
516480	521020	that were sensitive to the kinds of gender and sexual orientation
521020	524920	questions that were so evident in the 80s and 90s,
525480	527080	but were edgy, frankly.
527300	531740	And you paid a price for asking these questions then in a way
531740	533560	that I'm not sure you pay a price today,
535560	537080	in the 80s and 90s.
539040	543760	But, you know, so I studied comparative mystical literature for decades,
544640	547240	and we never once talked about a miracle.
548480	551460	We never once talked about a floating saint.
553480	557300	And it wasn't as if we were told we shouldn't.
557700	559660	It was that we just didn't.
560600	563780	It was just kind of a, we just ignored it.
565680	567320	We were all reading William James,
567960	569480	Friday is a Religious Experience,
569840	573960	but nobody ever told us that James spent most of his adult life
573960	578260	sitting with mediums and seances and studying psychical phenomena.
578320	580320	I didn't even know that in graduate school.
580540	583360	That just wasn't talked about.
583640	587660	So they're just things that weren't said or weren't talked about.
587780	590020	And I think the assumption, certainly I held the assumption,
590140	594540	was that all these miracle stories and all these floating saints
595560	600640	reading and all this stuff, it was, these were legends, these were exaggerations,
601180	605560	and they were, you know, to use the Foucauldian terms, these were discourses
605560	610400	that were used to accrue power and authority. These were things
610400	616020	that didn't happen, that people were claiming that happened to, you know,
616020	619560	establish sanctity or establish the authority of the church or the
619560	623560	tradition or whatever it might be. And that was really, I think, that was the
625560	632140	by the way, in the academy. What happened is, I won't tell you the whole story, but I ended up in
632140	638840	California, of all places, studying the counterculture and talking to people who were
638840	646360	really active in the 60s and 70s. And they were telling me the darndest stories. And they were
646360	652660	telling me things that I knew couldn't possibly happen, but that I knew happened. And I was just
652660	663660	just so puzzled by that because I knew that my mentors, whom I deeply admire, didn't prepare
663660	671400	me for that. Nothing in my training prepared me to hear out-of-body experiences or near-death
671400	677380	experiences or encounters with balls of light in Big Sur or wherever it was. There was just
677380	685180	no, there's nothing. I had nothing. And I knew I had nothing. And so I just got really interested
685180	694980	in that disjunction. And I spent about five years essentially working on an intellectual history of
694980	699520	what most people would think of as the paranormal. This is the authors of the Impossible book.
699520	711020	And the conclusion I reached at the end of that book was, A, all of these categories were coined by scientists and academics.
711420	714640	These were not words of the tabloids.
714760	716200	These were words of the academy.
716920	725580	And these are academic terms that intellectuals formed and worked very hard on in the late 19th and early 20th century.
725580	729900	and they were very sophisticated, including the word paranormal, by the way.
730200	731580	Very, very sophisticated.
732540	737000	And then over the course of the 20th century, they enter pop culture,
737080	744420	and behaviorism rises in psychology, and the computer modeling of the mind,
744500	750780	and this kind of flatland physicalism sets in,
750980	754360	and people start to roll their eyes at this kind of stuff.
755580	761600	That wasn't the case 100 years ago at all, or 120, 130 years ago.
764900	773880	During that time, I was chairing the department here, which consists of 13 faculty members, most of whom have tenure.
774100	777200	I was exposed to a broad range of approaches.
778540	780780	And now I work in the dean's office.
781160	785020	And I say that because it's really informed how I think about this.
785580	794780	I think about scholarship in the broader sense of the humanities or the social sciences or even the sciences.
794860	796080	I think about the university.
796520	805320	And I think about how we police one another and we discipline ourselves and we assume our own ideologies, frankly.
806020	810140	And academics are doing this just like everybody else.
810220	811940	We have ideologies.
812960	814480	We have assumptions we make.
815580	822440	they're false assumptions, but I think they do good work. Or they're not false. They're half
822440	833980	right, as I say. They're not false, but they're just inadequate. I have talked about, I've never
833980	840780	stopped talking about this stuff, by the way, to anyone who will listen. But I didn't wait for
840780	846280	tenure. I mean, Collie's Child was written before tenure, and it got me kicked out of an entire
846280	857100	country. So I wasn't very smart. And I think when I found these paranormal phenomena, they felt a
857100	864540	lot to me like gender and sexuality did in the 80s and 90s. I was like, oh, let's do this. Let's
864540	870760	cause trouble here now. And so that's why I got interested in it. And I've spoken out
870760	878120	loud to literally hundreds of audiences, both in Europe and the US. And I say that not to
878120	882740	brag, but to answer a question I get all the time. And that question is, how do you deal
882740	890780	with the pushback? And my answer is always, what pushback? Intellectuals and scientists
890780	894300	do not generally deny these phenomena.
895260	897180	They are in the closet.
898580	900900	They will not talk about them,
901000	903100	but they won't talk about them
903100	905540	because they're afraid to sound like the tabloids.
906420	909560	And so what I do is I just walk into a university
909560	910900	or walk into a lecture hall,
910960	914140	and I start talking about them with Foucault and Derrida
914140	918880	and Gannonat or Ed May or whoever I'm talking about,
920780	928100	it. You can actually be an intellectual and still talk about these things and it's okay.
928920	934960	And so that's kind of been the basic method I've used. I also have been really informed
934960	942580	by teaching undergraduates here. Rice is a very small, very elite research university
942580	950680	and most of our students are STEM. Science, technology, engineering or mathematics. And
950780	957120	The overwhelming reception I get when I walk into a classroom is one of total and complete apathy.
960680	964420	It's so palpable that some students will even comment on it.
964500	966180	They're like, how do you deal with that?
966440	968280	How do you survive emotionally?
970560	973340	I just teach the kids who will listen.
973600	976500	I try to ignore the kids who don't really care.
976500	981720	But the reason that's significant is when I first got here 20 years ago,
981840	986600	I was teaching religious studies with classic religious texts.
987300	994340	I was having them read Teresa of Abla and Little Shankara or whoever it was.
994540	996780	And, of course, they would just dismiss them.
997200	1001500	Oh, these are just pre-modern religious people who don't know better.
1001600	1002640	They don't know their science.
1002920	1005600	If they knew their science, they wouldn't say these ridiculous things.
1006500	1013280	essentially, the attitude. So I was like, okay, I'll use scientists. I'll talk about the out-of-body
