start	end	text
0	6420	I'm going to give just a few remarks, just kind of thinking out loud about the weekend.
7600	13380	These are formal remarks, but they'll be fairly brief, about 15 to 20 minutes, and then Christopher
13380	17840	Sen will come up here and introduce our next plenary speaker.
18140	27320	So these are really just thoughts about the week that I think we can continue in different
27320	27860	contexts.
27860	37640	I do want to say these things because I know we're being recorded, and these will be on the web, and we can continue the conversation that way later.
39120	44640	The first thing I want to say is I do want to talk about the superhumanities a bit.
44640	52000	Marcus Redd really flagged this for us when he talked about literature.
53660	58960	Literature as a place that's certainly neither science nor religion,
59160	66220	and so plays by different games and becomes a kind of place of experimenting,
66560	70960	of what I would call gnosis, a kind of different kind of knowing.
72740	85500	Marcus was really clear that human deification, becoming stars in outer space, you know, the kinds of things we're still looking at go back as far as we can see in the written record.
85960	89600	They actually go back to Egypt and Africa in particular.
90240	98760	And I just want to point out that this kind of knowing has absolutely nothing to do with Western colonialism or white rationalism.
98760	103020	It's ancient, it's deep, it's part of the human story.
104460	110560	The conventional humanities are really the future superhumanities in disguise then.
111160	116000	Clark Candice in truth, Superman, don't be fooled by the glasses.
117320	122520	I also want to say something about secrecy, confidentiality.
123260	126640	This has come up a lot of times in our conversation in different contexts.
126640	135980	all these walls of secrecy that prevent us from having a kind of open conversation in what Diana called the visible college.
137240	139520	I just want to add something here.
139600	142420	You know, I've worked a lot on secrecy in the history of religions,
142600	151280	and secrecy is not just something imposed on the impossible by the military or the government,
151280	158020	nor is it simply a matter of the ethics of citing private correspondence, which we've talked about.
158140	159420	Those are all really important issues.
159740	165360	But that's really not what secrecy is about in the literature, at least I'm most familiar with.
166900	173240	Secrecy is also interior to or inherent in the impossible.
174620	180520	And I'm speaking here of the ineffability of mystical states, to use a kind of common academic language,
182400	188760	I'm also drawing from the confidential stories that different correspondents and friends have told me.
189760	199100	It is not that there is some kind of clear content, some kind of secret that I could whisper to you if I chose to.
199280	202400	I think that's how most people think of secrets.
202480	204540	That's really not what we're talking about here.
204540	212960	We're talking about a form of knowing and experience that is entirely outside language and reason.
213480	217140	It's simply not a matter of language. It's simply not a matter of reason.
217520	220300	And so it's secret to, if you will, the left brain.
