start	end	text
0	4780	Welcome, everyone. Welcome to Rice. Welcome. I'm glad you found the auditorium. You're not
4780	9180	wandering around out there. I guess if you are, I wouldn't see you. So it's good to see you all
9180	17040	here. My name is Jeff Kripal, and this is our Archives of the Impossible II conference,
18020	23360	symposium, mashup. It's great to see you all here. I know a lot of you. I certainly don't
23360	26300	I don't know all of you, but I hope by the end I do.
27980	32020	I have a formal introduction here for you.
32100	32720	I will read it.
33200	36060	The reason I read it is when I try not to read it, I suck.
38160	42620	So I'm a much better writer than I am a speaker.
43280	44940	So I'll definitely read this.
45880	47260	Please laugh at my jokes.
49240	52080	Even if they're not funny, that's a good laugh track.
53420	56040	Okay, so let's begin now.
57660	63920	So let me begin by saying that we are doomed in a good sort of way.
64760	70860	What I mean is that there is no way, no way at all, we are going to wrap our heads around this thing.
71500	74880	What some have called the phenomena and what I want to call the impossible.
74880	82600	possible. Maybe our spirits, that part of us of which we are barely aware, can do that, but our
82600	89300	heads cannot. Still, we are going to use those heads a lot. We're going to try to think this thing,
89840	95460	see what our spirits have to teach our heads, but also what our heads have to teach our spirits.
96700	103360	If we are doomed, though, we are doomed together. We did this thing together. And by this thing,
104880	111640	subjects, I am perfectly aware that there are endless measures of wild talent in the audience,
112380	118360	both in person and on screen. And we have about 600 colleagues on screen, by the way.
119460	124940	In so many ways, it is perfectly arbitrary who is up here talking
124940	130620	and who is out there listening, which means that it is your fault too.
132900	133760	Thank you.
135660	139660	I do not thank individuals out of some rhetorical duty.
139980	143740	There is simply no way we would be here without the labor and commitment
143740	147020	of all the people listed in your conference booklet.
148560	153000	I will not read those names off, but please read them carefully.
153140	157300	If you are physically present, please seek these individuals out in the lobby and over meals
157300	159160	and thank them personally.
160620	166900	what this means to you, unless of course you don't like it, then say nothing.
168400	173480	Before I begin my intellectual comments or intellectual spiritual mashup or whatever it is,
173560	180720	I want to thank Dean Kathleen Canning. Without whose person, capacious intellectual generosity,
181040	187100	and extensive office staff, none of this would have happened. I cannot remember the times I
187100	190220	I thought to myself, oh Jesus, I better not do that.
190760	193680	Then Kathleen would say something in the office or at a meeting,
193720	195940	and I would think to myself, oh, I can do that.
196820	200240	Kathleen gave me permission, authority, freedom, and a voice.
200980	205540	Others were similarly liberating in their effects on my mostly conventional super ego.
206300	210460	I want to single out Elaine Sanchez-Palinkas, John Waterhouse,
210580	214880	Emily Stein, Paula Platt, Nicole Switzer, and Diana Hurd.
215860	222160	Their professionalism and generous reception of my caffeinated emails and texts early in the morning kept me going.
222660	228460	They also sometimes sent me media items that confirmed the importance of what we were doing.
229080	233200	They believed in the conference, and that made all the difference.
236780	240380	I want to begin this event now with a few basic ideas.
240380	247380	ideas. You are free, of course, to accept, reject, or nuance them. This will not take long.
248040	251680	We have two wonderful plenaries that will set our table for the days ahead.
251900	258940	I will speak my piece now and then step away. The first thing I want to say or claim is that
258940	265540	the impossible constitutes the deepest secret of human creativity and culture. And I do not mean
265540	270900	that in a safe metaphorical or simple way. I mean that these extreme anomalous
270900	275720	experiences, which are not supposed to happen but do all the time, lie somewhere
275720	281780	close to the wellsprings of human civilization in its various modes. From
281780	286120	the history of religions to the practice of philosophy to our moral sensibilities,
286360	292680	the arts, the sciences, and the inventions of technology. I mean that human
292680	296980	Human knowledge often bubbles up from the impossible and flashes of inspiration, insight,
297300	302820	and altered states of mind and body, after which it is then fashioned, worked out, cultivated,
303080	307960	and socialized by individuals to co-create what we want to become.
310820	318060	In a metaphor in which I will return soon enough, we are making science fiction movies
318060	319460	out of ourselves.
319460	324740	I think we should be in awe of that and sort of terrified.
325700	329280	We are not just talking about the fantastic, the eerie, and the weird.
329380	332920	We are talking about everything with everyone.
335080	340760	There are historians, philosophers, and literary critics in this room.
341420	346180	There are also physicists, journalists, creative writers, spiritual activists,
346180	351340	activists, immunologists, grandmothers, medical doctors, editors, and filmmakers.
352160	359880	There are anthropologists, visual artists, screenwriters, lawyers, restaurateurs, astronomers,
360180	362660	business professionals, and students.
363840	368440	At the end of the day, this one anyway, this is what I mean by a higher education.
370080	373860	I mean an order of knowledge that works out of our present disciplines, departments, and
373860	377280	and schools, yes, but is in no way bound to them,
377800	380000	a kind of thinking that is willing to imagine
380000	382620	across and beyond all of our present ways of knowing.
384140	386600	By a higher higher education, I mean
386600	388040	a way of thinking that recognizes
388040	391500	that every order of knowledge is useful and perhaps even
391500	396500	necessary, but also historically constructed, and in the end,
396500	397820	more than a little arbitrary.
399500	400820	Reality is reality.
400820	407060	It is not what we think it is. It is not what we sense it is. It is more than we
407060	413440	mathematically model it to be. Reality overflows our thinking about it. It is
413440	420480	entirely impossible. The idea for this series of conferences and for the
420480	424640	archives of the impossibles themselves is to take this impossibility to a new
424640	429820	level of sophistication and cultivation. This is the second thing I want to say.
430820	435960	As I often remark, we want to mainstream the impossible into the very heart of the academy,
436160	443040	not keep relegating it to the cultural margins by calling it bad names like pseudoscience or anecdote.
444080	450220	Such rhetorical put-downs are not only intellectual cop-outs, refusals to think beyond our present thought.
451500	456520	Practically speaking, they function to close down the conversation that we most want to have.
456520	464060	up. Admittedly, such categories are sometimes making a perfectly legitimate point, namely that
464060	469240	much of what we are talking about here is not conventional science at all. It does not behave.
469980	474360	I nevertheless think that such moves are ultimately mistaken and frankly destructive,
475160	482200	and for a very simple reason. They make people afraid and so clamp up. They demean and they
482200	489480	they dismiss. They do not open things up, they close things down. I work in the heart of the
489480	496340	academy. I can tell you with all sincerity that if you want to open up a conversation instead of
496340	503100	closing one down, you must make people comfortable and feel safe. Moreover, if you want a conversation
503100	509520	to go on for generations and have some real social effect, you must be disciplined about it.
512200	514220	We have to be intergenerational.
515200	520560	You have to ask for money and endowments, create curricula,
520620	524100	found journals, manage grants, support undergraduate
524100	526620	and graduate students, and most of all,
526640	529980	hire young, new faculty who will take the conversation
530560	533080	in new directions into future generations.
534320	537440	What is more, you also have to express the conversation
537440	539860	in effective and accessible cultural forms,
539860	545580	in the visual arts, creative writing, architecture, film, and popular culture.
545940	552820	You have to work hard to make the impossible possible. One works where one
552820	560040	is, not where one is not. Rice University is a research university. The three words
560040	565360	are subtitled then are not some minor additions or throwaway lines.
565360	573940	minds. Transnationalism, transdisciplinarity, transcendence. Those three big words mean
573940	579500	something. The first word, transnationalism, means that the impossible is not restricted
579500	588360	to any nation, state, culture, or community. The second, transdisciplinarity, means that all of
588360	593800	the departments and schools of the modern university are necessary even to begin to grasp
595360	595520	here.
597280	599460	Third word, transcendence, is meant
599460	602120	to carry the notion that such departments and disciplines
602860	606540	will ultimately not be enough, that there is something
606540	608940	fundamental about the phenomena that
608940	613840	escapes and overflows all of our categories and understandings.
616180	618420	Dean Canning once remarked that this particular intellectual
618420	621300	project is not about thinking outside the box,
621300	628060	as people sometimes say, it is about breaking the box. I laughed when Kathleen
628060	634480	said that. I laughed because it is true. I would only add to the metaphor, after we
634480	640320	break the present box, we need to create new boxes which our descendants will in
640320	646300	turn break. A true historical consciousness and attending humility are
646300	653100	crucial here. We have to understand that everything our ancestors did, they did
653100	660040	for good reasons. Those efforts may not work for us any longer. I doubt that they
660040	665520	do actually. But we should not now operate with a naive assumption that our
665520	670600	own present answers, including our scientific answers, will work for our
670600	677320	descendants. They will not. But their answers will not work for their
677320	684800	ancestors either. The conversation will go on and on and on. Which brings me back
684800	690100	to the impossible as the secret of human creativity and knowledge. The German
690100	694040	sociologist of religion Martin Riesbrot defined the history of religions as a
694040	699660	long series of what he called legitimate science fiction. I think Professor
701540	706100	I have added a certain radicalism to his definition of religion, though,
706200	714140	as I think that there are literal, physical, special effects being created for these long-running sci-fi movies.
715060	723880	I also think those special effects occur today in moments that are not experienced and so interpreted as religion or religious at all.
724720	728680	You will hear many examples of both over the next few days.
730880	741600	The impossible, it turns out, emerges in the gaps, in ruptures, traumas, illness, altered states, danger and near death, or just death.
742420	748960	It is about endings and beginnings. It is about spiritual and social dislocation.
749880	753700	It is about the margin speaking back to the center.
754440	757500	The impossible is trying desperately to get our attention.
758200	763300	To be honest, I think it is calling us to tell new stories, to understand ourselves
763300	766180	and our place in the universe in new ways.
767440	771560	But what the impossible becomes is up to us.
772560	774660	I mean this in a very specific way.
774940	780860	What I mean is that we already have enough dots, enough strange stories, enough pixels
780860	783180	appearing on our perceptual and cultural screens.
783180	788980	screens. What we most need now are people who can connect those dots and make the pictures
788980	796320	pop, whatever those pictures become. Those pictures, I am convinced, will not be singular,
796540	802480	will not be one thing, one story, one culture, one truth. It will be many things, many truths,
802620	807960	and many stories. What will emerge from the pixels appearing on the screen, in other words,
807960	812200	is wildly plural, and I suspect very strongly
812200	814120	that if I may speak like this,
814860	817240	the impossible intends to be plural.
818400	821180	There are endless stories here, endless pictures.
821720	823920	That is the reason that I say the impossible
823920	827060	is the secret of human creativity and civilization,
827860	828960	because it is.
831460	834060	Let me say something more about the special effects
834060	836280	of the legitimate science fiction movies
836280	837460	we have been long making.
838480	843180	Please do not imagine that the impossible is only about what we now call culture,
844120	849060	about the mental, about some French or German word that sounds especially smart in English,
850060	852240	mentalité or Weltanschauung perhaps.
853540	857420	The impossible is also about the physical and the material.
858080	860880	It is about what we now call consciousness, yes,
860960	867600	but it is also about the material universe, about space, time, matter, energy and causality.
867960	870320	The impossible is about everything.
871600	874880	Take just one of these very common special effects.
876100	876960	Take precognition.
878140	880720	People, particularly wildly creative people,
880860	884520	really do have visions and dreams of things that will happen the next day
884520	890120	or decades down the life cycle in the physical historical world.
892060	897660	Such moments imply strongly that space and time are not what we imagine at all.
898380	900540	Why do we not pursue those implications?
900980	904160	Why do we keep imagining that time is a straight causal line,
904840	906940	that history only goes one way?
907780	909200	Obviously, this is impossible.
910020	911520	It is also the case.
912280	916340	I have written a paranormal phenomena as a special effects of actual history.
917240	919800	I really do think, with Martin Rees wrote again,
920580	924520	the history of human civilization is a kind of long-running science fiction film
924520	928220	that is a millennial-long series of real-world movies.
929080	932240	But I would add this, and it is a doozy.
933140	936380	These movies display real-world special effects.
936980	940100	To be perfectly blunt and outrageous about the matter,
940240	942060	people float and fly.
942740	945860	People dream a future that has obviously already happened.
946720	949840	Objects teleport across a room or fall from a ceiling.
950280	951720	People leave their bodies.
951720	955260	weird, very, very weird things happen.
955860	958800	But that weirdness is a function of our limited assumptions,
959060	960620	not of reality itself.
961700	963900	In other words, such things make no sense
963900	965160	in our present order of knowledge,
965360	966940	and that is the point.
967800	969660	So change the order of knowledge.
971040	974180	Recent scholarship has borne this point out big time.
974800	977720	I could cite dozens, even hundreds of examples now.
978260	979660	Let me cite just one.
979660	984640	Carlos Ayer's forthcoming They Flew, A History of the Impossible.
985720	987240	I borrowed the...
987240	990320	This book doesn't even exist yet, but that's the cover.
991660	994020	This big book is about women and men
994800	997200	whom literally thousands of people,
997920	1000480	including doctors, nobility, and a pope,
1001780	1005960	witnessed floating or flying in the 15th, 16th, and 17th centuries.
1006880	1009480	It is, I believe, an academic game-changer.
1009660	1011300	because it forces the question.
1012980	1015420	Ayer engages in extensive primary textual work,
1015540	1018080	especially in the Latin, Italian, and Spanish sources,
1018880	1021660	practices the historian's bracketing
1021660	1023100	of the obvious truth questions,
1023500	1025760	well, did these people fly or not,
1026780	1030080	and sincerely goes down all the skeptical pathways,
1030460	1033520	including significantly demonological ones.
1034640	1036680	Still, it is finally very difficult
1036680	1038800	to shake the sense that Ayer's deeper conclusion
1039660	1041600	or just shouted in the title.
1041920	1042720	They flew.
1043680	1045600	And that, well, that changes everything.
1048360	1049840	Before I close to begin,
1050100	1052320	let me make some predictions and promises.
1052820	1054240	Always a tricky thing.
1055640	1057300	I have noticed over the years
1057300	1059900	that there is this very specific professional realm
1059900	1061720	from which the impossible receives
1061720	1063820	some of the most enthusiastic support.
1064780	1065640	The arts.
1067360	1068460	Artists are weird.
1069980	1071040	That's a good thing.
1071720	1074980	So are their curators and collectors, another good thing.
1075520	1078300	There is just something about the arts and the impossible.
1078600	1080900	I suspect, again, that it has something fundamental
1080900	1083360	to do with the secret of human creativity.
1084300	1086640	I could speak about many museum exhibitions,
1087080	1089440	professional artists and curators at this moment,
1090380	1093760	about medieval art, but also about modern art.
1094100	1095160	But I will not.
1095520	1098880	I simply want to say that I would like to organize
1099660	1102440	Archives of the Impossible Conference around the arts,
1103260	1105620	and with the artists themselves, some of whom
1105620	1106580	are in this audience.
1107340	1110260	My colleague, the artist and academic John Sparagana
1110260	1113500	of the Department of the Visual and Dramatic Arts here at Rice
1113500	1116800	has promised to co-host this venture with me.
1117220	1119540	Thank you, John, and I am sorry.
1122640	1125140	In the same artistic spirit, let me also
1125140	1127360	say that I'm about to venture out
1127360	1129740	out into film and television with the impossible.
1130320	1133240	I joked long ago about university scholarship
1133240	1135840	and publishing that I was tired of writing
1135840	1139380	for 50 people in the world, 25 of whom hated me.
1143160	1145400	That was almost 20 years ago now.
1146340	1149100	It took that long to get here and through many paths
1149100	1152920	and ways, including cinematic ones with my friend, neighbor,
1152980	1156520	and professional colleague, the filmmaker Scott
1157540	1162120	who is, I say sitting here, but I think he's standing there with us this afternoon.
1163280	1167800	I also want to acknowledge Scott Steindorf and Dylan Russell of Stone Village Television
1167800	1171660	and the audience. Scott, Dylan, and I are about to venture into conceiving
1171660	1176600	and shooting a television series about the archives of the impossible in the coming months,
1176740	1178920	and I sincerely hope the coming years.
1179900	1185300	My entertainment lawyer, Keith Jasma, a Rice alumnus, has helped immeasurably on all this.
1185300	1190440	I kid you not, Keith was Sammy the Owl, our own Rice University mascot.
1191660	1194100	Don't get me going on owls and the impossible.
1195040	1199200	Our friend and colleague Mike Cleland has written entire books about that connection.
1199880	1202400	But please wish us well. We need you.
1203820	1206960	Finally, the director of the John E. Mack Institute, Karin Austin,
1207180	1211700	whom you will meet up or meet up on this stage tomorrow, puts the matter this way.
1212620	1214040	We're going to break things.
1215480	1216740	Probably a lot of things.
1217300	1220000	I would add including that academic box
1220000	1221460	about which Dean Koenig spoke.
1222080	1223940	So let us begin breaking things,
1224140	1225980	not for the sake of breaking things,
1226180	1227940	but toward a higher and higher education.
1228700	1229420	Thank you.
1230460	1230980	applause
